class1,class2,pos4,contrib,p_c1,p_c2,examples_c1,examples_c2
Attractive,Hotel,PROPN–PROPN–PROPN–PROPN,0.0017733043296420574,0.012824166429182103,0.003967375258340715,"Was very bad voy a Bing experiencia no tiene un chiste When The Way Pack en la clase igual Puri Only Pipo Pipo en el ticket Little Whats Line o haz Crazy no good. ||| We heard about this spot from a friend of ours that visited and from so many reviews on trip advisor. While none of the places on the island are the cleanest, this one was very sketchy. Not a huge crowd and very over priced. The Guac and salsa needed seasoning as well as the ceviche. Wouldn't recommend this spot, there are many others that are better !","Desde el momento en que llegamos al hotel nos trataron increíblemente durante todas las vacaciones atención uniforme mostraron de todo el personal. Tratamiento de primera clase en el que nunca he experimentado en cualquier otro 5 estrellas> hotel en cualquier parte primera vez he dejado un hotel 100% contento con mi estancia en general. Si quieres relajarte, es el lugar perfecto La selección de comida fresca es una calidad un alto estándar Sin duda perderse este hotel y el personal. El zenserenity de gracias, espero volver de nuevo! Richie y Fiona Belfast, Irlanda ||| Las instalaciones muy bonitas pero sin duda es EL PEOR HOTEL DE MEXICO, pésimo servicio y pésima atención al cliente. No se le ocurra hospedarse en esta porquería de hotel. En Loreto hay hoteles que por el mismo precio o incluso menos recibirás un servicio como el que cualquier turista espera, aquí en el HOTEL VILLAS EL PALMAR LORETO sin duda es el peor hotel en que me he hospedado en la vida y suelo viajar bastante."
Attractive,Hotel,NOUN–NOUN–NOUN–NOUN,0.0006036459666278514,0.03515635120080831,0.04685193386477709,"La única decepción puede no ser José Cuervo, pero fue realmente una mala experiencia para nosotros. Resultó que conseguimos blue vs acanalado elástico u otro medio para ceñir púrpura, y sólo la cintura blye puede hacer la degustación en la bodega y el comedor. De hecho reservamos la excursión por el conserje en el hotel Riu, y fue confirmado por el conserje durante la reserva que la prueba está incluido. Sin embargo, con toda la emoción con ganas de la cata, nos dijeron que fuera de la bodega al final del tour de la fábrica que compramos el grado inferior tour y no nos permitieron hacer la degustación. Queríamos volver pero fue rechazada. Lo que empeoró las cosas era, nos hicieron desde fuera la bodega viendo otros disfrutando de la degustación como un ""favor"" para nosotros. Estamos bastante seguros había graciosas negocios entre el conserje y los operadores turísticos. Pero Josr Cuervo debería haber nos informó que la diferencia whistband antes de que el tour comenzó, no justo antes de que la sesión de degustación. Una muy mala experiencia de tequila. ||| no mantener ha hecho nada pero la hacienda su propia. La casa es muy pequeña, 3 habitaciones y un techo patio. No hay vistas desde la azotea, un montón de senderos todo el ritmo pero en un pobre mantenimiento y las antiguas jaulas de animales están sentados ruinas ahora. todo el tiempo caminamos por los senderos un 10 años muchacho fue asignado a monitor nosotros, no hablaba inglés y era sólo un poco más espeluznante de lo necesario.","Mi esposa y yo nos alojamos en el Dreams por 4 días en enero de 2016. Primero tengo que decir que el complejo era muy agradable y las instalaciones parecía muy bien cuidados. Teníamos una habitación con vistas al océano, que era agradable. La zona de gimnasio también estaba bien, tenían unas cuantas cintas y algunas pesas. Probamos a la orden tarde noche servicio de habitación varias veces y no podíamos conseguir que nadie contesta el teléfono que era frustrante.  Comida: yo estaba bastante decepcionado con la comida aquí. La comida en la piscina parecía que estaban camino a largo y no le importaba. Tuvimos un par de buenas comidas tacos/burritos, pero en general no me impresionó. Yo estaba frustrado con el código de vestimenta, tengo un tanque superior y que no me asiento pero ||| Primero de todo, el hotel está situado en una buena ubicación. El personal es muy amable y servicial. El restaurante sirve muy buena comida y el servicio es fantástico. Nos quedamos sólo una noche, volvimos dos veces para comer. Nos dieron una suite junior de nivel superior, espaciosas, un gran balcón con vistas al mar. No hay armario ropero, sólo un bar en la pared con pocos Hanger-abrigo. La habitación está llena de luz debido a la gran ventana delantera y la parte trasera de ventana ... y sí va a ser muy caliente. El pequeño (ruidoso) ventilador encima de la cama no ayuda mucho. Nos las arreglamos para dejar las ventanas abiertas sus puertas, a pesar de que era bastante viento. En la parte de arriba de que tenemos un problema con el baño, que necesitaba ser reemplazado el día"
Attractive,Hotel,NOUN–NOUN–ADJ–NOUN,0.0003792080641848495,0.02202129588849452,0.029358576911721286,"Pagamos 25 pesos por la entrada y no es gran cosa. Lo único bueno es que no habia nadie, pero hay lugares mucho mas bonitos para bañarse en la laguna que son gratuitos. ||| La única decepción puede no ser José Cuervo, pero fue realmente una mala experiencia para nosotros. Resultó que conseguimos blue vs acanalado elástico u otro medio para ceñir púrpura, y sólo la cintura blye puede hacer la degustación en la bodega y el comedor. De hecho reservamos la excursión por el conserje en el hotel Riu, y fue confirmado por el conserje durante la reserva que la prueba está incluido. Sin embargo, con toda la emoción con ganas de la cata, nos dijeron que fuera de la bodega al final del tour de la fábrica que compramos el grado inferior tour y no nos permitieron hacer la degustación. Queríamos volver pero fue rechazada. Lo que empeoró las cosas era, nos hicieron desde fuera la bodega viendo otros disfrutando de la degustación como un ""favor"" para nosotros. Estamos bastante seguros había graciosas negocios entre el conserje y los operadores turísticos. Pero Josr Cuervo debería haber nos informó que la diferencia whistband antes de que el tour comenzó, no justo antes de que la sesión de degustación. Una muy mala experiencia de tequila.","Mi esposa y yo nos alojamos en el Dreams por 4 días en enero de 2016. Primero tengo que decir que el complejo era muy agradable y las instalaciones parecía muy bien cuidados. Teníamos una habitación con vistas al océano, que era agradable. La zona de gimnasio también estaba bien, tenían unas cuantas cintas y algunas pesas. Probamos a la orden tarde noche servicio de habitación varias veces y no podíamos conseguir que nadie contesta el teléfono que era frustrante.  Comida: yo estaba bastante decepcionado con la comida aquí. La comida en la piscina parecía que estaban camino a largo y no le importaba. Tuvimos un par de buenas comidas tacos/burritos, pero en general no me impresionó. Yo estaba frustrado con el código de vestimenta, tengo un tanque superior y que no me asiento pero ||| Cuando leí los comentarios sobre cómo son las cosas, grosero ellos creen que el personal de este hotel son súper antipático e incluso grosero. Eres una molestia para ellos simplemente estar allí, olvídate si tienes que pedir algo tan sencillo como llamar a un taxi o necesita una toalla o simplemente saludando, que nunca están contentos de verte! Hay gente que vive en este hotel, se podía ver en las habitaciones y apartamentos tienen completo con mucha animales vivos dentro, me encanta los animales, pero no esperaba que ellos corriendo por los pasillos. El desayuno estaba incluido, pero no muy bueno. Puedes conseguir en Internet, pero sólo cerca de la oficina, no en la habitación. Estancia aquí! !"
Attractive,Hotel,NOUN–ADJ–NOUN–NOUN,0.0003042189171849961,0.0219435736677116,0.02845438441098317,"La única decepción puede no ser José Cuervo, pero fue realmente una mala experiencia para nosotros. Resultó que conseguimos blue vs acanalado elástico u otro medio para ceñir púrpura, y sólo la cintura blye puede hacer la degustación en la bodega y el comedor. De hecho reservamos la excursión por el conserje en el hotel Riu, y fue confirmado por el conserje durante la reserva que la prueba está incluido. Sin embargo, con toda la emoción con ganas de la cata, nos dijeron que fuera de la bodega al final del tour de la fábrica que compramos el grado inferior tour y no nos permitieron hacer la degustación. Queríamos volver pero fue rechazada. Lo que empeoró las cosas era, nos hicieron desde fuera la bodega viendo otros disfrutando de la degustación como un ""favor"" para nosotros. Estamos bastante seguros había graciosas negocios entre el conserje y los operadores turísticos. Pero Josr Cuervo debería haber nos informó que la diferencia whistband antes de que el tour comenzó, no justo antes de que la sesión de degustación. Una muy mala experiencia de tequila. ||| La verdad muy costosa la entrada 500 pesos mexicanos por persona. Mucho mejor el cenote azul en Bacalar donde solo se pagan 25 pesos por ingresar es mucho más cómodo en todos los sentidos. La verdad no lo recomiendo en absoluto. Adicionalmente se aglomeran muchas personas y ahorita en tiempos de pandemia se debe tener en cuenta.","Mi esposa y yo nos alojamos en el Dreams por 4 días en enero de 2016. Primero tengo que decir que el complejo era muy agradable y las instalaciones parecía muy bien cuidados. Teníamos una habitación con vistas al océano, que era agradable. La zona de gimnasio también estaba bien, tenían unas cuantas cintas y algunas pesas. Probamos a la orden tarde noche servicio de habitación varias veces y no podíamos conseguir que nadie contesta el teléfono que era frustrante.  Comida: yo estaba bastante decepcionado con la comida aquí. La comida en la piscina parecía que estaban camino a largo y no le importaba. Tuvimos un par de buenas comidas tacos/burritos, pero en general no me impresionó. Yo estaba frustrado con el código de vestimenta, tengo un tanque superior y que no me asiento pero ||| Primero de todo, el hotel está situado en una buena ubicación. El personal es muy amable y servicial. El restaurante sirve muy buena comida y el servicio es fantástico. Nos quedamos sólo una noche, volvimos dos veces para comer. Nos dieron una suite junior de nivel superior, espaciosas, un gran balcón con vistas al mar. No hay armario ropero, sólo un bar en la pared con pocos Hanger-abrigo. La habitación está llena de luz debido a la gran ventana delantera y la parte trasera de ventana ... y sí va a ser muy caliente. El pequeño (ruidoso) ventilador encima de la cama no ayuda mucho. Nos las arreglamos para dejar las ventanas abiertas sus puertas, a pesar de que era bastante viento. En la parte de arriba de que tenemos un problema con el baño, que necesitaba ser reemplazado el día"
Attractive,Hotel,ADJ–NOUN–NOUN–NOUN,0.00030118990465805647,0.015363092308090883,0.020851786241511662,"La única decepción puede no ser José Cuervo, pero fue realmente una mala experiencia para nosotros. Resultó que conseguimos blue vs acanalado elástico u otro medio para ceñir púrpura, y sólo la cintura blye puede hacer la degustación en la bodega y el comedor. De hecho reservamos la excursión por el conserje en el hotel Riu, y fue confirmado por el conserje durante la reserva que la prueba está incluido. Sin embargo, con toda la emoción con ganas de la cata, nos dijeron que fuera de la bodega al final del tour de la fábrica que compramos el grado inferior tour y no nos permitieron hacer la degustación. Queríamos volver pero fue rechazada. Lo que empeoró las cosas era, nos hicieron desde fuera la bodega viendo otros disfrutando de la degustación como un ""favor"" para nosotros. Estamos bastante seguros había graciosas negocios entre el conserje y los operadores turísticos. Pero Josr Cuervo debería haber nos informó que la diferencia whistband antes de que el tour comenzó, no justo antes de que la sesión de degustación. Una muy mala experiencia de tequila. ||| Bonito museo que te mostrará un poco de historia y piezas hechas en cerámica, las cuales son importantes en la región. Además del lugar, los guías suelen contar historias sobre el lugar ","Mi esposa y yo nos alojamos en el Dreams por 4 días en enero de 2016. Primero tengo que decir que el complejo era muy agradable y las instalaciones parecía muy bien cuidados. Teníamos una habitación con vistas al océano, que era agradable. La zona de gimnasio también estaba bien, tenían unas cuantas cintas y algunas pesas. Probamos a la orden tarde noche servicio de habitación varias veces y no podíamos conseguir que nadie contesta el teléfono que era frustrante.  Comida: yo estaba bastante decepcionado con la comida aquí. La comida en la piscina parecía que estaban camino a largo y no le importaba. Tuvimos un par de buenas comidas tacos/burritos, pero en general no me impresionó. Yo estaba frustrado con el código de vestimenta, tengo un tanque superior y que no me asiento pero ||| Primero de todo, el hotel está situado en una buena ubicación. El personal es muy amable y servicial. El restaurante sirve muy buena comida y el servicio es fantástico. Nos quedamos sólo una noche, volvimos dos veces para comer. Nos dieron una suite junior de nivel superior, espaciosas, un gran balcón con vistas al mar. No hay armario ropero, sólo un bar en la pared con pocos Hanger-abrigo. La habitación está llena de luz debido a la gran ventana delantera y la parte trasera de ventana ... y sí va a ser muy caliente. El pequeño (ruidoso) ventilador encima de la cama no ayuda mucho. Nos las arreglamos para dejar las ventanas abiertas sus puertas, a pesar de que era bastante viento. En la parte de arriba de que tenemos un problema con el baño, que necesitaba ser reemplazado el día"
Attractive,Hotel,NOUN–NOUN–NOUN–ADJ,0.00027782131109846874,0.01979325889271743,0.025704901092412163,"Pagamos 25 pesos por la entrada y no es gran cosa. Lo único bueno es que no habia nadie, pero hay lugares mucho mas bonitos para bañarse en la laguna que son gratuitos. ||| La única decepción puede no ser José Cuervo, pero fue realmente una mala experiencia para nosotros. Resultó que conseguimos blue vs acanalado elástico u otro medio para ceñir púrpura, y sólo la cintura blye puede hacer la degustación en la bodega y el comedor. De hecho reservamos la excursión por el conserje en el hotel Riu, y fue confirmado por el conserje durante la reserva que la prueba está incluido. Sin embargo, con toda la emoción con ganas de la cata, nos dijeron que fuera de la bodega al final del tour de la fábrica que compramos el grado inferior tour y no nos permitieron hacer la degustación. Queríamos volver pero fue rechazada. Lo que empeoró las cosas era, nos hicieron desde fuera la bodega viendo otros disfrutando de la degustación como un ""favor"" para nosotros. Estamos bastante seguros había graciosas negocios entre el conserje y los operadores turísticos. Pero Josr Cuervo debería haber nos informó que la diferencia whistband antes de que el tour comenzó, no justo antes de que la sesión de degustación. Una muy mala experiencia de tequila.","Mi esposa y yo nos alojamos en el Dreams por 4 días en enero de 2016. Primero tengo que decir que el complejo era muy agradable y las instalaciones parecía muy bien cuidados. Teníamos una habitación con vistas al océano, que era agradable. La zona de gimnasio también estaba bien, tenían unas cuantas cintas y algunas pesas. Probamos a la orden tarde noche servicio de habitación varias veces y no podíamos conseguir que nadie contesta el teléfono que era frustrante.  Comida: yo estaba bastante decepcionado con la comida aquí. La comida en la piscina parecía que estaban camino a largo y no le importaba. Tuvimos un par de buenas comidas tacos/burritos, pero en general no me impresionó. Yo estaba frustrado con el código de vestimenta, tengo un tanque superior y que no me asiento pero ||| Durante la cata, compre una botella de tequila la cofradia reposa en $1,460 pesos. La guía se ofreció a resguardar la botella mientras temrinabamos la cata.  Al dia de dejar el hotel, pase por mi botella y me la entregaron vacia y rota. Nadie se hizo responsable.  Muy buena experiencia, pero muy mal que no se hagan responsables"
Attractive,Hotel,VERB–NUM–NUM–NOUN,0.00019143370054739778,0.001139925904816187,0.0002952465308532625,"La zona arqueologica de Tulum, se encuentra a 10 minutos de Tulum Pueblo o a 40 minutos de Playa del Carmen, para este paseo que es de al menos, para medio dia, deberás llevar zapatos comodos (de preferencia tenis), agua, bloqueador y por supuesto, la camara !!!Llegando a la zona arqueologica, te sugiero que tomes el camioncito que está en la puerta y que te llevara hasta el inicio del la zona como tal (te cuesta como 15 pesos), si decides caminar ese tramo, vas a cansarte un poco ya que si es algo distante desde la puerta hasta la entrada a las piramides.Una vez que el camión te deja en la taquilla, deberás comprar tu boleto de admisión a la zona arqueologica que cuesta $ 57 pesos, si eres mexicano, el domingo es gratis.Una vez boleto en mano... a disfrutar del paseo !!! A la entrada, te encontrarás con una entrada diminuta por la que deberas pasar agachando la cabeza, una vez que cruzas... se abre frente a ti toda la serie de construcciones de la zona arqueologica de Tulum !!! El paseo es casi en circular para terminar en ""El castillo"" que tiene, a un costado, una escalera de madera que te permite el acceso a la playa. Foto obligada la del castillo y la playa !!! ||| Cogimos el Colectivo desde fuera de la Hacienda en el complejo Bahía Príncipe. Se tarda aproximadamente 15 minutos y nos dejó frente a la entrada a las ruinas.Usted puede caminar en (10 minutos) o tomar un servicio de transporte.Llegamos antes de las 9:00 y nos fuimos alrededor de las 11:30 cuando las multitudes estaban creciendo y el calor era el edificio. Para evitar las multitudes y el calor, trata de estar allí a las 8:00 a. m., cuando el parque se abre.Las ruinas en sí eran muy interesantes y exactamente como me imaginaba de haber visto otros lugares similares en Guatemala.Los jardines son bastante extenso y hay muchas ruinas por todas partes. Hay pasillos y la playa es accesible por las escaleras. Eran muchos los bañistas disfrutando de la playa y con el calor que les envidiada y ojalá me había llevado mi traje de baño.Los jardines son rocosas en los lugares, por favor use zapatos. decente. Vimos muchas personas usar sandalias y sandalias ligeras que estaban en dolor evidente.Sin duda merece la pena poner este en tu lista de viajes.","Fuimos a disfrutar del Grito a Taxco y nos hospedamos en el hotel, el cuarto esta lindo y la vista maravillosa, pero el servicio pésimo. En el desayuno no sirven café bueno y la actitud fue bastante mala de los meseros, la calidad de la comida es regular. Cuando hicieron el cuaero, no limpiaron el baño, no nos dejaron toallas ni lavaron la cafetera. Cobran $300 pesos estra la noche por tener cafetera y agua (solo las reponen si llamas a la recepción) y una botellita de vino para dos copas que no renuevan. Se oye ruido de las habitaciones de arriba y de los lados. La alberca parece balneario con gente bañandose en ropa de calle. Vale mucho la pena Taxco, y el paseo en el teléferico, peor no vayan a este hotel hasta que decidan dar servicio. ||| Nos quedamos aquí porque vinimos a la Ciudad de México a visitar la Pirámide del Sol (que resultó estar cerrada). Pensamos que sería mejor permanecer cerca de la Pirámide en lugar de tener que viajar un 1 . 5 horas para llegar y luego otra para regresar a un hotel en la Ciudad de México. Elegí este porque era el hotel con mejor aspecto tan cerca del sitio de la pirámide. Nos alojamos en la Suite Ejecutiva porque tiene un jacuzzi, que estaba muy limpio y funcionaba de maravilla. La piscina y el parque infantil también estaban cerrados, por lo que la bañera de nuestra habitación definitivamente fue útil. Todo el hotel, incluida nuestra habitación, estaba extremadamente limpio. La cama era muy firme, casi nada blanda pero no nos molestó demasiado. No tenían paños para lavarse, en"
Attractive,Hotel,ADJ–NOUN–ADJ–ADJ,0.00016669450736418409,0.003471592528303842,0.005498966637142014,"Una atraccion espectacular y que hacia falta para los veracruzanos... hermosa vista, llena de emocion complementada con una adecuada informacion historica para los visitantes. Altamente recomendable@  ||| El Loreto Malecón es un precioso paseo marítimo. El ritmo de la ciudad se refleja en la naturaleza solitaria tranquilidad y sedado relativa del lugar. El muelle deportivo dispone de varias grandes esculturas que son divertidas para ver y observar los pelícanos, pescadores y barcos es divertido. Las excursiones en barca de la zona también están disponibles. Una serie de restaurantes linda con el otro hacia el extremo opuesto del Malecón, varios de los cuales tienen excelentes clasificaciones. Varios paseos peatonales arboledas conducen hacia la ciudad catedral y plazas.El Malecón es claramente una fuente de orgullo para la ciudad y atrae a una muestra representativa de su gente. Es seguro, encantador, y algo tranquilo. Encantador, aunque.","Primero de todo, el hotel está situado en una buena ubicación. El personal es muy amable y servicial. El restaurante sirve muy buena comida y el servicio es fantástico. Nos quedamos sólo una noche, volvimos dos veces para comer. Nos dieron una suite junior de nivel superior, espaciosas, un gran balcón con vistas al mar. No hay armario ropero, sólo un bar en la pared con pocos Hanger-abrigo. La habitación está llena de luz debido a la gran ventana delantera y la parte trasera de ventana ... y sí va a ser muy caliente. El pequeño (ruidoso) ventilador encima de la cama no ayuda mucho. Nos las arreglamos para dejar las ventanas abiertas sus puertas, a pesar de que era bastante viento. En la parte de arriba de que tenemos un problema con el baño, que necesitaba ser reemplazado el día ||| Espectacular vista. Excelente servicio de todo el personal. Realmente inolvidable. La comida fantastica. Los chalets cuentan con tres pisos y muy acogedores. El spa es increible un poco caro pero vale la pena. Ampliaron el horario de la alberca hasta la una de la mañana. Es techada. Lo increible es que cuando caminas te encuentras un hermoso lugar donde estar. La iluminacion en la noche de la cascada es hermosa. En epoca de lluvia es una excelente opcion. Ya que hay muchas cosas dentro del hotel."
Attractive,Hotel,ADJ–ADJ–NOUN–NOUN,0.00014382725394465742,0.006036425814140263,0.00843297903749631,"Las ruinas son preciosas y llena de historia, pero la mejor parte de nuestra visita fue poder nadar bajo las ruinas en una playa realmente estupendo. Traiga su traje de baño! ||| El Loreto Malecón es un precioso paseo marítimo. El ritmo de la ciudad se refleja en la naturaleza solitaria tranquilidad y sedado relativa del lugar. El muelle deportivo dispone de varias grandes esculturas que son divertidas para ver y observar los pelícanos, pescadores y barcos es divertido. Las excursiones en barca de la zona también están disponibles. Una serie de restaurantes linda con el otro hacia el extremo opuesto del Malecón, varios de los cuales tienen excelentes clasificaciones. Varios paseos peatonales arboledas conducen hacia la ciudad catedral y plazas.El Malecón es claramente una fuente de orgullo para la ciudad y atrae a una muestra representativa de su gente. Es seguro, encantador, y algo tranquilo. Encantador, aunque.","Durante la cata, compre una botella de tequila la cofradia reposa en $1,460 pesos. La guía se ofreció a resguardar la botella mientras temrinabamos la cata.  Al dia de dejar el hotel, pase por mi botella y me la entregaron vacia y rota. Nadie se hizo responsable.  Muy buena experiencia, pero muy mal que no se hagan responsables ||| Primero de todo, el hotel está situado en una buena ubicación. El personal es muy amable y servicial. El restaurante sirve muy buena comida y el servicio es fantástico. Nos quedamos sólo una noche, volvimos dos veces para comer. Nos dieron una suite junior de nivel superior, espaciosas, un gran balcón con vistas al mar. No hay armario ropero, sólo un bar en la pared con pocos Hanger-abrigo. La habitación está llena de luz debido a la gran ventana delantera y la parte trasera de ventana ... y sí va a ser muy caliente. El pequeño (ruidoso) ventilador encima de la cama no ayuda mucho. Nos las arreglamos para dejar las ventanas abiertas sus puertas, a pesar de que era bastante viento. En la parte de arriba de que tenemos un problema con el baño, que necesitaba ser reemplazado el día"
Attractive,Hotel,ADJ–NOUN–ADJ–NOUN,0.0001344217300852399,0.011580610896655354,0.014706967818128138,"Bonito museo que te mostrará un poco de historia y piezas hechas en cerámica, las cuales son importantes en la región. Además del lugar, los guías suelen contar historias sobre el lugar  ||| no mantener ha hecho nada pero la hacienda su propia. La casa es muy pequeña, 3 habitaciones y un techo patio. No hay vistas desde la azotea, un montón de senderos todo el ritmo pero en un pobre mantenimiento y las antiguas jaulas de animales están sentados ruinas ahora. todo el tiempo caminamos por los senderos un 10 años muchacho fue asignado a monitor nosotros, no hablaba inglés y era sólo un poco más espeluznante de lo necesario.","Esta es nuestra segunda (y último) visita a este hotel. Lo elegimos porque la ubicación y el precio. Nos alojamos en la parte más antigua en la 3ª planta. La habitación estaba limpia pero pequeñas y anticuadas, con 2 camas dobles, una pequeña mesa de noche entre, una pequeña mesa contra la pared con una silla, no bureau de estanterías, un pequeño armario con 5 perchas y un mini frigorífico. El baño es tan pequeña que la ducha, cuando se utilizan (no cortina) vaporizaciones agua por todo el lugar. Por favor deshacerse de las colchas de poliéster. Wi-Fi disponible sólo en el restaurante. Pero la razón principal por la que no volvería es el servicio, especialmente en el restaurante. El desayuno continental básico incluido, zumo enlatado, té o café, 2 tostadas con una porción de ||| Desde el momento en que llegamos al hotel nos trataron increíblemente durante todas las vacaciones atención uniforme mostraron de todo el personal. Tratamiento de primera clase en el que nunca he experimentado en cualquier otro 5 estrellas> hotel en cualquier parte primera vez he dejado un hotel 100% contento con mi estancia en general. Si quieres relajarte, es el lugar perfecto La selección de comida fresca es una calidad un alto estándar Sin duda perderse este hotel y el personal. El zenserenity de gracias, espero volver de nuevo! Richie y Fiona Belfast, Irlanda"
