term,score
ruinas,674.3103184946251
hotel,563.9926764386128
cenote,502.2401627849424
comida,421.1622214328736
guía,397.05792519693466
servicio,391.1331024552785
habitación,354.0186239743175
entrada,270.79746950938204
playa,262.5537571329886
historia,249.72011468078273
restaurante,231.66646599507362
habitaciones,231.11683647228566
museo,211.6801237524137
cenotes,170.85232907358466
recorrido,168.69597895528
desayuno,165.5955149352975
excursión,159.79466868486583
nadar,158.53050655257002
pena,157.113866997313
agua,154.94831045774424
personal,153.88336889443787
paseo,153.26520863919654
visita,151.57960580894846
parque,144.18705627107622
vendedores,141.8594300133708
mayas,140.62738272068685
fotos,136.29868034919926
pirámide,127.40657952597496
maya,125.81744358936652
noche,123.45388175331158
gente,122.98276139713005
subir,121.83126108640593
caminar,120.44538342324549
puedes,115.0500969320363
interesante,114.48827361734453
sol,113.97177007338944
vale,113.41302773134817
sitio,112.15230096762588
visitar,111.96578762244607
pesos,101.18097773342453
tortugas,99.05007924448148
excelente,98.9253269312397
recepción,97.97864022197662
playas,92.34902684082589
the,90.45514887624604
pedimos,90.4294785603175
iglesia,89.28527165251383
buceo,89.10065739665002
cultura,88.94952774734229
información,88.06864919244359
guías,87.7734241385393
tulum,87.6578300248486
tour,85.52674886921766
turistas,83.95364471276524
camino,82.1181425819122
amable,81.95799097964482
menú,80.80563714343567
zona,79.6202858914189
mã,77.2460983722642
calidad,77.21855121647872
ubicación,72.33639558342921
sabor,72.07664857434253
artesanías,71.08139152251073
atención,70.97741927024498
snorkel,67.4504735974916
comprar,67.38436722607928
mesa,64.44944823047844
coche,63.605269227101104
coba,63.53168044077135
cena,62.273592692266455
cama,62.1885351027863
azul,61.950754192683064
subida,61.70499368418811
ojos,57.857175041145524
peces,57.815337295203946
platillos,57.782507143068784
plato,57.70349492671927
carmen,57.197935267450056
cima,56.901660173874994
escalones,55.33788107284059
ambiente,55.07199963200782
café,54.17611117654866
traje,53.757575757575765
interesantes,53.18522529478766
solar,52.92003093810342
itza,52.66321115296836
platos,52.46548421824291
bucear,52.21284193422447
puestos,52.21284193422447
meseros,52.00060334400515
salvavidas,51.95977454156198
chichen,51.87208941590412
alquilar,50.9403985158921
calor,50.69020756395405
alberca,50.224597833099864
acondicionado,50.163021676288174
pedí,50.01168827695043
surf,49.317394948326594
alimentos,49.23706725401545
sombrero,48.870523415977964
sombra,48.82481371518067
estancia,47.38692962865524
impresionantes,47.24966345495198
and,47.069165704042135
camas,46.98020679648491
costa,46.895803680049085
cuarto,46.57489550181976
mala,46.51512693482881
cuevas,46.42699724517906
entrar,45.985335693413056
iguanas,45.67931855192284
guia,45.67931855192284
guiada,45.67931855192284
recorrer,45.58443665930599
paisaje,45.58443665930599
cascadas,45.22757443812302
natural,44.80133943129742
cristalina,44.55032869832501
pueblo,44.089946301179275
colección,43.98347107438017
cocina,43.226252506835365
carne,43.226252506835365
hermoso,43.02591370587157
ruido,42.41055156490228
caballo,42.22610961516363
salsa,42.00273715015739
mar,41.74199066086871
deliciosa,41.71595373640059
bloqueador,41.53994490358127
dã,40.610420362135315
delicioso,40.20552681311494
pizza,40.10597519729424
tiendas,39.97698048594841
lancha,39.803260130256135
trayecto,39.79535389387965
carretera,39.68321128461487
animales,39.05063065245499
venden,38.888332447601954
mesero,38.5632670779633
precio,38.270721347463095
comer,37.95572212373591
aire,37.72119060285415
piscina,37.56885396976991
bar,37.37475503212922
foto,37.266511511105136
aguas,37.10009596839565
arqueológica,36.902205409635975
cueva,36.902205409635975
ensalada,36.83201803833145
tacos,36.8248039850815
pirámides,36.660494549840436
acantilados,36.65289256198347
duendes,36.65289256198347
profunda,36.645718225609585
viaje,36.53962587294124
pan,36.29627993516363
cámara,36.06697289591622
tuve,35.64298930565046
atento,35.6271559580255
noches,35.301500112405094
pollo,35.07431281079105
basura,35.05068782055934
sur,34.951379212758
of,34.938349668787545
wifi,34.88476554719743
belleza,34.58382289032205
arena,34.559471410994945
pedir,34.50231910235869
llegar,34.44173599427651
cenar,34.25986623338247
huéspedes,34.25986623338247
taquilla,34.209366391184574
caballos,34.209366391184574
multitudes,33.762544517079725
carta,33.6588096185032
tienda,33.53809029679345
lento,33.18112130109248
terraza,32.84157378887246
arqueológico,32.73265148298458
visitarlo,32.65743155834734
música,32.575622252777116
algas,32.54866264583445
mirador,32.5126645671639
limpias,32.4266755318308
horas,32.40529099543141
limpieza,32.03406603304113
recuerdos,32.02873312940556
templo,32.02873312940556
vimos,31.817975625133464
formaciones,31.765840220385677
gorra,31.765840220385677
delfines,31.765840220385677
chaleco,31.765840220385677
lanchas,31.765840220385677
buceadores,31.765840220385677
sargazo,31.505663377652724
estã,31.29317267869242
color,31.274336760522512
autobús,31.123253649542466
apreciar,30.85240187121772
porciones,30.693348365276215
to,30.67151618142966
colores,30.564239109535265
buffet,30.390237695568338
admirar,30.089358274763626
punta,29.738654257125845
impresionante,29.532054168827763
dormir,29.377181919941563
montã³n,29.322314049586776
ambar,29.322314049586776
tirolesa,29.322314049586776
protector,29.322314049586776
clara,29.264335990840046
ducha,28.970655914183638
regular,28.822323884535628
vistas,28.703971835467183
pasta,28.647125140924466
caminata,28.520068299406212
camarero,28.44244357816943
tenían,28.26880053999046
asã,28.06452113307111
spa,27.939562686411108
piramide,27.668940536420294
estructuras,27.668940536420294
boletos,27.668940536420294
ambulantes,27.668940536420294
montón,27.456771154621222
pie,27.17377900702693
bajar,27.158245651213132
fotografías,27.04059110698268
sopa,27.01014656144306
calles,26.96445192456062
turístico,26.96445192456062
tomar,26.946211802007653
xkeken,26.878787878787882
tranvía,26.878787878787882
zapatos,26.753830194949394
desayunar,26.714524735586537
acantilado,26.535506753504087
aves,26.535506753504087
lleven,26.535506753504087
colectivo,26.535506753504087
palmeras,26.535506753504087
edificios,26.445660738747257
cuesta,26.078517055354197
alojamos,25.720634773225843
cascada,25.556616977116946
mesas,25.292426910565872
visto,25.288746176354188
pozas,25.252077941531667
exposición,25.252077941531667
we,25.252077941531667
acceso,25.2387523500769
orden,25.23254512257279
turquesa,25.204530702122177
malecón,25.204530702122177
gerente,25.081510838144087
malo,24.9903404722727
visitamos,24.962633937523762
tienes,24.844649864720243
decoración,24.823923381872234
camarones,24.673331331731962
km,24.601470273090648
150,24.601470273090648
amigos,24.593178510794218
histórica,24.435261707988982
arqueologica,24.435261707988982
oleaje,24.435261707988982
janitzio,24.435261707988982
explica,24.435261707988982
señalización,24.435261707988982
paraíso,24.424795251893748
so,24.172860096299683
atracción,24.172860096299683
chalecos,24.172860096299683
queso,24.02554952478085
suite,23.736189402480267
llena,23.471585107333805
puebla,23.447901840024542
relación,23.299710372520572
riviera,23.267071978048715
cómodas,23.22179536909582
servicial,23.09804197196081
hermosas,23.04414646927715
estalactitas,22.83965927596142
conservación,22.83965927596142
conductor,22.83965927596142
samula,22.83965927596142
arte,22.672280869575122
usd,22.672280869575122
ida,22.655895992679838
bebidas,22.533508130857037
disfrutar,22.24989983881037
huevos,22.07213028746899
cuartos,22.07213028746899
cultural,21.991735537190085
comercio,21.991735537190085
bamos,21.991735537190085
have,21.991735537190085
toallas,21.862190626154955
rentar,21.821767655323054
was,21.821767655323054
pequeã,21.821767655323054
imperdible,21.821767655323054
condición,21.821767655323054
cliente,21.72838074887885
ruidoso,21.409195110417876
niños,21.348942296202836
sazón,21.280721533258173
barco,21.216324703769615
aquã,21.164945291802933
bicicleta,21.164945291802933
arquitectura,20.988173397882264
corto,20.784801354738324
obligada,20.784801354738324
30,20.770422686907878
explicaciones,20.748835766361644
paraiso,20.748835766361644
fresco,20.554138556063094
montaña,20.50122522757554
orilla,20.47363442474645
vida,20.45483049551924
sac,20.432896520432745
with,20.432896520432745
mariposas,20.432896520432745
fascinante,20.432896520432745
autopista,20.432896520432745
historias,20.432896520432745
fauna,20.432896520432745
pies,20.380543715790207
muertos,20.37615940635684
temporada,20.349647960593952
vuelta,20.314889507755094
olas,20.29196306917368
factura,20.04927139058796
opciones,20.004535431701388
mágico,19.988490242974205
naturaleza,19.92642846514659
viejo,19.66452291726734
lentes,19.548209366391184
quizã,19.548209366391184
tiburón,19.548209366391184
barroco,19.548209366391184
escalar,19.548209366391184
españoles,19.548209366391184
taquillas,19.548209366391184
comerciantes,19.548209366391184
increã,19.548209366391184
baño,19.507138112915655
gafas,19.48489578816524
prismas,19.48489578816524
construcciones,19.48489578816524
lleno,19.37587432924633
reserva,19.351576645826928
hermosa,19.341379455348907
balcón,19.234498308906428
pizzas,19.234498308906428
jacuzzi,19.234498308906428
limpio,19.226381148488358
it,18.90339802659163
señales,18.90339802659163
volveremos,18.875994782475793
clientes,18.875994782475793
ubicado,18.85137886149897
patatas,18.83745687910104
pescado,18.784266121944427
comunidad,18.559049246055256
tambiã,18.559049246055256
aventura,18.41482882530336
energía,18.37696029464962
sombrillas,18.330247274920218
compramos,18.330247274920218
piedras,18.310771221194507
cuidado,18.290123186915235
fortaleza,18.03348644795811
municipio,18.03348644795811
formas,18.03348644795811
poza,18.03348644795811
cruz,18.03348644795811
grutas,18.03348644795811
sã,18.03348644795811
cerro,18.03348644795811
santuario,18.03348644795811
selva,18.02876782265939
almohadas,18.00676437429538
incluido,17.953539814368845
reservación,17.740798370090157
debes,17.669334891335385
camareros,17.627348020091688
tv,17.597519729425027
pésimo,17.364492021634742
internet,17.364492021634742
atendió,17.333534448001714
rica,17.19679479064366
sendero,17.165799638280934
senderos,17.165799638280934
conducir,17.165799638280934
this,17.165799638280934
azules,17.165799638280934
pescadores,17.165799638280934
clubes,17.104683195592287
murciélagos,17.104683195592287
producción,17.104683195592287
cavernas,17.104683195592287
