term,score
servicio,0.056381939905883034
comida,0.053429795603671074
hotel,0.0515778367605871
ruinas,0.03675763717744179
habitación,0.03502811446317026
habitaciones,0.03029158895200948
restaurante,0.029545516122879808
guía,0.02919885734063993
cenote,0.02683934808837889
desayuno,0.02207058870509606
historia,0.021221957793811436
personal,0.02073344112084664
entrada,0.019136091893758568
museo,0.015118522635134017
noche,0.014376086965069996
playa,0.014315868041220207
recepción,0.013607388526032788
pena,0.013305506480727963
recorrido,0.01288619219159437
agua,0.012605407150301746
amable,0.012537766814127962
excelente,0.012533300229342193
nadar,0.012237043573304705
paseo,0.012085182639650433
visita,0.011979609180389587
vendedores,0.011725264433626677
menú,0.011434940220509985
cenotes,0.01134623615568079
excursión,0.011189706557648168
pedimos,0.010762807969595892
mayas,0.010360808294762054
fotos,0.010252780229126103
interesante,0.01020481737183944
maya,0.010120454601540955
ubicación,0.009843913211295297
vale,0.009759120396211615
atención,0.009723676653542172
caminar,0.009552833358409493
gente,0.009467104868734758
puedes,0.009462780536957411
visitar,0.009450744563941241
parque,0.009403660954525543
sabor,0.009280979641049118
cena,0.009271786581699713
calidad,0.009164855109405467
pirámide,0.00877047836610381
subir,0.008736499730915979
platillos,0.008696717876340868
cultura,0.008257027308543732
sol,0.008150573483669942
plato,0.008071081626669543
guías,0.007874489043085279
cama,0.00769424734582855
platos,0.0075908265772306974
meseros,0.007475962648776223
sitio,0.007312249408873251
playas,0.007289378540405933
pedí,0.00718199312269232
mesa,0.00718109571871861
tortugas,0.007173886680389765
acondicionado,0.0071605174421195145
cocina,0.00713905150910531
turistas,0.006820750408317552
ambiente,0.006652373633153076
café,0.006534992039566838
tour,0.006513867402811832
alimentos,0.0063697595599877845
camino,0.006359683319042774
información,0.0063176006442866315
tulum,0.006190944633653556
buceo,0.006163065698853956
camas,0.006119162428958819
artesanías,0.006092930657939685
pesos,0.006070749617025233
alberca,0.00599579592651072
iglesia,0.005826012622877925
estancia,0.005818721283564399
deliciosa,0.005816541139997098
coba,0.005713911733059443
zona,0.0056752018992898305
delicioso,0.00557634054200034
traje,0.005464391124482885
snorkel,0.005454233942016849
mesero,0.005403397767284199
carne,0.005376930305565448
ruido,0.005330166237891082
cuarto,0.005206859242976105
mala,0.0052040169184681545
porciones,0.005122557440044812
peces,0.005071723486304926
noches,0.005070880844784696
atento,0.004996255073805883
wifi,0.0049957535746669515
carta,0.0049881576235664615
ensalada,0.004982903115450197
sombrero,0.004965648867783112
solar,0.004922620150250917
salsa,0.004843371807662416
mã,0.004842451252722424
comprar,0.00483856877391114
azul,0.00478569990779496
pan,0.004784200169243814
interesantes,0.004764982755357796
piscina,0.00476445609598641
escalones,0.004722048676674959
pizza,0.004703797835605186
cenar,0.004699464233439282
carmen,0.004634936318059424
subida,0.00452210584313978
buffet,0.004514251705413374
cuevas,0.004467304627905749
cima,0.004448981079282986
limpias,0.0044025910816599175
coche,0.004399720470383017
terraza,0.004391370131618296
puestos,0.00434746683152816
calor,0.00432970097564528
huéspedes,0.004278016555972134
aire,0.0042746033934777375
lento,0.004236412368013714
tuve,0.0042230856000421415
iguanas,0.004223068458055821
bloqueador,0.004218281540859362
impresionantes,0.004200584970627112
precio,0.004197258676236009
sombra,0.0041647469377962525
bucear,0.0041348954942816134
bar,0.004121351048074514
estã,0.00411201594454216
itza,0.004097765631081259
tacos,0.004095852004927148
limpieza,0.0040940049296322185
mar,0.004086937528907078
sopa,0.00407679995544682
chichen,0.004070049124754988
cristalina,0.004057389310472547
recorrer,0.00405532128555211
alquilar,0.0040490979822192415
pedir,0.004021805556773207
guiada,0.0040101417848122265
desayunar,0.003975693647891191
servicial,0.003962549112536205
cascadas,0.003926939289557247
comer,0.003892867454971713
costa,0.00386635752741821
pollo,0.003857649037147014
hermoso,0.0038460811050759743
entrar,0.0038328424575719954
guia,0.00380096773357327
dormir,0.0038008561978705425
spa,0.0037918440766788464
salvavidas,0.003787068904463026
pasta,0.0037290577735726487
regular,0.0037120459476156116
mesas,0.0036985905499886647
música,0.0036788660701868236
ducha,0.0036733063492619556
pueblo,0.00366091743192081
paisaje,0.003641188369141247
gerente,0.003639528657339265
aguas,0.00361649915426788
sazón,0.0035900785882146333
malo,0.0035789579256552636
surf,0.003511732503640007
ojos,0.003485235250801132
acantilados,0.003471807342052249
basura,0.0033991189080072185
tienes,0.0033785852799661873
cueva,0.0033632851648001763
asã,0.0033446882115741733
natural,0.0033396919463075424
foto,0.003323751442172323
decoración,0.0033224964234777267
trayecto,0.0033025454751985533
tenían,0.003268827326433193
suite,0.0032429242692349775
lancha,0.0032292116676862753
lanchas,0.0032231806669905435
belleza,0.0032027138665817086
cómodas,0.0031527005685582496
venden,0.003144293792608736
camarones,0.0031368901784301823
llegar,0.0031350965751605164
