term,score
hotel,0.27209780358943303
lugar,0.1841699351781219
comida,0.16879430827237007
servicio,0.15934256942705202
habitación,0.14716859664415327
personal,0.13085335780465931
habitaciones,0.12811226635994966
restaurante,0.10358670048678618
playa,0.08569484737761147
noche,0.08110400112391533
agua,0.07697358724248538
desayuno,0.07248539355020481
excelente,0.07002530643278362
precio,0.06873572038086398
agradable,0.05996258098294329
amable,0.05516317152479417
ubicación,0.05434052398585995
atención,0.05425505766761365
recepción,0.05385262454178957
vista,0.05269955636421873
baño,0.05092902815130133
experiencia,0.0490722874539202
piscina,0.043787292288110444
bonito,0.043474320327334705
calidad,0.04308593859954724
cerca,0.04227501205446328
tiempo,0.04185151362567396
tuvimos,0.04173195887235048
pena,0.04075199273384751
gente,0.0394557809455342
recomiendo,0.03880821841000627
aire,0.03815300388907525
centro,0.03723266716127709
llegamos,0.036206692992947175
zona,0.035847025128208636
estancia,0.03567517144450235
increíble,0.0355348390984058
realmente,0.035392265835372916
personas,0.035348504965645344
mala,0.03512427861434558
cama,0.03446251140291309
general,0.03439463296250657
comer,0.03394983997526017
limpio,0.0333735272778248
llegar,0.03327421900047199
isla,0.03275410307379663
tulum,0.031837658392028914
ciudad,0.031576412223332205
vale,0.03140140700797076
restaurantes,0.031015288345642628
puedes,0.030829993860546467
camas,0.03031364244204409
instalaciones,0.030295157382371863
caro,0.03015233727892854
viaje,0.030106029826589983
minutos,0.02988097939133015
acondicionado,0.02987909239162041
cosas,0.029643522935554157
alberca,0.02956115295308563
precios,0.02906036868875865
ambiente,0.028872939165337924
noches,0.02803244002701852
bebidas,0.02796986771888492
pequeño,0.027919389751352157
semana,0.027655704895424453
mar,0.02735569838857666
único,0.02732513421242782
duda,0.026807336904129446
cuarto,0.026492679575771082
hora,0.026303188924988993
caliente,0.026060962800085765
problema,0.025665534522076913
limpias,0.025563416814427895
pasar,0.025475931347480437
persona,0.0251547793423207
alojamos,0.024821570680744726
bar,0.02461917226581503
lugares,0.02452220363465256
visita,0.024502928237233865
entrada,0.02448005045625431
pedimos,0.024300499739794555
tomar,0.02413913727257789
mejores,0.023884020512783433
pequeña,0.023671178714062983
pesos,0.02352420180945184
visitar,0.02336193255112317
10,0.02330135033409543
familia,0.02329085771579336
méxico,0.0231674039719635
momento,0.022570190054386416
calle,0.022563261828540453
ruido,0.022539710889032186
mañana,0.0224168179382295
servicial,0.022187536628857626
principal,0.02195365906163738
justo,0.021894984170423997
falta,0.021795611343504703
volver,0.021653341665056038
limpieza,0.021618699602469676
tipo,0.021562286326924127
tuve,0.021529388360141923
años,0.02147154901319962
café,0.021400205168149687
tienes,0.021035771443476164
pagar,0.020874095224972865
sabor,0.02054004842643696
cena,0.020483743890388838
casa,0.020437797355101053
estuvimos,0.020392652512114987
recomendable,0.02029056224415673
malo,0.020166346345819763
ruinas,0.020092075488644445
gusto,0.02003584192076468
hoteles,0.020028829347253082
sitio,0.019741550265906634
teníamos,0.019608361437275467
incluido,0.019497457648057256
tenían,0.019493989955555617
limpia,0.01942140125266303
hermoso,0.019386403141183624
dinero,0.01938056499666388
vistas,0.019287575888613552
disfrutar,0.019106642137120645
alimentos,0.01894889022477874
horas,0.018930209249099838
genial,0.018644634080061513
wifi,0.01855220893777936
estábamos,0.018343331258607716
