term,score
hotel,3149.511089924123
habitación,2027.1676231207007
habitaciones,1341.2870178654546
personal,548.2876696819297
recepción,545.1598804246007
noche,402.3657716881022
piscina,389.07456040036334
cama,371.1280917857463
baño,312.3299562196527
alberca,305.48790999497055
cuarto,291.0255007207649
desayuno,288.4411677293125
camas,287.0803824828688
acondicionado,269.4147208122904
estancia,256.9519061846296
ubicación,242.69612210727354
limpias,218.1356095441697
noches,209.11423816237638
aire,208.6925539092661
ruido,208.03259679661105
dormir,183.25757392918828
alojamos,180.43131746297848
ducha,174.61530043245898
toallas,170.00407065488415
limpieza,167.29139052990112
complejo,167.15795615920257
spa,160.19666011555523
instalaciones,158.2011832984283
hoteles,155.11488487659085
incluido,144.507924083032
huéspedes,140.90767275150392
internet,139.15466061435473
cuartos,135.4900816113617
wifi,135.10952073131384
reserva,129.26383742874216
limpio,127.671600731202
suite,127.38950428922186
cómodas,126.53739351357403
amable,118.25155759927794
cabañas,117.546693090053
limpia,117.04680196455904
viejo,108.87662792383242
jacuzzi,108.52614162806087
check,102.59644616274386
balcón,102.00890458480114
almohadas,101.59894109861017
servicial,100.00835726280154
cenote,92.68771464718824
reservamos,91.5267337945709
ruinas,89.47550236084982
caliente,86.80876317604663
recepcionista,83.5570665868897
habitacion,81.25119956980083
tv,80.42801459205242
dreams,78.50827266710789
cerca,77.71989737412356
propiedad,77.36485674834903
mantenimiento,76.88266159658352
centro,75.00422826174452
precio,73.72960383874866
masaje,73.57525466726378
bar,72.7787385556212
descansar,72.50743301571593
ventana,71.29354633693805
guía,69.92623776705707
servicios,69.45444109195947
servicio,69.35156360216297
ruidoso,68.39138154584775
viejas,67.78699586997348
estrellas,65.97688133240882
funcionaba,65.14664398040142
regadera,64.65387160820649
problema,63.85788171656833
seguridad,63.436252966439284
puerta,62.090904755395115
piso,59.12677064708714
alojado,58.95669408414207
llegada,58.756289740337365
reservación,58.756289740337365
problemas,58.665366021080175
in,58.366774937934494
buffet,58.17167570953378
colchones,57.72667107875579
lobby,57.72667107875579
lugar,57.401732155969945
toalla,56.921799608830156
humedad,56.512641209817474
sábanas,55.90230597590079
semana,54.44936839791366
televisión,54.26733426210142
ventilador,52.09505312459344
tacos,51.84875143145018
funciona,51.84486214497714
escucha,51.29822308137193
amplias,51.11391552369521
king,50.799470549305084
reservado,50.76559065045447
olor,50.65327897238388
hospedamos,49.81107698103534
estuvimos,49.783032766874946
mañana,49.42332703233361
lujo,47.662762509363745
boda,47.00503179226988
agua,46.659782764717434
pescado,45.926700763372295
presión,45.24914646182129
llave,45.24914646182129
villa,44.5042691609576
dobles,43.87227001985439
moho,43.87227001985439
calefacción,43.87227001985439
puertas,43.820562314744734
entrada,43.477660423006164
reservar,43.25405301938412
muebles,43.10675803603912
estadía,42.97169390015716
cabaña,42.31471195044131
general,42.30210670616681
historia,42.142823654808865
recepcion,42.0980863161837
pasillo,42.0980863161837
planta,41.84036166232191
sucia,41.690547548160154
espaciosas,41.563203176704164
yoga,41.563203176704164
colchón,41.563203176704164
conexión,40.69699040644834
resort,40.1331220487673
vacaciones,39.93209379454507
gerencia,39.800310287849925
privacidad,39.800310287849925
jardines,39.75693047546212
sucias,39.51624686378423
cortinas,39.254136333553944
vestíbulo,39.254136333553944
turistas,38.998841944127555
wi,38.68242837417451
fi,38.68242837417451
museo,38.568867254603795
restaurante,38.47772711593704
nevera,37.50372276633894
construcción,37.37927389162689
llegamos,37.09407009491201
cliente,37.04168985235489
cafetera,36.945069490403704
booking,36.945069490403704
viejos,36.91363271448608
tuvimos,36.49357883258566
reservas,36.481444544651985
teléfono,35.86737267772611
carne,35.77366328212086
calle,35.58040880680303
web,35.253773844202414
com,35.208521836121214
amenidades,35.208521836121214
reserve,35.208521836121214
bañera,35.208521836121214
extra,35.149069196145405
podía,35.13235498283352
comodidades,35.109757203390316
alojé,35.109757203390316
albercas,34.82460845554308
mala,34.65062208052734
reef,34.63600264725346
equipaje,34.63600264725346
llamar,34.28910735621967
caja,34.23302317826338
ventanas,33.89349793498674
meses,33.777340351083026
ensalada,33.45524453636192
huésped,32.88503676341446
pasillos,32.88503676341446
trato,32.68318830616889
visita,32.373453987066874
junior,32.32693580410324
tina,32.32693580410324
cucarachas,32.32693580410324
maletas,32.32693580410324
básico,32.228808335157694
salsa,32.17683501984514
menú,32.05182018211303
sabor,31.96417333761648
hostal,31.634348378393508
duchas,31.634348378393508
cómodo,31.62434949664057
excelente,30.68077775351938
posada,30.66834931421714
sencillas,30.62331969303544
camarero,30.583657138542293
estacionamiento,30.512430593552377
playa,30.385711753381063
