term,score
hotel,930.7985505851279
habitación,609.8920818338726
comida,537.1693463776323
habitaciones,407.34554891961454
playa,404.8869600826843
agua,319.846240737906
ruinas,229.53191009454784
menú,184.85189937235455
sabor,172.32871209988997
piscina,163.12445232314485
recepción,160.69428112288247
mesa,157.47158524297262
baño,154.6643820772384
tacos,152.17735720244315
platillos,147.93869419067482
pedimos,140.6697554047201
platos,137.7355758323026
cenote,137.05400075419058
carne,136.0504459519246
plato,130.13091154044594
salsa,127.44213497341443
ambiente,124.72626930200234
ensalada,121.2788391323312
pizza,119.06057759667684
cama,114.89549590377696
guía,112.23751899168533
servicio,110.00934138039474
personal,108.64487872781089
pollo,107.40867809208618
comer,107.25553857048442
pescado,106.8701959578544
mar,104.18906366324401
camarero,101.92285516585173
alberca,95.79563792743416
porciones,94.8637640372647
cuarto,92.90167530595747
cerca,92.36173679568371
tulum,90.79675252360013
camas,90.30211569563414
queso,90.23971188974616
pasta,87.62631706846983
zona,83.8719266377359
entrada,81.73556539008149
delicioso,80.62916949053977
fotos,79.50723947679356
acondicionado,77.38375196152549
complejo,76.40830283385105
pedí,75.35858065148847
nadar,74.65690935791939
estancia,74.32905328039028
limpias,72.97251674683645
historia,72.80282879962814
noche,71.94152108193296
patatas,71.7251154555396
sazón,70.80915934568718
camarones,70.2280438981269
instalaciones,69.7902997537874
mesero,68.44399610306932
restaurante,68.30427074686199
gente,67.40602345922107
caminar,66.87803230515583
deliciosa,65.10082284685728
sopa,64.7138567716625
noches,64.41176776838947
puedes,63.602728085111316
parque,63.248059399257514
hoteles,62.849496268062275
alojamos,61.91133977649683
toallas,61.87310158623016
aire,61.26276296698369
limpia,60.36345170089775
maya,60.10697505472447
pan,60.02074828305311
caliente,59.46352959157494
recorrido,58.99580342138211
dormir,58.43570705366182
museo,58.331745104536225
paseo,58.07926996957141
cenar,56.83392288468811
información,56.48331704205228
fritas,56.00637733191812
cenotes,55.79639174005479
ruido,55.701116697693024
llegar,54.98821915138221
ducha,54.4225806792395
incluido,53.58584509422148
sol,52.15763389113748
mesas,52.069519853320756
playas,51.479610149732565
internet,51.479610149732565
viaje,51.24850097993816
sitio,50.49730844806686
pizzas,50.139079293925086
meseros,49.97074839433372
pena,49.95839818922927
probar,49.074725991400754
spa,48.241187762030734
vino,48.20315542358601
mantenimiento,47.55445517425399
persona,47.52524124058216
comimos,47.27736765300564
limpieza,47.047109305491894
vale,46.09074433607171
alimentos,45.940386072861855
postre,45.819887577297024
margaritas,45.819887577297024
excursión,45.060384433444625
ubicación,44.91775493450574
precios,43.75180068306568
mañana,43.21501020245326
reserva,43.054419662169536
cuartos,42.747950848611886
cabañas,42.747950848611886
estã,42.623692203847455
mayas,42.61403162582164
acceso,42.49321405015526
limpio,42.36850339351337
seguridad,41.93621329733377
salsas,41.767142159618444
arroz,41.52789901032368
horas,41.28825419369879
subir,41.27487757058157
carta,41.167087023374606
vistas,40.906868835142674
lento,40.783894333695436
costillas,40.728522336769764
cena,40.69083855882204
centro,40.411973629586925
rica,40.36920188147701
calor,39.769674729915366
deliciosos,38.31979999891214
huevos,37.729766263145805
porción,37.61794441029023
orden,37.28027775573276
ingredientes,37.248215874789466
pirámide,37.17190721722579
servicios,37.16452664019514
mã,37.12386095173811
cómodas,36.73613052397111
carretera,36.73613052397111
visita,36.68658895237587
suite,36.57023374735111
bistec,35.9672732052137
cerdo,35.808392768148494
pequeña,35.76660585870167
buceo,35.748903138710766
visitar,35.57594034711916
vendedores,35.39799764862131
estacionamiento,35.2798954543197
sabores,35.188047352227386
desayunar,35.00455345928206
enchiladas,34.91016200294551
arena,34.729687887748014
coche,34.58075054435304
dinero,34.566250985191104
check,34.37394532568342
sucia,34.223338859048276
ropa,33.96068269633414
costo,33.892786944616404
bebidas,33.89114490511678
pie,33.36272652727237
cosas,33.16943164319501
reservamos,33.13957647729086
the,33.1000868439546
selva,32.45360049856746
huéspedes,32.33501104720545
jacuzzi,32.311508606142425
viejo,31.97887745677091
lugar,31.73023167455723
platillo,31.621254679088246
margarita,31.56093615840112
café,31.524967231680076
mexicana,31.423541095530435
alquilar,31.3626656132858
presentación,31.321571743365144
golf,31.08182889245548
almuerzo,30.780029461708324
chile,30.54639175257733
cascada,30.249071886601417
almohadas,30.249071886601417
música,30.22814776355375
sirvieron,30.17356804394879
jardines,30.09020597038147
pulpo,30.06921176985533
basura,30.06778429126912
tiendas,30.02231291356621
descansar,29.99145574904331
puerta,29.849570727460772
wifi,29.23180406201253
balcón,29.024679920561248
factura,28.740438978395613
burrito,28.72648170866296
naturaleza,28.364259526619346
tortugas,28.33911686464424
tour,28.19547691213036
pasar,28.122909840652028
rico,28.086011366660387
niños,27.77346789249934
problema,27.705040310038036
propiedad,27.689332344317712
chilaquiles,27.59341397882866
guacamole,27.568890048158412
masaje,27.49915626054674
toalla,27.49915626054674
ricos,27.44451462866555
camarón,27.280077532301704
mole,27.280077532301704
fresco,27.05270146036118
actividades,27.014878811986332
vivo,26.96918587205176
tienes,26.837824734844876
recepcionista,26.811677354033076
regular,26.728951896937815
frijoles,26.210085297350574
habitacion,26.124198447519408
pagar,25.951078662221526
and,25.91410948987241
tortillas,25.83445296613995
probado,25.53747238689708
hermoso,24.772089103895276
corte,24.728031418753073
interesante,24.620442742155014
langosta,24.52559478103386
relleno,24.38972495170762
color,24.32238116191892
sabrosa,24.252813338926956
opciones,24.236599302809303
problemas,24.1839070092512
palenque,24.1839070092512
servicial,24.069894302251296
pueblo,24.022529707333
entrar,23.669632828971327
ventana,23.54292643818445
bonita,23.48897542909176
azul,23.473167641579522
dreams,23.37428282146473
lola,23.273441335297008
cochinita,23.273441335297008
in,23.19698609728607
quesadillas,23.128356422054303
mariscos,23.128356422054303
cultura,22.979797314075896
atún,22.946035049804106
mariachi,22.946035049804106
ensaladas,22.946035049804106
camarera,22.935724954930905
chef,22.91035518904321
luz,22.861065604391975
océano,22.861065604391975
algas,22.858242450017592
snorkel,22.686803914951057
alto,22.390497073532856
salida,22.19957615036439
hermosas,22.173709538518118
animales,22.173709538518118
probamos,22.16878279448605
edificio,22.16669641899481
tortilla,22.091770987128736
albercas,21.999325008437395
olor,21.92385304650939
pasamos,21.90357784675868
olas,21.840823832710097
tarifa,21.840823832710097
filete,21.81885125184094
tardaron,21.741483333874847
pequeño,21.701171450484154
semana,21.671386303894998
guías,21.53914749031583
funcionaba,21.515399107431957
taxi,21.501776735890946
alojado,21.311846101923727
edificios,21.311846101923727
carrito,21.311846101923727
paisaje,21.16344753348904
viejas,21.16344753348904
recorrer,21.16344753348904
vimos,21.035521927020127
básico,20.80514874323591
hermosos,20.80514874323591
camino,20.739431509437985
resort,20.62436719541006
paraíso,20.62436719541006
condiciones,20.486589316693244
transporte,20.486589316693244
calidad,20.430622037656715
aguacate,20.364261168384882
tranquilo,20.342436491741253
cerveza,20.33439088838403
tv,20.303664213324986
pesos,20.270235502584402
iglesia,20.182588987505486
bucear,20.12115056696591
sabrosos,20.06250236889799
dã,19.936888288896384
cuidado,19.929684593681444
gratis,19.927045434749665
personas,19.87647243456754
visto,19.68946495535777
preciosas,19.636826846628438
artesanías,19.636826846628438
hermosa,19.463308996666147
usd,19.43736334404402
sabroso,19.3789555723337
regadera,19.24940938238272
escalones,19.24940938238272
crema,19.21128059589556
baños,19.040121432475935
área,19.01419669293898
calles,18.970996384313217
estuvimos,18.96754871197394
frito,18.909671084928817
hamburguesa,18.909671084928817
ferry,18.75380685134661
norte,18.6672788092358
marisco,18.62314048025799
comí,18.62314048025799
arrachera,18.62314048025799
solar,18.561930475869055
cafe,18.525164643100286
natural,18.498424439797592
vida,18.459166267867243
ciudad,18.421623699962026
dejan,18.36674248437194
funciona,18.306248344207923
tours,18.306248344207923
clima,18.306248344207923
construcción,18.07050341760509
cascadas,18.07050341760509
excursiones,18.07050341760509
mesera,18.034820661943495
pudimos,17.896972164136606
disponible,17.87684208539708
pies,17.874451569355383
piscinas,17.874451569355383
cristalina,17.874451569355383
rocas,17.874451569355383
coba,17.874451569355383
cervezas,17.869910164922395
increíble,17.852589623297998
amplias,17.785225415063124
humedad,17.785225415063124
zonas,17.785225415063124
quieres,17.67135498557863
riviera,17.642665989559465
atención,17.61726080836023
carmen,17.602996700990396
ordenados,17.455081001472756
ajo,17.455081001472756
sombra,17.444672959057918
normal,17.32050097241716
pastas,17.28472094393371
pedro,17.28472094393371
dólares,17.283125492595552
comprar,17.26142905040068
aguas,17.2577003440378
seco,17.25619997949867
esperamos,17.19298179244041
sargazo,17.18697266284171
lobby,17.18697266284171
colchones,17.18697266284171
llave,17.18697266284171
profunda,17.18697266284171
pozole,17.185809017593463
picante,17.185809017593463
probé,17.185809017593463
pedi,17.185809017593463
arquitectura,17.111669429524138
costa,17.111669429524138
televisión,17.111669429524138
puestos,17.111669429524138
temporada,17.10648812029761
llegada,17.10648812029761
extra,16.9944759906043
dejar,16.9944759906043
venden,16.641137363627728
sentamos,16.598958608115232
postres,16.598958608115232
seguro,16.536676943968246
salvavidas,16.499493756328043
iguanas,16.499493756328043
guiada,16.499493756328043
línea,16.438957257377567
necesario,16.36291116685047
chichen,16.36291116685047
privada,16.319376396781223
llegamos,16.314664839043814
belleza,16.303221081768516
itza,16.303221081768516
metros,16.303221081768516
foto,16.23294939194072
partes,16.23294939194072
precioso,16.22084472745034
preciosa,16.13630566257938
excelente,16.098277830341935
antigua,16.022382604711446
surf,16.022382604711446
subida,16.022382604711446
familias,16.022382604711446
bocado,16.00049091801669
empanadas,16.00049091801669
limonada,16.00049091801669
quesadilla,16.00049091801669
servir,15.96092024181068
selección,15.96092024181068
desayuno,15.871215537467087
distancia,15.855792376969365
cómoda,15.855792376969365
