term,score
comida,67.66264610199363
hotel,61.03811708880562
habitación,48.601580183538616
habitaciones,36.53057437867788
playa,32.816112645673634
platillos,31.428985952739694
sabor,29.3087963552134
menú,26.84235732014279
agua,26.496690923891663
ruinas,26.19829791541075
servicio,25.66019512032662
ambiente,25.55683488373
tacos,24.979910853613003
platos,22.211337859036504
mesa,22.013882768006013
carne,21.347051100380618
porciones,20.247766886399685
pizza,19.66941768831432
comer,18.962367501821017
pedimos,18.569238752639354
salsa,17.654345513049478
ensalada,17.423700058418213
plato,17.296835164966602
piscina,16.91958736804413
sazón,16.914349288518082
deliciosa,16.12903030898825
delicioso,16.008372652942903
recepción,15.800446854854219
cenote,15.77450606298804
baño,15.615838749162553
pasta,15.51340764134801
pollo,15.456177775256172
pescado,15.292353829615834
mesero,14.936241472015455
alimentos,14.6580163125344
precios,14.565840282888589
meseros,13.913098446258635
queso,13.68705875655478
lento,13.574427669253083
rica,13.252615624873327
guía,12.953901569703325
restaurante,12.839760851811935
cama,12.779781596768139
pizzas,12.677447066649208
pedí,12.394817292209034
sopa,12.132699295993529
cenar,12.039296656931793
alberca,11.86694617993357
mar,11.793955286130757
camarones,11.331013745025615
camas,11.266676652973942
mesas,11.162811333953861
camarero,10.896879474550154
pan,10.833088456044027
carta,10.761896917376333
cuarto,10.419257777555387
desayunar,10.33346725761635
historia,10.132913153202296
limpias,9.935156601574771
lugar,9.924404329850276
fotos,9.692614149375032
postre,9.595149151035164
nadar,9.5776516228918
regular,9.556379530744437
música,9.518347709290085
café,9.507072672866414
deliciosos,9.49402519836173
comimos,9.448782584862151
caminar,9.380001424742701
rico,9.353436047242138
museo,9.317040786271411
probar,9.266434129021771
patatas,9.19563790115901
mexicana,9.07081293001654
parque,9.016075927443449
margaritas,8.948310666535443
cerca,8.910444956809101
ingredientes,8.850911939882968
complejo,8.762191327460002
acondicionado,8.381628347311567
bebidas,8.336385975504621
información,8.211859343068074
ricos,8.148415404113596
atención,8.098946916380276
excelente,8.091426477045601
salsas,8.046277645874174
cena,8.045072487159018
vino,7.993716901067161
sabores,7.870549752659457
dormir,7.867653593757799
platillo,7.866892783356375
fritas,7.866304867108446
recorrido,7.825108134530794
cenotes,7.7914266342635194
presentación,7.775000233095419
hoteles,7.746329963246653
paseo,7.692444309122253
playas,7.6203305351800665
limpia,7.446005322473782
opciones,7.40174461754582
maya,7.373752965853665
almuerzo,7.3641638776046054
instalaciones,7.314361231998953
toallas,7.262634055622664
zona,7.226650753457598
costillas,7.223983152460258
noches,7.21619768123195
mantenimiento,7.04263456051015
estancia,7.016236691140065
porción,6.924714967587574
ducha,6.894473374078217
ruido,6.880740582726248
chile,6.88026881661024
chilaquiles,6.853321990222666
incluido,6.82625124533076
calidad,6.795311959063027
enchiladas,6.779957030369643
margarita,6.777037956724929
huevos,6.761628156461382
tulum,6.654035054832457
caliente,6.617412864282164
mariachi,6.5359915419772285
vivo,6.495756450078538
cerdo,6.4700504583784095
internet,6.458127659707896
alojamos,6.37145608388755
accesibles,6.365827782850307
burrito,6.345705117452717
sirvieron,6.2860701099866265
camarón,6.278777460960116
arroz,6.190149476710283
cuartos,6.150052264543573
mayas,5.995534693435069
cochinita,5.963893177856511
tardaron,5.953038023732506
bistec,5.859810863947154
spa,5.836864264151459
pulpo,5.804093071752988
normal,5.734008580973301
quesadillas,5.72489748560227
sol,5.706090415312645
tortillas,5.702624956197742
limpieza,5.639093792142653
cómodas,5.635074007538443
estã,5.60960035171455
mole,5.605287017606991
acceso,5.596763365274793
orden,5.556711153614226
tardan,5.54472972434753
cabañas,5.500573651497281
