term,score
hotel,0.1127150689284171
habitación,0.08166864396962681
comida,0.08138426186944048
habitaciones,0.07290325919146379
agua,0.04871205551650937
playa,0.04328702260298656
ruinas,0.029254640683636812
recepción,0.028790722334696928
piscina,0.027338045131386934
baño,0.025396090912598868
servicio,0.024933161626235045
menú,0.024586410203376485
sabor,0.0228812486692076
platillos,0.021230784708813788
cama,0.020380080998720573
mesa,0.019064856117279594
platos,0.018929385894214112
guía,0.0177861141265081
tacos,0.017549643930187764
carne,0.017322407964676323
ambiente,0.017075982331920425
camas,0.016876016421148554
alberca,0.01642191433545681
mar,0.016410142711871578
ensalada,0.016002717646777187
plato,0.015899136397623415
cuarto,0.01561142359239942
porciones,0.015429141797577817
pedimos,0.015381595647020463
salsa,0.015153978496844633
limpias,0.015153120725948988
cenote,0.014284979541903664
comer,0.01394214714468045
acondicionado,0.013900885267574048
cerca,0.013043748031882463
fotos,0.013027770721126375
nadar,0.012609725698607077
personal,0.012599849841985256
historia,0.012344968158344072
pescado,0.012101677423902779
pizza,0.012075339184905998
sazón,0.012046584184900566
noches,0.011941959025722149
estancia,0.011680018169525241
complejo,0.011660403560358246
pollo,0.011614151034843867
queso,0.011591854858225337
dormir,0.01159017621295555
caminar,0.011416551863770108
hoteles,0.01133054019428581
instalaciones,0.01126303216305291
toallas,0.011128206374054983
limpia,0.010979162543903298
parque,0.010974299013328692
delicioso,0.010871475532802433
alojamos,0.010565575871709143
pasta,0.010425537501267401
pedí,0.010338616502697184
zona,0.010334501867663604
maya,0.010167642633530871
tulum,0.010126831420485649
ducha,0.009854629373364898
información,0.009854629373364898
recorrido,0.009821606959344753
mesero,0.009813686345841344
entrada,0.009561026017510854
camarero,0.009553362571989021
noche,0.009506570050536678
paseo,0.0094808529728303
camarones,0.009439711971833242
caliente,0.009321326893134918
deliciosa,0.009320084622950975
sopa,0.009142288065097537
puedes,0.008961970027983157
playas,0.008960097950515666
incluido,0.008816075746245433
mantenimiento,0.00880743157761632
spa,0.00880743157761632
limpieza,0.008799622699011023
aire,0.008688269232782764
ruido,0.008541089057015117
internet,0.008531708881758693
patatas,0.008465233476997347
cenotes,0.008360192911839426
lugar,0.00821196426144366
meseros,0.008177513248892931
llegar,0.008146701687306135
museo,0.008129655186829843
restaurante,0.008094395418148381
cenar,0.008023259383875825
gente,0.008006610992649876
acceso,0.007722490833826479
seguridad,0.007598734683369357
mesas,0.007381253128853293
pan,0.007255240679504227
sol,0.007219380567071276
cuartos,0.007172695778230431
cabañas,0.007024832363104361
postre,0.0070166966721264545
check,0.006987122279293656
pena,0.0068212377658892764
probar,0.006724932459739819
pizzas,0.006690992918991334
fritas,0.006682463609802514
comimos,0.006675372596532392
viaje,0.006619736632053397
precios,0.00655267862589648
ubicación,0.0065348588294078525
cómodas,0.0065089548046024515
limpio,0.006489382454005876
reservamos,0.00643479629075927
mayas,0.006417773606638422
almohadas,0.006376160639005812
buceo,0.006376160639005812
calor,0.00633538229189301
excursión,0.006320056496046833
horas,0.006308852248579688
vale,0.0063016075295982965
margaritas,0.006301142029877305
enchiladas,0.006242623724902141
mã,0.006223521744798233
deliciosos,0.006184889431916085
salsas,0.006182089628082421
mañana,0.006138447154762083
persona,0.006095746129437085
rica,0.006082840806539758
arena,0.005978493861562795
sucia,0.005971134690503366
estacionamiento,0.005936812001843261
estã,0.005918365620863453
servicios,0.005883318065459164
subir,0.005882992607923909
suite,0.005847228359214585
carta,0.005718090378141749
vistas,0.005704736062420279
carretera,0.005702062551502629
jacuzzi,0.005613371569314185
ingredientes,0.005592575747444761
vendedores,0.005584380163561109
centro,0.005488893327989408
chile,0.005459623951740822
costillas,0.005459623951740822
alimentos,0.005446660434961448
alquilar,0.005382718130816144
viejo,0.005370291423861473
lento,0.005344365335315571
sitio,0.005341357051683593
ropa,0.005323562558867012
sabores,0.0053063099940426905
visitar,0.00528577284910603
visita,0.005272384642689754
cena,0.0052674730747674925
balcón,0.005262454293941676
cerdo,0.00522539627288876
vino,0.005184720550931554
platillo,0.005180768052141627
recepcionista,0.005156183992688024
