term,score
vale pena,0.015987124050795387
ruinas tulum,0.01112848212278239
aire acondicionado,0.010195288510904121
ruinas mayas,0.007493849550692988
servicio lento,0.00718880961389079
personal amable,0.006843776604733454
playa carmen,0.006571446810553105
comida servicio,0.0062104627968344595
pesos persona,0.005529886960591868
chichen itza,0.005322890881412912
excelente servicio,0.005246221339645696
servicio comida,0.005150281026193859
comida rica,0.005150281026193859
tomar fotos,0.004887811000703235
traje baño,0.0046500667641562465
hotel bonito,0.004578455727781705
personal recepción,0.004478384843353833
habitaciones limpias,0.004378338096152734
agua cristalina,0.004253869357293993
servicio excelente,0.004078342560377535
agua clara,0.00404686833404766
protector solar,0.003933109660238965
cultura maya,0.00378717451520294
vendedores ambulantes,0.003708861223210236
25 pesos,0.003708861223210236
150 pesos,0.0035748447723630283
guía turístico,0.0035748447723630283
punta sur,0.0035748447723630283
precio entrada,0.0035748447723630283
comida restaurante,0.00347900160942638
calidad comida,0.0033791955892629177
excelente comida,0.0033791955892629177
lugar comida,0.0033791955892629177
zona arqueológica,0.0033751528903339656
agua caliente,0.003372024849590427
merece pena,0.0032187097072806647
ruinas playa,0.003216722157453611
llena gente,0.003216722157453611
check in,0.0031796555623857525
lleno gente,0.0031470516692958528
costo entrada,0.0030383098980260037
habitación limpia,0.0029802114757357945
comida excelente,0.0029802114757357945
comida deliciosa,0.0029659277386548943
ambiente agradable,0.0028837667554414415
cenote bonito,0.0028587416884297
excursión guiada,0.0028587416884297
chaleco salvavidas,0.0028587416884297
entrada ruinas,0.0028587416884297
playa llena,0.0028587416884297
playa paraíso,0.0028587416884297
cenote hermoso,0.0028587416884297
visita guiada,0.002831462321189915
desayuno incluido,0.0026812250300045637
riviera maya,0.002613089746325792
visita obligada,0.0025987021476493455
50 pesos,0.0025194608118109807
color agua,0.002500903238396801
pesos entrada,0.002500903238396801
puedes subir,0.002500903238396801
tarifa entrada,0.002500903238396801
solar agua,0.002500903238396801
estã bamos,0.002500903238396801
playa paraiso,0.002500903238396801
playa ruinas,0.002500903238396801
comida mala,0.002482020386784245
pirámide sol,0.00242071163798796
precio calidad,0.0023824539265464573
calidad alimentos,0.0023824539265464573
pasar noche,0.0023824539265464573
agradable comida,0.0023824539265464573
amable servicial,0.0023675513765029077
hotel personal,0.002282911358439943
wi fi,0.002282911358439943
calidad precio,0.002281392162188256
agua azul,0.0022116514998167247
lugar agradable,0.0021927012335647422
personal hotel,0.0021509918205868672
tulum ruinas,0.0021432066806481576
peces tortugas,0.0021432066806481576
paraã so,0.0021432066806481576
cenote increíble,0.0021432066806481576
tienes oportunidad,0.0021432066806481576
equipo buceo,0.0021432066806481576
ruinas impresionantes,0.0021432066806481576
camino vuelta,0.0021432066806481576
pesos entrar,0.0021432066806481576
65 pesos,0.0021432066806481576
entrar agua,0.0021432066806481576
zona arqueologica,0.0021432066806481576
mar turquesa,0.0021432066806481576
pequeño museo,0.0021432066806481576
pagar entrada,0.0021432066806481576
agua fría,0.0021296112789569444
100 pesos,0.0020887792575976505
servicio meseros,0.0020838978523206597
montón gente,0.002072867877635387
relación calidad,0.0020617459532561444
servicio amable,0.0020606491566427243
música vivo,0.0020606491566427243
comida mediocre,0.0019844268911796137
excelente atención,0.0019844268911796137
cuarto baño,0.0019706408667699016
duda volveremos,0.0018849797759123987
hotel situado,0.0018849797759123987
hotel ubicación,0.0018849797759123987
hotel habitaciones,0.0018849797759123987
excelente ubicación,0.0018849797759123987
comida regular,0.0018809883602198818
playa hermosa,0.00184386128431413
mala experiencia,0.0018243012355100285
pena viaje,0.001820862712277438
pena visitar,0.0018117305485902957
patatas fritas,0.0017917153432041033
llegar cima,0.001785651888663753
tomar baño,0.001785651888663753
evitar multitudes,0.001785651888663753
tour guiado,0.001785651888663753
escalones llegar,0.001785651888663753
maã ana,0.001785651888663753
playa estã,0.001785651888663753
condición física,0.001785651888663753
cenote ojos,0.001785651888663753
interesante historia,0.001785651888663753
carmen tulum,0.001785651888663753
ropa cómoda,0.001785651888663753
historia cultura,0.001785651888663753
caminar ruinas,0.001785651888663753
gafas sol,0.001785651888663753
paseo caballo,0.001785651888663753
350 pesos,0.001785651888663753
playa agua,0.001785651888663753
paseo ruinas,0.001785651888663753
protección solar,0.001785651888663753
ruinas lugar,0.001785651888663753
bloqueador solar,0.001785651888663753
quieres nadar,0.001785651888663753
pirámides sol,0.001785651888663753
pirámide luna,0.001785651888663753
historia maya,0.001785651888663753
habitaciones amplias,0.0017855564949761371
dreams tulum,0.0017855564949761371
relación precio,0.0017855564949761371
cerca centro,0.0017774483852476264
minutos coche,0.0017297920784270504
chalecos salvavidas,0.0017297920784270504
servicio restaurante,0.0017028481595450229
hotel viejo,0.0016861570368358336
ubicación hotel,0.0016861570368358336
servicio pésimo,0.0016861570368358336
llegamos hotel,0.0016861570368358336
comida increíble,0.0016861570368358336
llegar hotel,0.0016861570368358336
ciudad méxico,0.0016340084054432547
visitar ruinas,0.0016119773318652442
vistas increíbles,0.0016119773318652442
agradable servicio,0.00158678138996593
mejores opciones,0.00158678138996593
hotel habitación,0.00158678138996593
comida atención,0.00158678138996593
servicio habitación,0.00158678138996593
lugar servicio,0.00158678138996593
hotel estrellas,0.00158678138996593
servicio rápido,0.00158678138996593
pasar tiempo,0.0015758215004854081
hermosa playa,0.0015758215004854081
sitio arqueológico,0.001565154252784251
ida vuelta,0.001565154252784251
lugar puedes,0.001565154252784251
playa bonita,0.001557825829211934
acceso playa,0.0015519223537876492
pena visitarlo,0.0015519223537876492
atención personal,0.0015319183001671899
tacos pescado,0.0015319183001671899
personal agradable,0.0015319183001671899
servicio malo,0.0015264523745316394
general hotel,0.0014874295428478623
ropa cama,0.0014874295428478623
servicio lugar,0.0014874295428478623
comida sabor,0.0014874295428478623
noche hotel,0.0014874295428478623
camas dobles,0.0014874295428478623
carrito golf,0.0014513626807587388
lugar comer,0.0014389937323731061
atención cliente,0.0014389937323731061
personal servicial,0.0014389937323731061
sol luna,0.0014282387361088666
sillas sombrillas,0.0014282387361088666
tuvimos guía,0.0014282387361088666
playa vale,0.0014282387361088666
español inglés,0.0014282387361088666
clubes playa,0.0014282387361088666
ruinas caminar,0.0014282387361088666
ocã ano,0.0014282387361088666
64 pesos,0.0014282387361088666
playa nadar,0.0014282387361088666
playa muertos,0.0014282387361088666
mã tranquilo,0.0014282387361088666
tiendas recuerdos,0.0014282387361088666
ruinas guía,0.0014282387361088666
800 metros,0.0014282387361088666
playa maya,0.0014282387361088666
playa mã,0.0014282387361088666
cerca valladolid,0.0014282387361088666
pena pagar,0.0014282387361088666
color azul,0.0014282387361088666
ruinas mar,0.0014282387361088666
explica historia,0.0014282387361088666
incluye guía,0.0014282387361088666
of the,0.0014282387361088666
persona cenote,0.0014282387361088666
cobran entrada,0.0014282387361088666
tomar foto,0.0014282387361088666
tenã amos,0.0014282387361088666
pesos llegar,0.0014282387361088666
montón fotos,0.0014282387361088666
tomar fotografías,0.0014282387361088666
lleven agua,0.0014282387361088666
visita cenote,0.0014282387361088666
playa concurrida,0.0014282387361088666
increã ble,0.0014282387361088666
calzado cómodo,0.0014282387361088666
tome agua,0.0014282387361088666
increíble agua,0.0014282387361088666
experiencia puedes,0.0014282387361088666
vida mayas,0.0014282387361088666
corto trayecto,0.0014282387361088666
ek balam,0.0014282387361088666
ruinas preciosas,0.0014282387361088666
gente toma,0.0014282387361088666
lugar imperdible,0.0014282387361088666
agua playa,0.0014282387361088666
lugar ruinas,0.0014282387361088666
10 mañana,0.0014282387361088666
it was,0.0014282387361088666
gorra lentes,0.0014282387361088666
tratando vender,0.0014282387361088666
agua bloqueador,0.0014282387361088666
lugar gente,0.0014282387361088666
tienes condición,0.0014282387361088666
información acerca,0.0014282387361088666
recorrer lugar,0.0014282387361088666
entrada gratis,0.0014282387361088666
visto vida,0.0014282387361088666
contratar guía,0.0014282387361088666
hermoso cenote,0.0014282387361088666
lugar nadar,0.0014282387361088666
ciudad maya,0.0014282387361088666
bajar playa,0.001413514528488924
zapatos cómodos,0.001413514528488924
hicimos excursión,0.001413514528488924
nadar cenote,0.001413514528488924
agua dulce,0.001413514528488924
tomar taxi,0.001413514528488924
pequeña playa,0.001413514528488924
habitaciones hotel,0.0013881014839727257
ambiente relajado,0.0013881014839727257
hotel boutique,0.0013881014839727257
restaurante servicio,0.0013881014839727257
presión agua,0.0013881014839727257
servicio hotel,0.0013881014839727257
bonita vista,0.0013881014839727257
tuvimos pedir,0.0013881014839727257
hotel agradable,0.0013881014839727257
habitaciones pequeñas,0.0013881014839727257
servicio atento,0.0013881014839727257
comida ambiente,0.0013881014839727257
hotel excelente,0.0013881014839727257
servicio personal,0.001352082149046585
lugar interesante,0.001322542572037455
pueblo mágico,0.0013122850744734516
pena visita,0.0013122850744734516
20 pesos,0.0013122850744734516
fines semana,0.001295490429649604
experiencia única,0.001295490429649604
lugar vale,0.001294642692244219
puedes dejar,0.001294642692244219
personal atento,0.0012910596148801856
ubicación playa,0.0012887972018398308
baja calidad,0.0012887972018398308
menú variado,0.0012887972018398308
comida caro,0.0012887972018398308
habitaciones cómodas,0.0012887972018398308
45 minutos,0.0012406268177239665
comida mexicana,0.0012177507809782995
lugar acogedor,0.001189516684956038
lento comida,0.001189516684956038
plato principal,0.001189516684956038
noches hotel,0.001189516684956038
hotel noche,0.001189516684956038
habitación camas,0.001189516684956038
hotel ubicado,0.001189516684956038
hotel caro,0.001189516684956038
caja fuerte,0.001189516684956038
habitación habitación,0.001189516684956038
única queja,0.001189516684956038
hotel restaurante,0.001189516684956038
hotel limpio,0.0011800973631110878
playa preciosa,0.0011421722669285872
lugar lindo,0.0011358524610300957
aguas cristalinas,0.0011043324976759417
subir pirámides,0.0011043324976759417
nadar agua,0.0011043324976759417
playas hermosas,0.0011043324976759417
agua transparente,0.0011043324976759417
tiempo dinero,0.0011043324976759417
10 pesos,0.0011043324976759417
adultos mayores,0.0011043324976759417
único vale,0.0011043324976759417
pasamos horas,0.0011043324976759417
coche alquiler,0.0011043324976759417
grupos turistas,0.0011043324976759417
cerca ciudad,0.0011043324976759417
valga pena,0.0011043324976759417
agua agua,0.0011043324976759417
prismas basálticos,0.0011043324976759417
sac actun,0.0011043324976759417
bonitas vistas,0.0011043324976759417
dejar visitar,0.0011043324976759417
entrada parque,0.0011043324976759417
gente local,0.0011043324976759417
amable atento,0.0010951411550615964
camas cómodas,0.0010951411550615964
meseros amables,0.001090259921837755
servicial amable,0.001090259921837755
habitación baño,0.001090259921837755
deliciosa comida,0.001090259921837755
servicio ambiente,0.001090259921837755
habíamos reservado,0.001090259921837755
mala atención,0.001090259921837755
huevos revueltos,0.001090259921837755
servicio impecable,0.001090259921837755
platos principales,0.001090259921837755
habitaciones bonitas,0.001090259921837755
noche habitación,0.001090259921837755
estancia hotel,0.001090259921837755
hotel instalaciones,0.001090259921837755
pésima atención,0.001090259921837755
excelente ambiente,0.001090259921837755
comida sabrosa,0.001090259921837755
habitaciones sencillas,0.001090259921837755
comida comida,0.001090259921837755
sopa tortilla,0.001090259921837755
desayuno comida,0.001090259921837755
hermosos jardines,0.0010709670968352958
explorar ruinas,0.0010709670968352958
ruinas conservadas,0.0010709670968352958
lugar refrescarse,0.0010709670968352958
ruinas coba,0.0010709670968352958
iglesia remedios,0.0010709670968352958
comprar comida,0.0010709670968352958
azul turquesa,0.0010709670968352958
autobús local,0.0010709670968352958
ubicación fantástica,0.0010709670968352958
mar increíble,0.0010709670968352958
darse vuelta,0.0010709670968352958
trayecto coche,0.0010709670968352958
flora fauna,0.0010709670968352958
ruinas absolutamente,0.0010709670968352958
estalactitas estalagmitas,0.0010709670968352958
tratando venderte,0.0010709670968352958
vimos peces,0.0010709670968352958
ruinas chichen,0.0010709670968352958
historia tulum,0.0010709670968352958
playa palmeras,0.0010709670968352958
mar ruinas,0.0010709670968352958
agave azul,0.0010709670968352958
cenote subterráneo,0.0010709670968352958
visitamos cenote,0.0010709670968352958
rica historia,0.0010709670968352958
sombrero agua,0.0010709670968352958
visitar playa,0.0010709670968352958
historia lugar,0.0010709670968352958
hicimos recorrido,0.0010709670968352958
cenotes cerca,0.0010709670968352958
llegamos 10,0.0010709670968352958
estás interesado,0.0010709670968352958
ruinas historia,0.0010709670968352958
gorra sombrero,0.0010709670968352958
ruinas interesantes,0.0010709670968352958
playa pie,0.0010709670968352958
ruinas interesante,0.0010709670968352958
tomar descanso,0.0010709670968352958
estás viendo,0.0010709670968352958
ruinas parecía,0.0010709670968352958
comprar boletos,0.0010709670968352958
pareció interesante,0.0010709670968352958
méxico maravilla,0.0010709670968352958
lugar sagrado,0.0010709670968352958
ciudad tulum,0.0010709670968352958
formaciones rocosas,0.0010709670968352958
evitar calor,0.0010709670968352958
toman foto,0.0010709670968352958
lã nea,0.0010709670968352958
tiendas artesanías,0.0010709670968352958
lleno peces,0.0010709670968352958
gente ruinas,0.0010709670968352958
tipos tequila,0.0010709670968352958
visitar cenotes,0.0010709670968352958
lleno vendedores,0.0010709670968352958
visitamos museo,0.0010709670968352958
cerca tulum,0.0010709670968352958
visitar cenote,0.0010709670968352958
hora coche,0.0010709670968352958
mar espectacular,0.0010709670968352958
lugar conservado,0.0010709670968352958
clima agradable,0.0010709670968352958
chapuzón mar,0.0010709670968352958
vistas maravillosas,0.0010709670968352958
bonito agua,0.0010709670968352958
visita agradable,0.0010709670968352958
aguas azules,0.0010709670968352958
pagar 10,0.0010709670968352958
montón información,0.0010709670968352958
ropa comoda,0.0010709670968352958
mar agitado,0.0010709670968352958
ruinas vista,0.0010709670968352958
condición fisica,0.0010709670968352958
bonito lleno,0.0010709670968352958
llegar mañana,0.0010709670968352958
problema algas,0.0010709670968352958
ruinas 10,0.0010709670968352958
historia fascinante,0.0010709670968352958
ruinas sitio,0.0010709670968352958
tomar agua,0.0010709670968352958
llegar playa,0.0010709670968352958
ubicación ruinas,0.0010709670968352958
llegar tienes,0.0010709670968352958
experiencia cenote,0.0010709670968352958
llegar zona,0.0010709670968352958
agua sombrero,0.0010709670968352958
profunda agua,0.0010709670968352958
agradable lleno,0.0010709670968352958
lugares interesantes,0.0010709670968352958
autobuses excursión,0.0010709670968352958
agua gorra,0.0010709670968352958
destacado viaje,0.0010709670968352958
habã montã³n,0.0010709670968352958
sol insoportable,0.0010709670968352958
paga entrada,0.0010709670968352958
visita obligatoria,0.0010709670968352958
estilo barroco,0.0010709670968352958
lugares sombra,0.0010709670968352958
mariposa monarca,0.0010709670968352958
puestos vendedores,0.0010709670968352958
descansar playa,0.0010709670968352958
seguir camino,0.0010709670968352958
autopista principal,0.0010709670968352958
playa surf,0.0010709670968352958
caminar sendero,0.0010709670968352958
viaje vale,0.0010709670968352958
arqueologica tulum,0.0010709670968352958
lentes sol,0.0010709670968352958
subir cerro,0.0010709670968352958
increã bles,0.0010709670968352958
subir alto,0.0010709670968352958
entrar ruinas,0.0010709670968352958
cristóbal palenque,0.0010709670968352958
viaje lancha,0.0010709670968352958
colección arte,0.0010709670968352958
paseo agradable,0.0010709670968352958
camino coba,0.0010709670968352958
recomiendo pasar,0.0010709670968352958
entrar parque,0.0010709670968352958
pequeña capilla,0.0010709670968352958
cruz roja,0.0010709670968352958
arqueológica tulum,0.0010709670968352958
parque sueños,0.0010709670968352958
caminar lugar,0.0010709670968352958
gusta historia,0.0010709670968352958
alquilar guía,0.0010709670968352958
pozas azules,0.0010709670968352958
antigua ciudad,0.0010709670968352958
contenedores basura,0.0010709670968352958
vida salvaje,0.0010709670968352958
disfrutar playa,0.0010709670968352958
poza azul,0.0010709670968352958
tomarte foto,0.0010709670968352958
equipo snorkel,0.0010709670968352958
tomarte fotos,0.0010709670968352958
coche valladolid,0.0010709670968352958
meterse agua,0.0010709670968352958
mañana gente,0.0010709670968352958
coche zona,0.0010709670968352958
paseo barco,0.0010709670968352958
ganas caminar,0.0010709670968352958
bucear cuevas,0.0010709670968352958
aparcamiento realmente,0.0010709670968352958
justo costa,0.0010709670968352958
guía hicimos,0.0010709670968352958
museo puedes,0.0010709670968352958
justo entrada,0.0010709670968352958
guía conocimiento,0.0010709670968352958
apreciar belleza,0.0010709670968352958
tulum paseo,0.0010709670968352958
museo sencillo,0.0010709670968352958
entrada 70,0.0010709670968352958
guía explica,0.0010709670968352958
sitio 10,0.0010709670968352958
guía excursión,0.0010709670968352958
museo sitio,0.0010709670968352958
guía excelente,0.0010709670968352958
justo ruinas,0.0010709670968352958
guía inglesa,0.0010709670968352958
entrada cenote,0.0010709670968352958
guía local,0.0010709670968352958
únicas ruinas,0.0010709670968352958
pequeño cenote,0.0010709670968352958
pueblo mã,0.0010709670968352958
contratamos guía,0.0010709670968352958
buceo agua,0.0010709670968352958
pequeño mercado,0.0010709670968352958
entrada razonable,0.0010709670968352958
cantidad turistas,0.0010709670968352958
museo pequeño,0.0010709670968352958
entrada incluye,0.0010709670968352958
recorrido lancha,0.0010709670968352958
entrada gratuita,0.0010709670968352958
abierto público,0.0010709670968352958
aprender historia,0.0010709670968352958
guía personal,0.0010709670968352958
mayorã restaurantes,0.0010709670968352958
museo vale,0.0010709670968352958
sitio pequeño,0.0010709670968352958
cenote azul,0.0010709670968352958
pena paseo,0.0010709670968352958
tomar sol,0.0010709670968352958
playa tomar,0.0010709670968352958
playas cercanas,0.0010709670968352958
pena parada,0.0010709670968352958
mã xico,0.0010709670968352958
tortugas marinas,0.0010709670968352958
interesante visitar,0.0010709670968352958
artesanías productos,0.0010709670968352958
cenote cenote,0.0010709670968352958
turquesa aguas,0.0010709670968352958
sitios mayas,0.0010709670968352958
cenote cerca,0.0010709670968352958
bares playa,0.0010709670968352958
resto playa,0.0010709670968352958
playas caribe,0.0010709670968352958
cobraron entrada,0.0010709670968352958
interesante vista,0.0010709670968352958
turã stico,0.0010709670968352958
mayas tulum,0.0010709670968352958
llegar caminando,0.0010424847158583272
playa principal,0.0010424847158583272
duda vale,0.0010424847158583272
niños pequeños,0.001039130825057133
visitar lugar,0.001039130825057133
tulum playa,0.0010341679399141768
mejores playas,0.0010341679399141768
120 pesos,0.0010341679399141768
pésimo servicio,0.001003115730464299
alojamos noche,0.0009910269010091621
baño habitación,0.0009910269010091621
sentir casa,0.0009910269010091621
cama cómoda,0.0009910269010091621
restaurante precios,0.0009910269010091621
habitación pequeña,0.0009910269010091621
reservado habitación,0.0009910269010091621
restaurante pequeño,0.0009910269010091621
cama king,0.0009910269010091621
comida espectacular,0.0009910269010091621
hotel pequeño,0.0009910269010091621
ubicación perfecta,0.0009910269010091621
ingredientes frescos,0.0009910269010091621
restaurante excelente,0.0009910269010091621
restaurante bonito,0.0009910269010091621
dólares noche,0.0009910269010091621
servicio genial,0.0009910269010091621
cama doble,0.0009910269010091621
precios razonables,0.0009770209757838932
temporada baja,0.0009410479433443752
servicio atención,0.0009276657437369273
camas duras,0.0008918176110030984
restaurante situado,0.0008918176110030984
restaurante bar,0.0008918176110030984
tomar orden,0.0008918176110030984
restaurante desayuno,0.0008918176110030984
comida personal,0.0008918176110030984
excelente calidad,0.0008918176110030984
llegamos habitación,0.0008918176110030984
bonito comida,0.0008918176110030984
habitaciones básicas,0.0008918176110030984
camarones coco,0.0008918176110030984
atención servicio,0.0008918176110030984
decidimos comer,0.0008918176110030984
ambiente servicio,0.0008918176110030984
posada mar,0.0008918176110030984
amable comida,0.0008918176110030984
agradable hotel,0.0008918176110030984
porciones pequeñas,0.0008918176110030984
meseros atentos,0.0008918176110030984
habitación cama,0.0008918176110030984
servicio deficiente,0.0008918176110030984
teníamos habitación,0.0008918176110030984
ubicación excelente,0.0008918176110030984
excelente hotel,0.0008918176110030984
hotel lleno,0.0008918176110030984
buffet desayuno,0.0008918176110030984
almuerzo cena,0.0008918176110030984
desayuno buffet,0.0008918176110030984
agradable personal,0.0008918176110030984
caro ofrecen,0.0008918176110030984
atención comida,0.0008918176110030984
desayuno cena,0.0008918176110030984
mejores restaurantes,0.0008918176110030984
disfrutamos estancia,0.0008918176110030984
pesos mexicanos,0.0008149596926613212
llegamos mañana,0.0008050759217793635
arena suave,0.0008050759217793635
agua lugar,0.0008050759217793635
40 pesos,0.0008050759217793635
contacto naturaleza,0.0008050759217793635
hermosa agua,0.0008050759217793635
pie playa,0.0008050759217793635
entrada principal,0.0008050759217793635
belleza natural,0.0008050759217793635
demasiada gente,0.0008050759217793635
playa puedes,0.0008050759217793635
pagar tarifa,0.0008050759217793635
repelente insectos,0.0008050759217793635
pena subir,0.0008050759217793635
puestos comida,0.0008050759217793635
pie ruinas,0.0008050759217793635
tiempo playa,0.0008050759217793635
viaje ruinas,0.0008050759217793635
cenote samula,0.0008050759217793635
restaurantes bares,0.0008050759217793635
belleza lugar,0.0008050759217793635
interesante lugar,0.0008050759217793635
playa limpia,0.0008050759217793635
zona piscina,0.000792632040360508
mala comida,0.000792632040360508
servicio precios,0.000792632040360508
lugar vacío,0.000792632040360508
limpio personal,0.000792632040360508
incluye desayuno,0.000792632040360508
100 recomendable,0.000792632040360508
estuvimos noche,0.000792632040360508
habitación servicio,0.000792632040360508
comida sazón,0.000792632040360508
habitación daba,0.000792632040360508
excelente personal,0.000792632040360508
centro san,0.000792632040360508
ruinas palenque,0.000792632040360508
restaurante agradable,0.000792632040360508
ambiente comida,0.000792632040360508
comida tuvimos,0.000792632040360508
conexión wi,0.000792632040360508
grupo personas,0.000792632040360508
suite junior,0.000792632040360508
olor humedad,0.000792632040360508
comida deja,0.000792632040360508
booking com,0.000792632040360508
deliciosa servicio,0.000792632040360508
precio comida,0.000792632040360508
ubicación genial,0.000792632040360508
ambiente lugar,0.000792632040360508
instalaciones limpias,0.000792632040360508
experiencia lugar,0.000792632040360508
encantó hotel,0.000792632040360508
ventilador techo,0.000792632040360508
comida duda,0.000792632040360508
comida hotel,0.000792632040360508
