term,score
vale pena,0.011268614679964978
ruinas tulum,0.007713676007320226
aire acondicionado,0.007093292010779592
ruinas mayas,0.005281855407678763
servicio lento,0.004982903115450173
personal amable,0.004743744457953969
playa carmen,0.004634936318059424
comida servicio,0.004312985241377466
pesos persona,0.003945161975102413
chichen itza,0.003904486514534489
excelente servicio,0.003639528657339265
servicio comida,0.003573077508893582
comida rica,0.0035699027723972675
tomar fotos,0.0034466608032929953
traje baño,0.0032231806669905435
hotel bonito,0.003173543679029978
personal recepción,0.0031041798276327595
habitaciones limpias,0.0030348327068872305
agua cristalina,0.0029485575514806967
servicio excelente,0.0028268916470837943
agua clara,0.0028050753758420803
protector solar,0.0027262238718291382
cultura maya,0.002625069337501812
25 pesos,0.002602872534143551
vendedores ambulantes,0.0025707866999556007
zona arqueológica,0.0025581344467783887
guía turístico,0.002477893574903413
precio entrada,0.002477893574903413
150 pesos,0.002477893574903412
punta sur,0.0024778935749034106
merece pena,0.0024458021582204744
comida restaurante,0.0024114601567379462
agua caliente,0.0023949042532044164
personal hotel,0.002380943025958998
calidad comida,0.002342279895259196
excelente comida,0.002342279895259196
lugar comida,0.002342279895259196
ruinas playa,0.0022296618940840195
llena gente,0.0022296618940840195
check in,0.0022039692882218484
lleno gente,0.002181369991648672
costo entrada,0.002105995939484355
comida deliciosa,0.002066938738063088
habitación limpia,0.0020657251818807162
comida excelente,0.0020657251818807162
ambiente agradable,0.0019988747959274627
cenote hermoso,0.001981528741285316
entrada ruinas,0.001981528741285316
playa llena,0.001981528741285316
cenote bonito,0.001981528741285316
excursión guiada,0.001981528741285315
playa paraíso,0.001981528741285315
chaleco salvavidas,0.001981528741285315
riviera maya,0.0019735562984455842
visita guiada,0.0019626201247941134
desayuno incluido,0.0018584835699952073
mala experiencia,0.0018277346035164978
visita obligada,0.0018012830667598467
50 pesos,0.0017463571582381331
playa paraiso,0.0017334940285481026
puedes subir,0.0017334940285481017
playa ruinas,0.0017334940285481017
color agua,0.0017334940285481017
