term,score
aire acondicionado,0.03604932666412475
agua caliente,0.019367332191286724
personal recepción,0.015674509126285763
habitaciones limpias,0.015323178409446414
hotel bonito,0.014385643525366976
check in,0.011117975346671916
habitación limpia,0.010419031960243963
personal hotel,0.00958649303914394
desayuno incluido,0.009371642364265464
cuarto baño,0.008906868512374544
personal amable,0.008724263861351611
hotel personal,0.007977032119083183
hotel situado,0.006584596855769398
hotel ubicación,0.006584596855769398
hotel habitaciones,0.006584596855769398
dreams tulum,0.006236826992442546
habitaciones amplias,0.006236826992442546
comida restaurante,0.0060563403709281705
hotel viejo,0.005889192474053617
ubicación hotel,0.005889192474053617
hotel limpio,0.0058751601968165534
hotel habitación,0.00554169318286768
servicio habitación,0.00554169318286768
hotel estrellas,0.00554169318286768
cerca centro,0.005383161798636071
noche hotel,0.005194329001317222
camas dobles,0.005194329001317222
general hotel,0.005194329001317222
ropa cama,0.005194329001317222
pasar noche,0.004979370634655589
personal servicial,0.004979370634655589
hotel excelente,0.004847099812003597
hotel agradable,0.004847099812003597
habitaciones hotel,0.004847099812003597
servicio hotel,0.004847099812003597
habitaciones pequeñas,0.004847099812003597
camas cómodas,0.004566458770472459
llegamos hotel,0.00454723002208246
amable servicial,0.004395634395799153
noches hotel,0.00415304594132726
habitación camas,0.00415304594132726
hotel noche,0.00415304594132726
caja fuerte,0.00415304594132726
hotel ubicado,0.00415304594132726
habitación habitación,0.00415304594132726
servicio personal,0.003929432162267155
wi fi,0.003929432162267155
alojamos noches,0.0038900480809114235
lugar agradable,0.0038502379186645674
noche habitación,0.003806221026004253
habíamos reservado,0.003806221026004253
habitación baño,0.003806221026004253
hotel instalaciones,0.003806221026004253
estancia hotel,0.003806221026004253
habitaciones sencillas,0.003806221026004253
llegar hotel,0.0036235887432241043
hotel boutique,0.0035636391269100454
presión agua,0.0035636391269100454
cama doble,0.003459530634995045
cama cómoda,0.003459530634995045
habitación pequeña,0.003459530634995045
hotel pequeño,0.003459530634995045
cama king,0.003459530634995045
reservado habitación,0.003459530634995045
alojamos noche,0.003459530634995045
baño habitación,0.003459530634995045
vale pena,0.0034299139934876877
tacos pescado,0.00333519541096694
planta baja,0.0033137709836033036
habitación hotel,0.0033137709836033036
habitaciones cómodas,0.003238954677934558
ruinas tulum,0.0032305791877177414
centro ciudad,0.0031776019754952145
posada mar,0.003112974651735878
desayuno buffet,0.003112974651735878
teníamos habitación,0.003112974651735878
llegamos habitación,0.003112974651735878
habitación cama,0.003112974651735878
disfrutamos estancia,0.003112974651735878
habitaciones básicas,0.003112974651735878
camas duras,0.003112974651735878
tuvimos problemas,0.003006670119158672
luna miel,0.003006670119158672
patatas fritas,0.0029168827073466908
pasar semana,0.0029162604339525444
hotel caro,0.0029162604339525444
isla mujeres,0.00277932823315441
habitación servicio,0.0027665529598286387
hotel tranquilo,0.0027665529598286387
instalaciones limpias,0.0027665529598286387
estuvimos noche,0.0027665529598286387
personal restaurante,0.0027665529598286387
ruinas palenque,0.0027665529598286387
zona piscina,0.0027665529598286387
recomiendo hotel,0.0027665529598286387
olor humedad,0.0027665529598286387
conexión wi,0.0027665529598286387
encantó hotel,0.0027665529598286387
incluye desayuno,0.0027665529598286387
booking com,0.0027665529598286387
acondicionado habitación,0.0027665529598286387
habitación daba,0.0027665529598286387
suite junior,0.0027665529598286387
visita obligada,0.002707878420636356
sitio web,0.002702671030490711
24 horas,0.002595894947484023
playa hotel,0.002595894947484023
hotel servicio,0.002595894947484023
habitaciones bonitas,0.002595894947484023
servicial amable,0.002595894947484023
servicio lento,0.00256982312812859
bonita piscina,0.0024202654430408588
chica recepción,0.0024202654430408588
cerca piscina,0.0024202654430408588
cama dura,0.0024202654430408588
hotel lindo,0.0024202654430408588
hotel cerca,0.0024202654430408588
amable habitaciones,0.0024202654430408588
recepción amable,0.0024202654430408588
habitación vistas,0.0024202654430408588
muebles viejos,0.0024202654430408588
habitaciones vista,0.0024202654430408588
habitación amplia,0.0024202654430408588
habitaciones piscina,0.0024202654430408588
ubicación inmejorable,0.0024202654430408588
pequeño hotel,0.0024202654430408588
minutos centro,0.0024202654430408588
playa habitaciones,0.0024202654430408588
caja seguridad,0.0024202654430408588
limpias cómodas,0.0024202654430408588
hotel malo,0.0024202654430408588
semana hotel,0.0024202654430408588
camas almohadas,0.0024202654430408588
desayuno continental,0.0024202654430408588
estuvimos noches,0.0024202654430408588
toallas viejas,0.0024202654430408588
ubicación playa,0.00240225189390042
distancia pie,0.00240225189390042
tomar fotos,0.002394561792739336
ambiente agradable,0.00235868362957814
playa norte,0.0023016324962539247
pasamos noches,0.002278298971722381
ubicación perfecta,0.002278298971722381
dólares noche,0.002278298971722381
sentir casa,0.002278298971722381
servicio restaurante,0.0022040752465753988
estancia agradable,0.0021060170787728927
check out,0.0021060170787728927
hotel lugar,0.0021060170787728927
acondicionado funcionaba,0.0020741119853060486
hotel precio,0.0020741119853060486
recepción restaurante,0.0020741119853060486
habitaciones camas,0.0020741119853060486
room service,0.0020741119853060486
alojado hotel,0.0020741119853060486
ducha agua,0.0020741119853060486
hotel precioso,0.0020741119853060486
hotel duda,0.0020741119853060486
hotel general,0.0020741119853060486
hotel vista,0.0020741119853060486
hotel isla,0.0020741119853060486
viejo descuidado,0.0020741119853060486
servicio recepción,0.0020741119853060486
recepción pedir,0.0020741119853060486
ubicación estupenda,0.0020741119853060486
caliente ducha,0.0020741119853060486
precio habitación,0.0020741119853060486
wifi habitación,0.0020741119853060486
habitación cómoda,0.0020741119853060486
cantidad dinero,0.0020741119853060486
cambio habitación,0.0020741119853060486
habitaciones excelente,0.0020741119853060486
servicio limpieza,0.0020741119853060486
ubicado cerca,0.0020741119853060486
hotel cómodo,0.0020741119853060486
alojamos semana,0.0020741119853060486
junior suite,0.0020741119853060486
hotel parecía,0.0020741119853060486
reservé hotel,0.0020741119853060486
