term,score
aire acondicionado,0.014611753563679941
servicio lento,0.01142679717592976
agua caliente,0.011282155012451889
lugar agradable,0.008276182799734966
ambiente agradable,0.0070166966721264545
personal recepción,0.006834320915488523
habitaciones limpias,0.006681560202252967
comida rica,0.006454671762791131
lugar comida,0.0064379569017526395
comida servicio,0.006103346870876658
tacos pescado,0.005950826519573127
patatas fritas,0.005931027856021953
hotel bonito,0.005700758320341004
vale pena,0.005514632103978734
personal hotel,0.004851594352532129
check in,0.004851594352532129
ruinas tulum,0.004699360089961524
ruinas mayas,0.004699360089961524
habitación limpia,0.0045471661698731625
cuarto baño,0.0045471661698731625
servicio rápido,0.004156327006710536
desayuno incluido,0.004090826245900847
lugar comer,0.0040336996477826625
agua fría,0.003938793477232361
comida mexicana,0.0036130440991345436
música vivo,0.003561088201834761
carrito golf,0.0034829364840397448
hotel personal,0.0034829364840397448
servicio comida,0.003340054790730629
agua cristalina,0.003179232698363621
hotel limpio,0.003179232698363621
comida deliciosa,0.0031482188301070746
riviera maya,0.003103607107817652
excelente comida,0.003085180195766868
playa carmen,0.0030518337386846728
agradable servicio,0.0029667210018835544
hotel habitaciones,0.0028756894111310327
hotel ubicación,0.0028756894111310327
hotel situado,0.0028756894111310327
servicio ambiente,0.002855151998960803
comida sabor,0.002725709389319375
servicio lugar,0.002725709389319375
habitaciones amplias,0.002723977900221719
dreams tulum,0.002723977900221719
playa norte,0.0026696985735227274
ingredientes frescos,0.0025951709816536273
ubicación hotel,0.002572306448907269
minutos pie,0.002572306448907269
hotel viejo,0.002572306448907269
arena blanca,0.002541309406690284
comida ambiente,0.002486159806941779
planta baja,0.0024206750355539874
playa bonita,0.0024206750355539874
servicio habitación,0.0024206750355539874
hotel habitación,0.0024206750355539874
habitación hotel,0.0024206750355539874
hotel estrellas,0.0024206750355539874
precios accesibles,0.002355043954029412
comida personal,0.002335274488711847
meseros atentos,0.002335274488711847
camarones coco,0.002335274488711847
camas dobles,0.002269083638544722
noche hotel,0.002269083638544722
general hotel,0.002269083638544722
ropa cama,0.002269083638544722
agua clara,0.002269083638544722
luna miel,0.002269083638544722
alojamos noches,0.002269083638544722
chichen itza,0.002257778870365379
menú variado,0.0022482846722194916
calidad comida,0.002181538712401343
calidad alimentos,0.0021441530983605794
acceso playa,0.0021175322362813054
sitio web,0.0021175322362813054
hotel excelente,0.0021175322362813054
hotel agradable,0.0021175322362813054
bares restaurantes,0.0021175322362813054
25 pesos,0.0021175322362813054
habitaciones hotel,0.0021175322362813054
habitaciones pequeñas,0.0021175322362813054
servicio hotel,0.0021175322362813054
visita guiada,0.0021175322362813054
servicio precios,0.002075462461530009
ambiente comida,0.002075462461530009
vista comida,0.002075462461530009
comida sazón,0.002075462461530009
comida pareció,0.002075462461530009
lugar acogedor,0.002012349743217623
plato principal,0.002012349743217623
camas cómodas,0.0019881413389974956
pesos persona,0.001987740121967785
distancia pie,0.0019660208071823337
traje baño,0.0019660208071823337
playa privada,0.0019660208071823337
excelente servicio,0.0019208367652471248
centro ciudad,0.001910832560419462
comida excelente,0.00189956952382353
comida mala,0.0018628117286717538
personal servicial,0.0018605591861475812
hotel california,0.0018157348415666075
chile relleno,0.0018157348415666075
pan dulce,0.0018157348415666075
huevos benedict,0.0018157348415666075
opciones menú,0.0018157348415666075
pescado fresco,0.0018157348415666075
comida regional,0.0018157348415666075
servicio mesero,0.0018157348415666075
precios justos,0.0018157348415666075
restaurante ubicado,0.0018157348415666075
montón opciones,0.0018157348415666075
lleno servicio,0.0018157348415666075
hotel ubicado,0.0018145493296850557
noches hotel,0.0018145493296850557
habitación camas,0.0018145493296850557
habitación habitación,0.0018145493296850557
agua azul,0.0018145493296850557
caja fuerte,0.0018145493296850557
costo entrada,0.0018145493296850557
pasar semana,0.0018145493296850557
check out,0.0018145493296850557
hotel noche,0.0018145493296850557
platos principales,0.0017786936304506895
excelente ambiente,0.0017786936304506895
comida regular,0.0017304067365996323
hermosa playa,0.0017161057045252948
cerca centro,0.0016933027090265673
agradable comida,0.0016835665405197098
zona arqueológica,0.0016820076348783575
servicio amable,0.0016807983176081454
restaurantes tiendas,0.001663117782244261
habíamos reservado,0.001663117782244261
pesos mexicanos,0.001663117782244261
noche habitación,0.001663117782244261
playa hotel,0.001663117782244261
habitación baño,0.001663117782244261
estancia hotel,0.001663117782244261
hotel servicio,0.001663117782244261
24 horas,0.001663117782244261
hotel instalaciones,0.001663117782244261
sillas playa,0.001663117782244261
protector solar,0.001663117782244261
habitaciones sencillas,0.001663117782244261
comer lugar,0.0015983347018786453
comida atención,0.0015983347018786453
vista mar,0.0015866195033307218
zona playa,0.0015815148805398138
llegamos hotel,0.0015815148805398138
cultura maya,0.0015815148805398138
menú desayuno,0.0015560915703454192
pedimos pizza,0.0015560915703454192
rica servicio,0.0015560915703454192
servicio excepcional,0.0015560915703454192
teníamos hambre,0.0015560915703454192
llegar mesa,0.0015560915703454192
cochinita pibil,0.0015560915703454192
comida general,0.0015560915703454192
poblano sofritos,0.0015560915703454192
selección vinos,0.0015560915703454192
servicio pedimos,0.0015560915703454192
platillos ricos,0.0015560915703454192
sabor servicio,0.0015560915703454192
ambiente genial,0.0015560915703454192
vino blanco,0.0015560915703454192
tacos camarón,0.0015560915703454192
lugar desayuno,0.0015560915703454192
corte carne,0.0015560915703454192
tulum playa,0.0015117261433330587
hotel pequeño,0.0015117261433330587
visita ruinas,0.0015117261433330587
habitación pequeña,0.0015117261433330587
falta mantenimiento,0.0015117261433330587
punta sur,0.0015117261433330587
alojamos noche,0.0015117261433330587
cama cómoda,0.0015117261433330587
precio entrada,0.0015117261433330587
baño habitación,0.0015117261433330587
guía turístico,0.0015117261433330587
cama king,0.0015117261433330587
150 pesos,0.0015117261433330587
playa piscina,0.0015117261433330587
cama doble,0.0015117261433330587
pasamos noches,0.0015117261433330587
reservado habitación,0.0015117261433330587
playa preciosa,0.0014581091900741638
precios altos,0.0014018390506200795
botella agua,0.0013642746850286436
desayuno buffet,0.0013603743914414324
silla ruedas,0.0013603743914414324
tienes pagar,0.0013603743914414324
llegamos habitación,0.0013603743914414324
ruinas playa,0.0013603743914414324
habitación cama,0.0013603743914414324
disfrutamos estancia,0.0013603743914414324
cambiaron habitación,0.0013603743914414324
teníamos habitación,0.0013603743914414324
lugar interesante,0.0013603743914414324
habitaciones básicas,0.0013603743914414324
playa lugar,0.0013603743914414324
posada mar,0.0013603743914414324
llena gente,0.0013603743914414324
camas duras,0.0013603743914414324
pasar noche,0.0013441462929302261
lento comida,0.0013359887882838928
porciones pequeñas,0.0013201291142707072
decidimos comer,0.0013201291142707072
comida especial,0.0013201291142707072
servicio deficiente,0.0013201291142707072
bonito comida,0.0013201291142707072
mejores restaurantes,0.0013201291142707072
restaurante situado,0.0013201291142707072
ambiente servicio,0.0013201291142707072
tuvimos problemas,0.001315783510960289
comida restaurante,0.0013142913400976397
lugar super,0.001296532589453725
presentación platillos,0.001296532589453725
sazón comida,0.001296532589453725
tuvimos desayuno,0.001296532589453725
rib eye,0.001296532589453725
tardan atender,0.001296532589453725
salsa crema,0.001296532589453725
agradable comer,0.001296532589453725
tostada francesa,0.001296532589453725
calidad sabor,0.001296532589453725
evita lugar,0.001296532589453725
salsa picante,0.001296532589453725
comida finalmente,0.001296532589453725
recomendaron restaurante,0.001296532589453725
pizza margarita,0.001296532589453725
tamaño porciones,0.001296532589453725
comida abundante,0.001296532589453725
terraza vista,0.001296532589453725
probar comida,0.001296532589453725
comida thai,0.001296532589453725
