term,score
aire acondicionado,79.8007330075286
servicio lento,74.60110780758602
lugar agradable,54.980186117124404
agua caliente,54.310833614579806
patatas fritas,49.02260073150193
comida servicio,45.348860314390514
tacos pescado,44.38802836024933
ambiente agradable,44.38802836024933
comida rica,43.503258565674415
lugar comida,40.12500473779598
vale pena,38.62101668437387
personal recepción,30.93655079311508
habitaciones limpias,30.249071886601417
hotel bonito,29.024679920561248
lugar comer,25.782146500782883
servicio comida,24.278346182222517
ruinas mayas,24.0617617279784
música vivo,23.886769970294843
comida mexicana,23.638797961269965
servicio rápido,23.273441335297008
comida deliciosa,22.967728602756857
personal hotel,22.686803914951057
check in,22.686803914951057
cuarto baño,21.999325008437395
ruinas tulum,21.999325008437395
excelente comida,21.061254037018813
habitación limpia,20.62436719541006
desayuno incluido,19.24940938238272
agradable servicio,18.62314048025799
carrito golf,18.561930475869055
agua fría,17.874451569355383
playa norte,17.642665989559465
playa carmen,17.602996700990396
riviera maya,17.387478348715046
comida sabor,17.185809017593463
servicio lugar,17.185809017593463
precios accesibles,16.313962509825874
servicio ambiente,16.00049091801669
calidad alimentos,15.96092024181068
hotel personal,15.812014849814378
menú variado,15.750943072184878
comida ambiente,15.750943072184878
chichen itza,15.656152604425285
calidad comida,15.14131157610725
pesos persona,15.096390990703856
ingredientes frescos,14.54590083456063
camarones coco,14.54590083456063
dreams tulum,14.437057036787037
hotel limpio,14.437057036787037
agua cristalina,14.437057036787037
plato principal,14.319111609552824
arena blanca,13.297122151216112
comida excelente,13.20067501365364
meseros atentos,13.091310751104565
comida personal,13.091310751104565
hotel california,13.091310751104565
luna miel,13.062099223759704
hotel situado,13.062099223759704
hotel ubicación,13.062099223759704
hotel habitaciones,13.062099223759704
platos principales,12.891073250391441
lugar acogedor,12.891073250391441
comida mala,12.874250430485233
centro ciudad,12.592060718364166
excelente servicio,12.497579497889165
habitaciones amplias,12.374620317246034
comida regular,12.050788855896503
zona arqueológica,11.823660505811723
servicio amable,11.732496510333597
hotel viejo,11.687141410732364
ubicación hotel,11.687141410732364
playa bonita,11.687141410732364
camas dobles,11.687141410732364
hotel estrellas,11.687141410732364
minutos pie,11.687141410732364
planta baja,11.687141410732364
sitio web,11.687141410732364
agradable comida,11.668184486427354
comida sazón,11.636720667648504
servicio precios,11.636720667648504
ambiente comida,11.636720667648504
vista comida,11.636720667648504
huevos benedict,11.636720667648504
comida pareció,11.636720667648504
excelente ambiente,11.467862477465452
servicio habitación,10.999662504218698
habitación hotel,10.999662504218698
25 pesos,10.999662504218698
hotel habitación,10.999662504218698
comer lugar,10.875814641418604
comida atención,10.875814641418604
camas cómodas,10.58172376674452
personal servicial,10.439922961934993
agua clara,10.31218359770503
agua azul,10.31218359770503
ropa cama,10.31218359770503
alojamos noches,10.31218359770503
general hotel,10.31218359770503
noche hotel,10.31218359770503
comida regional,10.182130584192441
restaurante ubicado,10.182130584192441
chile relleno,10.182130584192441
vino blanco,10.182130584192441
lleno servicio,10.182130584192441
opciones menú,10.182130584192441
pan dulce,10.182130584192441
pescado fresco,10.182130584192441
montón opciones,10.182130584192441
servicio mesero,10.182130584192441
precios justos,10.182130584192441
cerca centro,10.145593369962953
vista mar,10.145593369962953
precios altos,9.723487072022793
habitaciones hotel,9.62470469119136
habitaciones pequeñas,9.62470469119136
hotel agradable,9.62470469119136
bares restaurantes,9.62470469119136
visita guiada,9.62470469119136
playa privada,9.62470469119136
servicio hotel,9.62470469119136
hotel excelente,9.62470469119136
acceso playa,9.62470469119136
hermosa playa,9.229777448105903
zona playa,9.229777448105903
lento comida,9.017410330971748
caja fuerte,8.937225784677691
distancia pie,8.937225784677691
traje baño,8.937225784677691
tostada francesa,8.727540500736378
pedimos pizza,8.727540500736378
corte carne,8.727540500736378
teníamos hambre,8.727540500736378
selección vinos,8.727540500736378
llegar mesa,8.727540500736378
tacos camarón,8.727540500736378
poblano sofritos,8.727540500736378
sabor servicio,8.727540500736378
ambiente genial,8.727540500736378
menú desayuno,8.727540500736378
servicio pedimos,8.727540500736378
servicio excepcional,8.727540500736378
cochinita pibil,8.727540500736378
platillos ricos,8.727540500736378
comida general,8.727540500736378
arroz frijoles,8.727540500736378
lugar desayuno,8.727540500736378
rica servicio,8.727540500736378
mejores restaurantes,8.642360471966855
restaurante situado,8.642360471966855
ambiente servicio,8.642360471966855
