Topic,Mutual Information,Top Terms
0,0.09604044643255771,"comida, lugar, hotel, servicio, buena, si, bien, playa, habitación, restaurante"
1,0.34288132397768045,"comida, servicio, lugar, buena, excelente, buen, ambiente, atención, precios, sabor"
2,0.4484071209327358,"hotel, habitación, habitaciones, personal, servicio, recepción, noche, desayuno, excelente, restaurante"
3,0.07345605639035413,"lugar, hotel, excelente, vale, pena, vista, bonito, atención, mas, recomendable"
4,0.03391190626229479,"playa, excelente, buena, ambiente, agradable, buen, comida, ruinas, tulum, amable"
5,0.026362196651032566,"servicio, playa, mala, mal, meseros, alimentos, mas, lento, calidad, pésimo"
6,0.011809519845764838,"lugar, excelente, mejor, personal, playa, comer, gracias, bonito, súper, isla"
7,0.0,"excelente, pena, vale, restaurante, personal, gran, hotel, increíble, experiencia, ciudad"
8,0.016780633109377163,"atención, excelente, buena, cenote, agua, experiencia, calidad, así, ruinas, guía"
9,0.023981943995827093,"buen, servicio, precio, bien, agradable, alimentos, calidad, ruinas, excelente, ambiente"
10,0.012092485018703858,"habitación, pena, vale, servicio, lugar, playa, buen, baño, mal, agua"
11,0.027538347630204907,"calidad, mejor, precio, atención, playa, alimentos, excelente, relación, café, isla"
12,0.008300440390587749,"cenote, personal, precio, mejor, comida, calidad, amable, agua, habitaciones, bonito"
13,0.008921164970721485,"bien, habitación, comida, ruinas, excelente, baño, agua, bastante, acondicionado, cama"
14,0.05161399057398297,"cenote, agua, vista, restaurante, excelente, solo, nadar, precios, bonita, cenotes"
15,0.016100498578193845,"vista, personal, buena, bueno, alimentos, amable, agradable, platillos, increíble, restaurante"
16,0.011876753885357472,"mejor, vista, servicio, precio, ser, calidad, si, habitación, increíble, isla"
17,0.0,"si, personal, buena, servicio, amable, agradable, lento, bien, vista, ambiente"
18,0.03094710211147711,"agradable, mejor, restaurante, ambiente, habitación, calidad, mal, platillos, música, vista"
19,0.016319208583566835,"mejor, servicio, buena, atención, café, bueno, centro, cerca, desayuno, agua"
20,0.019990175784862396,"buen, mejor, personal, amable, habitación, mas, sabor, atención, restaurante, experiencia"
21,0.01163915972488927,"bien, mejor, vista, hotel, agradable, buena, tacos, laguna, precio, isla"
22,0.026433902548384403,"bueno, ambiente, mas, agradable, bonito, recomiendo, si, café, mejor, música"
23,0.010944436150946313,"restaurante, experiencia, bien, buena, vez, gran, ambiente, mas, bonito, alimentos"
24,0.022047835640467417,"agua, si, desayuno, agradable, café, atención, experiencia, mala, caliente, recomiendo"
25,0.0321020768934861,"mas, sabor, isla, historia, bonito, mal, platillos, visita, gran, pueblo"
26,0.023329216980005674,"precios, increíble, comer, recomiendo, cenote, accesibles, bien, servicio, calidad, buenos"
27,0.019902034709857963,"si, hotel, precios, sabor, gran, dos, increíble, platillos, parte, pedimos"
28,0.008727650149516375,"atención, experiencia, bueno, cenote, ciudad, gran, precio, habitación, mala, hotel"
29,0.01531984363298311,"ir, experiencia, sabor, bonito, platillos, habitación, si, buena, bastante, amable"
30,0.010537533261303134,"café, alimentos, comida, bonito, desayuno, día, bebidas, personal, entrada, tomar"
31,0.011236285048274341,"ambiente, dos, recomiendo, amable, pesos, cerca, súper, solo, lugar, tulum"
32,0.01404093891549163,"precios, gente, bastante, experiencia, mejor, mucha, noche, buenos, accesibles, bien"
33,0.011046208520471446,"experiencia, habitaciones, sabor, solo, agradable, pesos, desayuno, bastante, aunque, excelente"
34,0.013676638632612592,"bonito, ruinas, gente, café, noche, habitaciones, atención, vista, música, gran"
35,0.0,"isla, ambiente, día, ver, parte, solo, música, gran, súper, alimentos"
36,0.01014398405204231,"solo, bastante, gran, mas, aunque, agradable, desayuno, lento, historia, noche"
37,0.0064292703936974505,"mal, caro, increíble, mejores, día, desayuno, solo, dos, cerca, música"
38,0.003707874774042441,"ir, gran, buen, así, ver, puede, solo, alimentos, allí, mala"
39,0.0023371200136419468,"habitaciones, recomendable, platillos, súper, visita, así, día, dos, aunque, pedimos"
40,0.008894484317069296,"gente, bueno, entrada, recomendable, mucha, restaurante, mal, isla, pedimos, gran"
41,0.0014102740456762852,"solo, comer, ruinas, día, ciudad, pasar, bueno, experiencia, aquí, hacer"
42,0.011428619605095447,"ser, gente, noche, super, deliciosa, ver, tan, música, meseros, recomiendo"
43,0.001859331039378631,"día, calidad, mala, dos, sitio, amable, super, centro, limpio, cenote"
44,0.0,"aquí, increíble, tan, solo, cerca, centro, alimentos, casa, así, limpio"
45,0.0,"recomiendo, aunque, día, sabor, bastante, pirámide, parte, habitaciones, subir, entrada"
46,0.0049044500528783175,"bebidas, tiempo, deliciosa, tan, aunque, música, ser, cenote, comer, puede"
47,0.0,"increíble, sitio, ciudad, pesos, deliciosa, día, super, museo, realmente, recomiendo"
48,0.005152677557442864,"museo, solo, ambiente, ir, allí, historia, pequeño, tiempo, recomendable, entrada"
49,0.006681351205594321,"bastante, ir, increíble, cerca, día, principal, mala, cada, isla, solo"
