epoch,train_ppl,val_ppl
1,4.578412375767939,2.7433747353171993
2,2.8759295881041815,2.169274108362503
3,2.4966727604368555,1.9428024547843588
4,2.312606661215552,1.8179455671767433
5,2.202958464096367,1.7402663262022466
6,2.1300509908176632,1.687097163196824
7,2.076256966641174,1.644636187128362
8,2.036700095946767,1.6150754274281391
9,2.003986637049958,1.5927396503870581
10,1.9764210778305669,1.5775872167882978
11,1.9538192851119642,1.5488147842168407
12,1.9341978835970504,1.5356701504480768
13,1.9165065147212408,1.5225023906377984
14,1.9020276621162688,1.5160804515577284
15,1.887944825597149,1.5066587322435798
16,1.875609278870527,1.4935618855843678
17,1.8657240306511653,1.4869725336941144
18,1.8547760417673007,1.4805441530396717
19,1.8457036704972203,1.474306338567545
20,1.837711093924214,1.4649191375965287
21,1.8295362907459474,1.4559516225990288
22,1.8222809819716874,1.4539468516050054
23,1.8157598154659738,1.4499687681732891
24,1.8097706038427694,1.4483589220147077
25,1.80341021771838,1.44551133830509
