epoch,train_ppl,val_ppl
1,126.61678262207217,39.08954745015612
2,27.675770097534993,14.680481087468847
3,14.315471404681075,8.408637936072218
4,9.595229167552782,5.904052982567933
5,7.324174116313008,4.63403586773568
6,6.033314501356986,3.886844648141616
7,5.202003746622807,3.3813455195421827
8,4.614432216392619,3.040677651641524
9,4.191817151260014,2.788383896887738
10,3.8664074937070527,2.605324487649994
11,3.612259176829499,2.4515924817564554
12,3.405120430253936,2.3285133764560726
13,3.230585781800608,2.2330011043777027
14,3.0916383090327613,2.1511751673392157
15,2.966599644585966,2.0817643225504168
