title,album,lyrics,lyrics_clean
City Walls,Breach,"Square up with me, I can take your right, throw a left
Pair up with me, I'ma take you right to the chest
Warpath etched in the surface
Lines of the yellow tape, they're moving quiet like a
Serpentine in a formation
Buddy, that's my team, pretty impatient
Now they're waiting on me
It might be the furthest we've reached
Now move it up, move it up, it's a breach

I wonder where you are
I wanted you to show me
The way around those city walls
The way on through
I wonder where you are
I wanted you to show me
But now the night has fallen
Abandoned by the sun

Square up with me, I can come to you, tell me when
Pair up with me, I can run on you, in the end
I write a promise in pencil, but my loyalty's in pen
Use a mistake as a crooked stencil, then we trace it back again
From the mainland to the island of violence
It was the same plan for a while, decided
To send me up and rip you outta your seat
You see, in a city with no entrance, there is not a retreat
I'm wondering what you thought would happen, who you thought I would be
Was this a sideswipe or did you picture this in a dream?
Buckle down, this is possibly the furthest we've reached
Now move it up, move it up, it's a breach

I wonder where you are
I wanted you to show me
The way around those city walls
The way on through
I wonder where you are
I wanted you to show me
But now the night has fallen
Abandoned by the sun

Abandoned by the sun

My smile wraps around my head, splitting it in
Two, two, two, two
I don't have a clue how I can keep the top half
Glued, glued, glued, glued
My smile wraps around my head, splitting it in
Two, two, two, two
I don't have a clue how I can keep the top half
Glued, glued, glued, glued

I wonder where you are
I wanted you to show me

Entertain my, entertain my
Entertain my, entertain my
Entertain my, entertain my
Entertain my, entertain my faith
This is the last time, this is the last time
Entertain my faith
This is the last time that I try
Address my soul, address my soul, address my soul
Entertain my faith
This is the last time that I try","square up with me, i can take your right, throw a left
pair up with me, i'ma take you right to the chest
warpath etched in the surface
lines of the yellow tape, they're moving quiet like a
serpentine in a formation
buddy, that's my team, pretty impatient
now they're waiting on me
it might be the furthest we've reached
now move it up, move it up, it's a breach
i wonder where you are
i wanted you to show me
the way around those city walls
the way on through
i wonder where you are
i wanted you to show me
but now the night has fallen
abandoned by the sun
square up with me, i can come to you, tell me when
pair up with me, i can run on you, in the end
i write a promise in pencil, but my loyalty's in pen
use a mistake as a crooked stencil, then we trace it back again
from the mainland to the island of violence
it was the same plan for a while, decided
to send me up and rip you outta your seat
you see, in a city with no entrance, there is not a retreat
i'm wondering what you thought would happen, who you thought i would be
was this a sideswipe or did you picture this in a dream?
buckle down, this is possibly the furthest we've reached
now move it up, move it up, it's a breach
i wonder where you are
i wanted you to show me
the way around those city walls
the way on through
i wonder where you are
i wanted you to show me
but now the night has fallen
abandoned by the sun
abandoned by the sun
my smile wraps around my head, splitting it in
two, two, two, two
i don't have a clue how i can keep the top half
glued, glued, glued, glued
my smile wraps around my head, splitting it in
two, two, two, two
i don't have a clue how i can keep the top half
glued, glued, glued, glued
i wonder where you are
i wanted you to show me
entertain my, entertain my
entertain my, entertain my
entertain my, entertain my
entertain my, entertain my faith
this is the last time, this is the last time
entertain my faith
this is the last time that i try
address my soul, address my soul, address my soul
entertain my faith
this is the last time that i try"
RAWFEAR,Breach,"Raw fear
Raw fear

Raw fear moves me, sounds of empty Uzis
Life is just forever nipping heels, never slowing down
Raw fear moves me, sounds of empty Uzis
Life is just forever gripping feels, never slowing down

You know what scares me? Nah, it's stupid
You've met my fears, they're all regulars
Wait, who's the new kid?
You know what kills me? Not getting stronger
And now I can't seem to sit still any longer

Raw fear moves me, sounds of empty Uzis
Life is just forever nipping heels, nevеr slowing down
Raw fear moves me, sounds of еmpty Uzis
Life is just forever gripping feels, never slowing down
(I can't seem to sit still any longer)
Raw fear moves me, sounds of empty Uzis
Life is just forever gripping feels, never slowing down

(Never slowing down)
(Never slowing down)
(Never, never slowing down)
(Never slowing down)
(Never, never slowing down)
(Never slowing down)
(Never, never slowing down)

Learning all that really matters is a slow and painful lesson (Never slowing down, never slowing down)
It is not pass or fail, but a poisonous progression (Never slowing down, never slowing down)
Try to micro-dose to immunity but you'll never, ever get it (Never slowing down, never slowing down)
And I go, ah, ah, ah (Never slowing down)
""What's the matter?"" isn't helping (Never slowing down)
You go, ooh, ooh, ooh (Never slowing down)
I wish her parents would stop yelling (Never slowing down)
I could build a tower with the times I was pretending (Never slowing down)
Try to micro-dose to immunity but I'll never see the ending (Never slowing down)
And I go, ah, ah, ah (Never slowing down)
""What's the matter?"" isn't helping (Never slowing down)
You go, ooh, ooh, ooh (Never slowing down)
I wish her parents would stop yelling
You know what scares me? (Ah, ah, ah)
Nah, it's stupid
And you go, ooh, ooh, ooh
Wait, who's the new kid? (Never slowing down)
And you go, ah, ah, ah
Not getting stronger
And now I can't seem to sit still any longer

Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)
Life is just forever nipping heels, never slowing down
Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)
Life is just forever gripping feels, never slowing down
Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)
Life is just forever nipping heels, never slowing down
Raw fear moves me, sounds of empty Uzis (Ah, ah, ah)
Life is just forever gripping feels, never slowing down","raw fear
raw fear
raw fear moves me, sounds of empty uzis
life is just forever nipping heels, never slowing down
raw fear moves me, sounds of empty uzis
life is just forever gripping feels, never slowing down
you know what scares me? nah, it's stupid
you've met my fears, they're all regulars
wait, who's the new kid?
you know what kills me? not getting stronger
and now i can't seem to sit still any longer
raw fear moves me, sounds of empty uzis
life is just forever nipping heels, nevеr slowing down
raw fear moves me, sounds of еmpty uzis
life is just forever gripping feels, never slowing down
raw fear moves me, sounds of empty uzis
life is just forever gripping feels, never slowing down
learning all that really matters is a slow and painful lesson
it is not pass or fail, but a poisonous progression
try to micro-dose to immunity but you'll never, ever get it
and i go, ah, ah, ah
""what's the matter?"" isn't helping
you go, ooh, ooh, ooh
i wish her parents would stop yelling
i could build a tower with the times i was pretending
try to micro-dose to immunity but i'll never see the ending
and i go, ah, ah, ah
""what's the matter?"" isn't helping
you go, ooh, ooh, ooh
i wish her parents would stop yelling
you know what scares me?
nah, it's stupid
and you go, ooh, ooh, ooh
wait, who's the new kid?
and you go, ah, ah, ah
not getting stronger
and now i can't seem to sit still any longer
raw fear moves me, sounds of empty uzis
life is just forever nipping heels, never slowing down
raw fear moves me, sounds of empty uzis
life is just forever gripping feels, never slowing down
raw fear moves me, sounds of empty uzis
life is just forever nipping heels, never slowing down
raw fear moves me, sounds of empty uzis
life is just forever gripping feels, never slowing down"
Drum Show,Breach,"Puttin' on a drum show
Ooh-ooh

Completed checklist for today
Now they have to let you out of your cage
Feelin' stuck between a rock and a home
Two places you do not want to go

So, so
He's puttin' on a drum show

Even now, even now, even now
He'll take the longer way home
Even now, even now, even now
He'll never ever say so
He drives fast just to feel it, feel it (Feel it)
He drives slow if his song's not over (Feel it)
Drown it out, drown it out

Show
Ooh-ooh

He'd rather feel something than nothing at all
So he swerves all around as his head starts to fall, turns it up
Stuck between a rock and a home
Two places he does not want to go

So, so
He's puttin' on a drum show

Even now, even now, even now
He'll take the longer way home (
I've been this way
)
Even now, even now, even now
He'll never ever say so (
I want to change
)
He drives fast just to feel it, feel it (Feel it)
He drives slow if his song's not over (Feel it)
Drown it out, drown it out
[Bridge: Josh Dun & 
Tyler Joseph
]
I've been this way
I want to change
I've been this way
I want to 
change

He's puttin' on a drum show

Even now, even now, even now
He'll take the longer way home (
I've been this way
)
Even now, well even now, well even now
He'll never ever say so (
I want to change
)
He drives fast just to feel it, feel it (Feel it)
He drives slow if his song's not over (
I've been this way
, feel it)
Drown it out, drown it out (
I want to change
)

I've been this way (
Feel it, feel it
)
I want to change (
Feel it, feel it
)
I've been this way (
Feel it, feel it
)
I want to—","puttin' on a drum show
ooh-ooh
completed checklist for today
now they have to let you out of your cage
feelin' stuck between a rock and a home
two places you do not want to go
so, so
he's puttin' on a drum show
even now, even now, even now
he'll take the longer way home
even now, even now, even now
he'll never ever say so
he drives fast just to feel it, feel it
he drives slow if his song's not over
drown it out, drown it out
show
ooh-ooh
he'd rather feel something than nothing at all
so he swerves all around as his head starts to fall, turns it up
stuck between a rock and a home
two places he does not want to go
so, so
he's puttin' on a drum show
even now, even now, even now
he'll take the longer way home (
i've been this way
)
even now, even now, even now
he'll never ever say so (
i want to change
)
he drives fast just to feel it, feel it
he drives slow if his song's not over
drown it out, drown it out
[bridge: josh dun &
tyler joseph
]
i've been this way
i want to change
i've been this way
i want to
change
he's puttin' on a drum show
even now, even now, even now
he'll take the longer way home (
i've been this way
)
even now, well even now, well even now
he'll never ever say so (
i want to change
)
he drives fast just to feel it, feel it
he drives slow if his song's not over (
i've been this way
, feel it)
drown it out, drown it out (
i want to change
)
i've been this way (
feel it, feel it
)
i want to change (
feel it, feel it
)
i've been this way (
feel it, feel it
)
i want to—"
Garbage,Breach,"I didn't do it
(One, two)

I feel like garbage
I feel like
My systems are operating at twenty percent

Or less
I'll walk you through the numbers
I'll show you nothing's left
Oh-oh

(Yeah, yeah) I'm biting down on my shirtsleeve
(Yeah, yeah) I'll lash out if you're in arm's reach
(Yeah, yeah) I'm so lost, like, what is happening?
Like, like
I feel like garbage

Ooh, yeah

I can't decide if
I could feel more or I just knew less
When I was younger
Bright-eyed with wonder
Do you know which name it's under? (Oh-oh-oh)

Or lеss
I'll walk you through the numbers
I'll show you nothing's left
Oh-oh

(Yеah, yeah) I'm biting down on my shirtsleeve
(Yeah, yeah) I'll lash out if you're in arm's reach
(Yeah, yeah) I'm so lost, like, what is happening?
Like, what is happening?

Would you move closer if I grew quieter?
Maybe this is you
Maybe you don't fix and you like it like this

I feel like garbage (Yeah)
I feel like garbage
I feel like (Yeah)
Like

I'll lash out, lash out, lash out (Hey)
I'm biting down on my shirtsleeve
Like, I'll lash out, lash out, lash out
Don't give up on me
Don't give up on me
No, no, no, please, please, please","i didn't do it
i feel like garbage
i feel like
my systems are operating at twenty percent
or less
i'll walk you through the numbers
i'll show you nothing's left
oh-oh
i'm biting down on my shirtsleeve
i'll lash out if you're in arm's reach
i'm so lost, like, what is happening?
like, like
i feel like garbage
ooh, yeah
i can't decide if
i could feel more or i just knew less
when i was younger
bright-eyed with wonder
do you know which name it's under?
or lеss
i'll walk you through the numbers
i'll show you nothing's left
oh-oh
i'm biting down on my shirtsleeve
i'll lash out if you're in arm's reach
i'm so lost, like, what is happening?
like, what is happening?
would you move closer if i grew quieter?
maybe this is you
maybe you don't fix and you like it like this
i feel like garbage
i feel like garbage
i feel like
like
i'll lash out, lash out, lash out
i'm biting down on my shirtsleeve
like, i'll lash out, lash out, lash out
don't give up on me
don't give up on me
no, no, no, please, please, please"
The Contract,Breach,"I check the doors, check the windows and pull the blinds
I check the clock, wondering what he'll pull this time
I have a feeling that necromancer's outside
And I'm just tryna stay quiet

I don't sleep much, that's crazy, how'd you know that?
Keep myself up, that's maybe how you know that
Ooh, promises and contracts I used to keep
I don't sleep much, that's crazy, how'd you know that?
Keep myself up, that's maybe how you know that
Ooh, my hallucination I used to see

Wake up and I find out, did a change up
Wait, did it change up?
Is it light out yet? Better find out, bet
Better walk around the edge of the room and the bed
Where I hide my face, pace around
Bеtter try to breathe, pacе around, pace around

I check the doors, check the windows, and pull the blinds
I check the clock, wondering what he'll pull this time
I have a feeling that necromancer's outside
And I'm just tryna stay quiet

I don't sleep much, that's crazy, how'd you know that?
Keep myself up, that's maybe how you know that
Ooh, promises and contracts I used to keep
I don't sleep much, that's crazy, how'd you know that?
Keep myself up, that's maybe how you know that
Ooh, my hallucination I used to see

I used to see
Sleep, I found, ooh

I wanna get out there (Ooh-ooh)
But I don't try (Ooh-ooh)
I wanna get out there (Ooh-ooh)
But I don't try (Ooh-ooh)

I check the clock, wondering what he'll pull this time
I have a feeling that necromancer's outside
And I'm just tryna stay quiet

I don't sleep much, that's crazy, how'd you know that?
I'll keep myself up, that's maybe how you know that
Ooh, promises and contracts I used to keep
I don't sleep much, that's crazy, how'd you know that?
Keep myself up, that's maybe how you know that
Ooh, my hallucination I used to see

I used to see
I used to see
Ooh, my hallucination I used to see

I used to see, it felt so real
But now I plead, just take the deal
I promised you a contract
I promised you a contract","i check the doors, check the windows and pull the blinds
i check the clock, wondering what he'll pull this time
i have a feeling that necromancer's outside
and i'm just tryna stay quiet
i don't sleep much, that's crazy, how'd you know that?
keep myself up, that's maybe how you know that
ooh, promises and contracts i used to keep
i don't sleep much, that's crazy, how'd you know that?
keep myself up, that's maybe how you know that
ooh, my hallucination i used to see
wake up and i find out, did a change up
wait, did it change up?
is it light out yet? better find out, bet
better walk around the edge of the room and the bed
where i hide my face, pace around
bеtter try to breathe, pacе around, pace around
i check the doors, check the windows, and pull the blinds
i check the clock, wondering what he'll pull this time
i have a feeling that necromancer's outside
and i'm just tryna stay quiet
i don't sleep much, that's crazy, how'd you know that?
keep myself up, that's maybe how you know that
ooh, promises and contracts i used to keep
i don't sleep much, that's crazy, how'd you know that?
keep myself up, that's maybe how you know that
ooh, my hallucination i used to see
i used to see
sleep, i found, ooh
i wanna get out there
but i don't try
i wanna get out there
but i don't try
i check the clock, wondering what he'll pull this time
i have a feeling that necromancer's outside
and i'm just tryna stay quiet
i don't sleep much, that's crazy, how'd you know that?
i'll keep myself up, that's maybe how you know that
ooh, promises and contracts i used to keep
i don't sleep much, that's crazy, how'd you know that?
keep myself up, that's maybe how you know that
ooh, my hallucination i used to see
i used to see
i used to see
ooh, my hallucination i used to see
i used to see, it felt so real
but now i plead, just take the deal
i promised you a contract
i promised you a contract"
Downstairs,Breach,"You can have all I've made and all I've ever known
You can have both my lungs if you ask me so
'Cause I-I-I want to be the one after your own heart
And I-I-I might doubt the process like I doubted the start

So I'm beggin', oh-oh-oh, mercy
I'm beggin', oh-oh-oh, mercy

Downstairs, I feel better in the cellar
Down there, it's some shelter from the weather
I wear all of my heart on my sleeve
I'll take what I believe, and I'm hiding it
Downstairs, I feel better in the cellar
Down there, it's some shelter from the weather
I wear all of my heart on my sleeve
I'll take what I believe, and I'm hiding it

Feeling like I'm nothing, feeling like I'm run down
Was afraid of nothing, now I'm just ashamed how
I hide my face from you

So I'm beggin', oh-oh-oh, mercy
I'm beggin', oh-oh-oh, mercy

Downstairs, I feel better in the cellar
Down there, it's some shelter from the weather
I wear all of my heart on my sleeve
I'll take what I believe, and I'm hiding it
Downstairs, I feel better in the cellar
Down there, it's some shelter from the weather
I wear all of my heart on my sleeve
I'll take what I believe, and I'm hiding it

Oh, what have I become?
Dirty and wretched one
Am I unholy land?
Have I forced your hand?

Oh, woah-oh, woah-oh, mercy, yeah
Oh, woah-oh, woah-oh, mercy, yeah

Down there, it's some shelter from the weather
I wear all of my heart on my sleeve
I'll take what I believe, and I'm hiding it
Downstairs, I feel better in the cellar
Down there, it's some shelter from the weather
I wear all of my heart on my sleeve
I'll take what I believe, and I'm hiding it
Downstairs (You can have), I feel better in the cellar (All I've made)
Down there, it's some shelter from the weather (All I've ever known)
I wear (You can have) all of my heart on my sleeve (Both my lungs)
I'll take what I believe, and I'm hiding it, yeah (If you ask me so, oh)

And I'm hiding it, yeah ('Cause I want to be the one)
And I'm hiding it, yeah (After your own heart)
And I'm hiding it, yeah, oh (And I might doubt the process like I doubt the start)

You can have all I've made and all I've ever known
You can have both my lungs if you ask me so
'Cause I want to be the one after your own heart
And I might doubt the process like I doubt the start","you can have all i've made and all i've ever known
you can have both my lungs if you ask me so
'cause i-i-i want to be the one after your own heart
and i-i-i might doubt the process like i doubted the start
so i'm beggin', oh-oh-oh, mercy
i'm beggin', oh-oh-oh, mercy
downstairs, i feel better in the cellar
down there, it's some shelter from the weather
i wear all of my heart on my sleeve
i'll take what i believe, and i'm hiding it
downstairs, i feel better in the cellar
down there, it's some shelter from the weather
i wear all of my heart on my sleeve
i'll take what i believe, and i'm hiding it
feeling like i'm nothing, feeling like i'm run down
was afraid of nothing, now i'm just ashamed how
i hide my face from you
so i'm beggin', oh-oh-oh, mercy
i'm beggin', oh-oh-oh, mercy
downstairs, i feel better in the cellar
down there, it's some shelter from the weather
i wear all of my heart on my sleeve
i'll take what i believe, and i'm hiding it
downstairs, i feel better in the cellar
down there, it's some shelter from the weather
i wear all of my heart on my sleeve
i'll take what i believe, and i'm hiding it
oh, what have i become?
dirty and wretched one
am i unholy land?
have i forced your hand?
oh, woah-oh, woah-oh, mercy, yeah
oh, woah-oh, woah-oh, mercy, yeah
down there, it's some shelter from the weather
i wear all of my heart on my sleeve
i'll take what i believe, and i'm hiding it
downstairs, i feel better in the cellar
down there, it's some shelter from the weather
i wear all of my heart on my sleeve
i'll take what i believe, and i'm hiding it
downstairs , i feel better in the cellar
down there, it's some shelter from the weather
i wear all of my heart on my sleeve
i'll take what i believe, and i'm hiding it, yeah
and i'm hiding it, yeah
and i'm hiding it, yeah
and i'm hiding it, yeah, oh
you can have all i've made and all i've ever known
you can have both my lungs if you ask me so
'cause i want to be the one after your own heart
and i might doubt the process like i doubt the start"
Robot Voices,Breach,"One, two, three, four
Three, fourOne, two, three, four

They keep me company
The robots and machines in my room
An understanding
The beeps and tones they make
The only advice I take
The inside jokes are landing (The inside jokes are landing)
Now I'm waiting for the changes (Now I'm waitin' for the changes)
Everyone sees (Everyone sees)
Feeling so fancy (Feeling so fancy)

And I just wanna dance in style and stay a while (Wanna, I just wanna, I just wanna)
The lines on the floor (Lines on the floor)
How did you find me? (How did you find me?)

(Woo!)
I wasn't lookin' for love this year
But my robot told me that I shouldn't fear
When I met you, I found you safe and warm
Then the robot voices would reassure me

One, two, three, four

The half-drawn blinds
Casting lines on the floor
As my metal friend flashes in time
The daisy-chained power strips generating
A newfound loneliness
So, I'm waiting for the changes (Now I'm waitin' the changes)
Everyone sees (Everyone sees)
Feeling so fancy (Feeling so fancy!)

And I just wanna dance in style and stay a while (Wanna, I just wanna, I just wanna)
The lines on the floor (Lines on the floor)
How did you find me? (How did you find me?)

(Woo!)
I wasn't lookin' for love this year
But my robot told me that I shouldn't fear
When I met you, I found you safe and warm
Then the robot voices would reassure me
I wasn't lookin' for love this year (I wasn't looking)
But my robot told me that I shouldn't fear
When I met you, I found you safe and warm
Then the robot voices would reassure me (Oh, oh)

When I met you, I found you safe and warm
And the robot voices would reassure me","one, two, three, four
three, fourone, two, three, four
they keep me company
the robots and machines in my room
an understanding
the beeps and tones they make
the only advice i take
the inside jokes are landing
now i'm waiting for the changes
everyone sees
feeling so fancy
and i just wanna dance in style and stay a while
the lines on the floor
how did you find me?
i wasn't lookin' for love this year
but my robot told me that i shouldn't fear
when i met you, i found you safe and warm
then the robot voices would reassure me
one, two, three, four
the half-drawn blinds
casting lines on the floor
as my metal friend flashes in time
the daisy-chained power strips generating
a newfound loneliness
so, i'm waiting for the changes
everyone sees
feeling so fancy
and i just wanna dance in style and stay a while
the lines on the floor
how did you find me?
i wasn't lookin' for love this year
but my robot told me that i shouldn't fear
when i met you, i found you safe and warm
then the robot voices would reassure me
i wasn't lookin' for love this year
but my robot told me that i shouldn't fear
when i met you, i found you safe and warm
then the robot voices would reassure me
when i met you, i found you safe and warm
and the robot voices would reassure me"
Center Mass,Breach,"(Right)
I figured out how it sounded (Right this way)
It goes (Right)
My death (Right this way)
Girl, I really don't think you should take that
(
Josh Dun
, 
take that
)

A little softer than I used to be (Right)
Used to mouth off often with artillery
Now it is cough drops and soft spots in a middle seat (Right this way)
Chivalry (
Take that
)
A tighter space than I used to know (Right)
Spread out wide no more, pinch my shoulders close
Hoping they misplace my reservation (Right this way)

Okay, okay
I thought you had it figured out
I know, I know
You said you made it to the top
I lied, I lied
So, tell us, how did you make out all right?
Well

I pull on my shirtsleeve to cover half of my hands
Bring my arms closer to my body, get as small as I can
They call it cеnter mass, that part they aim for
Shrink it down to nothing and forgetting what thе pain's for
I pull on my shirtsleeve (My shirtsleeve), to cover half of my face (Half of my face)
Bring my arms closer to my body, get as small as they say (Small as they say)
They call it center mass, that part they aim for (That's blasphemy)

Right this way if you're frustrated (Right)
Your first mate in the fifth grade tried to persuade
Try it once, he was shown on the bus (Right this way)
Chain's off my huff, anxious enough as it is (Right)
Gotta walk, never looking up once at the kids in the park
What a day, getting dark, what a day (Right this way)

Okay, okay
I thought you had it figured out (I thought you had it figured out)
I know, I know
You said you made it to the top (You said you made it to the top)
I lied, I lied
So, tell us, how did you make out all right?
Well

I pull on my shirtsleeve (My shirtsleeve), to cover half of my hands (Half of my hands)
Bring my arms closer to my body, get as small as I can (Small as I can)
They call it center mass, that part they aim for
Shrink it down to nothing and forgetting what the pain's for
I pull on my shirtsleeve (My shirtsleeve), to cover half of my face (Half of my face)
Bring my arms closer to my body, get as small as they say (Small as they say)
They call it center mass, that part they aim for
Shrink it down to nothing and forgetting what the pain's for
That part they aim for

Found out what I'm worth, I run to you
I hope you understand this run-on sentence
My tattoos only hurt when meaning fades
I think my skin got worse with good intentions
I don't wanna say what happened, I just wanna let it go
Nothing was the same right after I went to the funeral
I miss you so, so much, take what you want
Take what you want from me, took you for granted

They call it center mass, that part they aim for
That part they aim for (
Josh Dun
)
That part they aim for
That part they aim for","i figured out how it sounded
it goes
my death
girl, i really don't think you should take that
(
josh dun
,
take that
)
a little softer than i used to be
used to mouth off often with artillery
now it is cough drops and soft spots in a middle seat
chivalry (
take that
)
a tighter space than i used to know
spread out wide no more, pinch my shoulders close
hoping they misplace my reservation
okay, okay
i thought you had it figured out
i know, i know
you said you made it to the top
i lied, i lied
so, tell us, how did you make out all right?
well
i pull on my shirtsleeve to cover half of my hands
bring my arms closer to my body, get as small as i can
they call it cеnter mass, that part they aim for
shrink it down to nothing and forgetting what thе pain's for
i pull on my shirtsleeve , to cover half of my face
bring my arms closer to my body, get as small as they say
they call it center mass, that part they aim for
right this way if you're frustrated
your first mate in the fifth grade tried to persuade
try it once, he was shown on the bus
chain's off my huff, anxious enough as it is
gotta walk, never looking up once at the kids in the park
what a day, getting dark, what a day
okay, okay
i thought you had it figured out
i know, i know
you said you made it to the top
i lied, i lied
so, tell us, how did you make out all right?
well
i pull on my shirtsleeve , to cover half of my hands
bring my arms closer to my body, get as small as i can
they call it center mass, that part they aim for
shrink it down to nothing and forgetting what the pain's for
i pull on my shirtsleeve , to cover half of my face
bring my arms closer to my body, get as small as they say
they call it center mass, that part they aim for
shrink it down to nothing and forgetting what the pain's for
that part they aim for
found out what i'm worth, i run to you
i hope you understand this run-on sentence
my tattoos only hurt when meaning fades
i think my skin got worse with good intentions
i don't wanna say what happened, i just wanna let it go
nothing was the same right after i went to the funeral
i miss you so, so much, take what you want
take what you want from me, took you for granted
they call it center mass, that part they aim for
that part they aim for (
josh dun
)
that part they aim for
that part they aim for"
Cottonwood,Breach,"Can't believe you're gone for good
Someone chopped you down
Thought you'd just fall in the woods
But she heard that sound
No, I don't, no, I don't remember
Last we spoke
No, I don't, no, I don't remember
Remember, remember, remember

I look back in time through a telescope
I've been catching my
I've been catching my
My reflection already looking

Most are blown down in a storm
But the wind was tame
You weren't waiting anymore
Were you sad or brave?
No I don't, no, I don't condemn you
Back and forth
No I don't, no, I don't condemn you
Condemn you, condemn you, condemn you

I look back in time through a telescope
I've been catching my
I've been catching my
My reflection already looking

You tore me up more than you know
You tore me up more than you know
You tore me up more than you know
You tore me up

I look back in time through a telescope
I've been catching my
I've been catching my
My reflection already looking","can't believe you're gone for good
someone chopped you down
thought you'd just fall in the woods
but she heard that sound
no, i don't, no, i don't remember
last we spoke
no, i don't, no, i don't remember
remember, remember, remember
i look back in time through a telescope
i've been catching my
i've been catching my
my reflection already looking
most are blown down in a storm
but the wind was tame
you weren't waiting anymore
were you sad or brave?
no i don't, no, i don't condemn you
back and forth
no i don't, no, i don't condemn you
condemn you, condemn you, condemn you
i look back in time through a telescope
i've been catching my
i've been catching my
my reflection already looking
you tore me up more than you know
you tore me up more than you know
you tore me up more than you know
you tore me up
i look back in time through a telescope
i've been catching my
i've been catching my
my reflection already looking"
One Way,Breach,"I wanted to fly
But they say a system's coming in
The chances are high
That this is a
One way, one way, one way, one way

Am I dreaming?
If it’s so
Can I take back who I was before?
If it's no
Then all my dreams have
Not been interesting in a while
This has not been interesting in a while, while, while

I wanted to fly
But they say a system's coming in
The chances are high
That this is a
One way, one way, one way, one way, one way (Ooh)

Me and my scene just ain’t gelling
Someone next to me keeps yelling
Why am I still walking?
Something must be wrong here
I just don't belong here

I wanted to fly
But they say a system's coming in
Chances are high
That this is a
One way, one way, one way, one way, one
I wanted to fly
But they say a system's coming in
The chances are high
That this is a
One way, one way, one
That this is a
One way, one way, one
That this is a
One way, one way
(This is a)

Hey it's Josh, call me back
Uh, I'm not opposed to ""One Way"" going into ""Days Lie Dormant""
But it does feel like quite a vibe change
And, uhh","i wanted to fly
but they say a system's coming in
the chances are high
that this is a
one way, one way, one way, one way
am i dreaming?
if it’s so
can i take back who i was before?
if it's no
then all my dreams have
not been interesting in a while
this has not been interesting in a while, while, while
i wanted to fly
but they say a system's coming in
the chances are high
that this is a
one way, one way, one way, one way, one way
me and my scene just ain’t gelling
someone next to me keeps yelling
why am i still walking?
something must be wrong here
i just don't belong here
i wanted to fly
but they say a system's coming in
chances are high
that this is a
one way, one way, one way, one way, one
i wanted to fly
but they say a system's coming in
the chances are high
that this is a
one way, one way, one
that this is a
one way, one way, one
that this is a
one way, one way
hey it's josh, call me back
uh, i'm not opposed to ""one way"" going into ""days lie dormant""
but it does feel like quite a vibe change
and, uhh"
