est_posgrado_cesar.aguirre@el-insurgente:~/llama-beta/logs$ tail -n 50 llama_beta_train-161538.log
{'loss': 1.6319, 'grad_norm': 22.850988388061523, 'learning_rate': 4.0408805031446544e-05, 'epoch': 0.38}
{'loss': 1.3682, 'grad_norm': 25.97201156616211, 'learning_rate': 3.9535290006988124e-05, 'epoch': 0.42}
{'loss': 1.4181, 'grad_norm': 6.612387180328369, 'learning_rate': 3.86617749825297e-05, 'epoch': 0.45}
{'loss': 1.44, 'grad_norm': 17.29251480102539, 'learning_rate': 3.778825995807128e-05, 'epoch': 0.49}
{'loss': 1.482, 'grad_norm': 16.021554946899414, 'learning_rate': 3.691474493361286e-05, 'epoch': 0.52}
{'loss': 1.2279, 'grad_norm': 8.0198335647583, 'learning_rate': 3.604122990915444e-05, 'epoch': 0.56}
{'loss': 1.5796, 'grad_norm': 9.8339262008667, 'learning_rate': 3.516771488469602e-05, 'epoch': 0.59}
{'loss': 1.4233, 'grad_norm': 7.162028789520264, 'learning_rate': 3.42941998602376e-05, 'epoch': 0.63}
{'loss': 1.2482, 'grad_norm': 67.64775848388672, 'learning_rate': 3.342068483577918e-05, 'epoch': 0.66}
{'loss': 1.41, 'grad_norm': 16.122207641601562, 'learning_rate': 3.254716981132075e-05, 'epoch': 0.7}
{'loss': 1.2247, 'grad_norm': 16.381071090698242, 'learning_rate': 3.167365478686233e-05, 'epoch': 0.73}
{'loss': 1.3385, 'grad_norm': 9.894407272338867, 'learning_rate': 3.080013976240391e-05, 'epoch': 0.77}
{'loss': 1.4607, 'grad_norm': 15.074278831481934, 'learning_rate': 2.9926624737945496e-05, 'epoch': 0.8}
{'loss': 1.2362, 'grad_norm': 12.745777130126953, 'learning_rate': 2.9053109713487076e-05, 'epoch': 0.84}
{'loss': 1.3267, 'grad_norm': 10.13907241821289, 'learning_rate': 2.8179594689028655e-05, 'epoch': 0.87}
{'loss': 1.0797, 'grad_norm': 9.604884147644043, 'learning_rate': 2.7306079664570235e-05, 'epoch': 0.91}
{'loss': 1.1446, 'grad_norm': 9.96154499053955, 'learning_rate': 2.643256464011181e-05, 'epoch': 0.94}
{'loss': 1.3509, 'grad_norm': 15.339174270629883, 'learning_rate': 2.555904961565339e-05, 'epoch': 0.98}
{'loss': 1.191, 'grad_norm': 10.8712739944458, 'learning_rate': 2.468553459119497e-05, 'epoch': 1.01}
{'loss': 0.856, 'grad_norm': 6.736075401306152, 'learning_rate': 2.381201956673655e-05, 'epoch': 1.05}
{'loss': 1.0269, 'grad_norm': 8.231328964233398, 'learning_rate': 2.2938504542278128e-05, 'epoch': 1.08}
{'loss': 0.8647, 'grad_norm': 6.245698928833008, 'learning_rate': 2.2064989517819707e-05, 'epoch': 1.12}
{'loss': 1.1358, 'grad_norm': 14.983330726623535, 'learning_rate': 2.1191474493361287e-05, 'epoch': 1.15}
{'loss': 1.1501, 'grad_norm': 9.686746597290039, 'learning_rate': 2.0317959468902866e-05, 'epoch': 1.19}
{'loss': 1.0098, 'grad_norm': 8.022153854370117, 'learning_rate': 1.9444444444444445e-05, 'epoch': 1.22}
{'loss': 0.9018, 'grad_norm': 5.6583685874938965, 'learning_rate': 1.8570929419986025e-05, 'epoch': 1.26}
{'loss': 0.9349, 'grad_norm': 7.538479804992676, 'learning_rate': 1.7697414395527604e-05, 'epoch': 1.29}
{'loss': 0.8392, 'grad_norm': 14.66266918182373, 'learning_rate': 1.6823899371069183e-05, 'epoch': 1.33}
{'loss': 0.9275, 'grad_norm': 10.895440101623535, 'learning_rate': 1.595038434661076e-05, 'epoch': 1.36}
{'loss': 0.8857, 'grad_norm': 4.502542018890381, 'learning_rate': 1.5076869322152342e-05, 'epoch': 1.4}
{'loss': 0.854, 'grad_norm': 9.195147514343262, 'learning_rate': 1.4203354297693922e-05, 'epoch': 1.43}
{'loss': 0.8395, 'grad_norm': 9.900411605834961, 'learning_rate': 1.3329839273235501e-05, 'epoch': 1.47}
{'loss': 0.9102, 'grad_norm': 10.974466323852539, 'learning_rate': 1.2456324248777079e-05, 'epoch': 1.5}
