class,word,count,p_hat,log_odds,z
Coahuila,vinos,7,0.005847953216374269,3.3979999082447083,8.041254346298658
Coahuila,poza,8,0.006683375104427736,6.171558762889553,7.806588413484797
Coahuila,parras,6,0.005012531328320802,5.882204956710646,7.204283917816265
Coahuila,fila,4,0.003341687552213868,3.6832709122154217,6.379686357858465
Coahuila,paella,4,0.003341687552213868,5.475071510125912,6.322123019848088
Coahuila,vino,8,0.006683375104427736,2.200655074196204,6.0022988593466104
Coahuila,recorrido,7,0.005847953216374269,2.197214767052137,5.606388568558111
Coahuila,desierto,3,0.002506265664160401,3.6824547745797966,5.523746233428919
Coahuila,boletos,3,0.002506265664160401,3.4817751148818568,5.345638947231483
Coahuila,puedas,3,0.002506265664160401,2.989266515092776,4.793593349923617
Coahuila,palapa,3,0.002506265664160401,2.989266515092776,4.793593349923617
Coahuila,ordinaria,2,0.001670843776106934,4.374794795905438,4.792383721024055
Coahuila,guiadas,2,0.001670843776106934,4.374794795905438,4.792383721024055
Coahuila,chamorro,2,0.001670843776106934,4.78026111682108,4.780294385970619
Coahuila,min,4,0.003341687552213868,2.5044751301302552,4.77045369023726
Coahuila,capacitado,2,0.001670843776106934,4.087110350648774,4.719429579085401
Coahuila,viñedo,2,0.001670843776106934,4.087110350648774,4.719429579085401
Coahuila,mesas,6,0.005012531328320802,1.9303844969000385,4.597969163565951
Coahuila,protegida,2,0.001670843776106934,3.681639336808008,4.509121198693792
Coahuila,cobrar,3,0.002506265664160401,2.7441208412699645,4.47046693311296
