class,word,count,p_hat,log_odds,z
Restaurant,comida,1226,0.02739909712600009,1.5398600913649578,30.802635628485636
Restaurant,servicio,735,0.0164260492557994,0.9968852811273523,18.16828171825775
Restaurant,lugar,983,0.021968444106735797,0.6675324075755609,15.295824603909772
Restaurant,restaurante,453,0.010123809949492692,0.9888203808802309,14.163482567663495
Restaurant,pedimos,204,0.004559066732221875,1.988386486231989,13.711227753369801
Restaurant,sabor,193,0.004313234702543244,2.3965028301880045,13.650630020217111
Restaurant,comer,246,0.005497698118267554,1.5156071854768083,13.611566985909326
Restaurant,ambiente,215,0.004804898761900505,1.7736494930427718,13.60467789033164
Restaurant,menú,182,0.004067402672864613,2.669029687134345,13.148267230075604
Restaurant,mesa,178,0.00397800920752693,2.3679245324554454,13.105906783452877
Restaurant,platillos,132,0.0029499843561435657,2.9709730349352617,10.904006667514203
Restaurant,tacos,133,0.002972332722477987,3.0475407052824366,10.846639390469448
Restaurant,pescado,119,0.0026594555937960937,2.3969360016196086,10.712117293408099
Restaurant,plato,122,0.0027265006927993563,2.766796158462167,10.687723158327426
Restaurant,platos,122,0.0027265006927993563,3.0350849845399637,10.403270877584008
Restaurant,precios,175,0.003910964108523667,1.1903000194686983,9.992770628508811
Restaurant,pedí,101,0.0022571849997765165,2.0783485811642635,9.731260690394633
Restaurant,delicioso,96,0.0021454431681044114,2.2686813852877945,9.598125004257644
Restaurant,salsa,106,0.0023689268314486213,3.2618929615366934,9.395348627692663
Restaurant,deliciosa,97,0.0021677915344388327,1.9360400502163104,9.383854778555868
