pos4,count_a,count_b,delta,z
"('PROPN', 'PROPN', 'PROPN', 'PROPN')",495,259,1.5406294754865284,20.030136408214737
"('VERB', 'NUM', 'NUM', 'NOUN')",44,37,1.0566154576662612,4.741176456587896
"('PROPN', 'NOUN', 'PROPN', 'PROPN')",32,27,1.052892503264566,4.035007515865794
"('ADJ', 'PROPN', 'PROPN', 'PROPN')",43,44,0.8607356782499629,4.016959107888699
"('PROPN', 'PROPN', 'PROPN', 'VERB')",52,60,0.7408890341487515,3.911942772158013
"('NOUN', 'VERB', 'NUM', 'NUM')",39,39,0.8836227032688342,3.9055833678443324
"('ADP', 'PROPN', 'PROPN', 'PROPN')",13,4,2.0449512846208986,3.613446881666345
"('NOUN', 'AUX', 'VERB', 'ADJ')",22,17,1.139918427880529,3.5387415254544656
"('PROPN', 'PROPN', 'PROPN', 'CCONJ')",12,2,2.6345896824605983,3.5241714182742814
"('NOUN', 'PROPN', 'PROPN', 'PROPN')",94,144,0.45777226119680936,3.4502908880196284
"('PROPN', 'VERB', 'NOUN', 'PROPN')",31,32,0.8518430931420262,3.3846135691340313
"('VERB', 'NOUN', 'VERB', 'NOUN')",670,1384,0.1602076665491987,3.376159648138541
"('PROPN', 'PROPN', 'PROPN', 'ADJ')",43,52,0.6939454245692929,3.3688224763447114
"('NOUN', 'VERB', 'NOUN', 'NOUN')",1068,2284,0.1262028756821012,3.359289678073228
"('NUM', 'NUM', 'NOUN', 'NOUN')",52,68,0.6158365606781109,3.344048726033538
"('PROPN', 'PROPN', 'PROPN', 'NUM')",15,9,1.3897446346680677,3.311247783152388
"('ADV', 'ADJ', 'VERB', 'NOUN')",50,66,0.6064708810738741,3.2359475423966706
"('PROPN', 'PROPN', 'PROPN', 'ADP')",10,2,2.4538682252806137,3.2353996625980606
"('PROPN', 'PROPN', 'VERB', 'NOUN')",87,135,0.44487880483728404,3.2343583658180712
"('PROPN', 'PROPN', 'NOUN', 'PROPN')",39,48,0.6763672744337619,3.139894088806048
