pos4,count,prob
"('NOUN', 'NOUN', 'NOUN', 'NOUN')",2539,0.04685193386477709
"('NOUN', 'NOUN', 'ADJ', 'NOUN')",1591,0.029358576911721286
"('NOUN', 'ADJ', 'NOUN', 'NOUN')",1542,0.02845438441098317
"('NOUN', 'VERB', 'NOUN', 'NOUN')",1401,0.025852524357838795
"('NOUN', 'NOUN', 'NOUN', 'ADJ')",1393,0.025704901092412163
"('VERB', 'NOUN', 'NOUN', 'NOUN')",1385,0.025557277826985532
"('NOUN', 'NOUN', 'VERB', 'NOUN')",1339,0.024708444050782402
"('ADJ', 'NOUN', 'NOUN', 'NOUN')",1130,0.020851786241511662
"('NOUN', 'NOUN', 'NOUN', 'VERB')",1078,0.01989223501623856
"('NOUN', 'ADJ', 'NOUN', 'ADJ')",955,0.017622527310304104
"('VERB', 'NOUN', 'VERB', 'NOUN')",801,0.014780779450841452
"('ADJ', 'NOUN', 'ADJ', 'NOUN')",797,0.014706967818128138
"('NOUN', 'VERB', 'NOUN', 'VERB')",710,0.013101564806613522
"('NOUN', 'ADJ', 'VERB', 'NOUN')",682,0.012584883377620313
"('NOUN', 'ADJ', 'ADJ', 'NOUN')",671,0.012381901387658696
"('ADJ', 'NOUN', 'NOUN', 'ADJ')",643,0.011865219958665485
"('VERB', 'VERB', 'NOUN', 'NOUN')",631,0.01164378506052554
"('VERB', 'NOUN', 'NOUN', 'ADJ')",631,0.01164378506052554
"('NOUN', 'VERB', 'VERB', 'NOUN')",625,0.011533067611455566
"('VERB', 'NOUN', 'ADJ', 'NOUN')",601,0.011090197815175671
