pos4,count,prob
"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1443,0.036461491813220136
"('NOUN', 'ADJ', 'NOUN', 'NOUN')",1105,0.027920962199312716
"('NOUN', 'NOUN', 'ADJ', 'NOUN')",1089,0.027516676773802304
"('NOUN', 'NOUN', 'NOUN', 'ADJ')",925,0.0233727511623206
"('NOUN', 'VERB', 'NOUN', 'NOUN')",883,0.02231150192035577
"('NOUN', 'NOUN', 'VERB', 'NOUN')",872,0.022033555690317366
"('NOUN', 'ADJ', 'NOUN', 'ADJ')",828,0.020921770770163734
"('VERB', 'NOUN', 'NOUN', 'NOUN')",813,0.020542753183747726
"('ADJ', 'NOUN', 'NOUN', 'NOUN')",804,0.02031534263189812
"('ADJ', 'NOUN', 'ADJ', 'NOUN')",671,0.016954720032342833
"('NOUN', 'NOUN', 'NOUN', 'VERB')",644,0.016272488376794018
"('VERB', 'NOUN', 'VERB', 'NOUN')",583,0.014731150192035577
"('NOUN', 'ADJ', 'VERB', 'NOUN')",529,0.013366686880937942
"('ADJ', 'NOUN', 'NOUN', 'ADJ')",527,0.01331615120274914
"('NOUN', 'ADJ', 'ADJ', 'NOUN')",515,0.013012937133616334
"('VERB', 'NOUN', 'ADJ', 'NOUN')",504,0.012734990903577926
"('NOUN', 'VERB', 'NOUN', 'VERB')",468,0.011825348696179502
"('NOUN', 'VERB', 'NOUN', 'ADJ')",462,0.011673741661613099
"('VERB', 'NOUN', 'NOUN', 'VERB')",454,0.011471598948857893
"('NOUN', 'VERB', 'VERB', 'NOUN')",447,0.011294724075197089
