pos4,count_a,count_b,delta,z
"('NOUN', 'ADJ', 'NOUN', 'ADJ')",828,1522,0.24357412011049728,5.586356476560719
"('ADJ', 'NOUN', 'ADJ', 'NOUN')",671,1244,0.23405574172702792,4.8485889880780135
"('NOUN', 'NOUN', 'ADJ', 'PROPN')",127,182,0.4894396330147259,4.2288673292880965
"('NOUN', 'ADJ', 'PROPN', 'VERB')",59,66,0.7366221301701561,4.112389189982324
"('ADJ', 'NOUN', 'ADJ', 'VERB')",225,382,0.32019734690807233,3.8012236365978853
"('VERB', 'ADJ', 'NOUN', 'ADJ')",116,172,0.4552285610110349,3.7857251586198593
"('PROPN', 'ADJ', 'NOUN', 'NOUN')",118,180,0.4268360490844483,3.6002571925778866
"('ADJ', 'NOUN', 'ADJ', 'ADJ')",244,432,0.27819570988520237,3.464751708617556
"('ADJ', 'NOUN', 'NOUN', 'ADJ')",527,1023,0.18684009205244045,3.4630497498259456
"('ADJ', 'ADJ', 'NOUN', 'PROPN')",51,63,0.6374550348280197,3.385492781707254
"('NOUN', 'ADJ', 'PROPN', 'ADJ')",58,75,0.5917831919226835,3.3850383006201175
"('VERB', 'VERB', 'VERB', 'ADJ')",38,42,0.7484571925328094,3.346013485880807
"('PROPN', 'NOUN', 'ADJ', 'NOUN')",150,248,0.34635945601188034,3.343886000494156
"('NOUN', 'ADJ', 'VERB', 'ADJ')",105,163,0.40922138186177115,3.2678305788714206
"('ADJ', 'PROPN', 'NOUN', 'ADJ')",55,73,0.5657055993731941,3.1691035140573365
"('VERB', 'ADJ', 'VERB', 'VERB')",46,58,0.616966800301717,3.1265575476036975
"('NOUN', 'ADJ', 'NOUN', 'PROPN')",148,252,0.3168580688731799,3.055366247353313
"('ADJ', 'NOUN', 'ADJ', 'PROPN')",70,102,0.47241925313762145,3.043402203630654
"('ADJ', 'NOUN', 'VERB', 'ADJ')",93,146,0.3979367234662119,2.9977168463579607
"('PROPN', 'ADJ', 'VERB', 'NOUN')",52,71,0.5374080302684439,2.9452248278632136
