term,score
ruinas,77.18742082557544
cenote,59.979915426924215
guía,46.62656218089527
hotel,39.33942043396913
historia,38.193377634130655
comida,37.34943913932247
servicio,36.18963977943887
museo,34.635107874689595
playa,28.938120133382792
habitación,27.841345057423105
entrada,24.66045302294656
cenotes,24.42145251468075
nadar,23.679897983268408
recorrido,23.009023358425637
restaurante,22.51434208159017
habitaciones,21.56798578214677
parque,21.10130884065052
mayas,20.800490977871426
paseo,20.732772800166238
pena,20.044077677848723
vendedores,19.34974661162764
excursión,19.3357026031991
visita,18.94190594599516
interesante,18.488881248303194
pirámide,18.097434079844255
caminar,18.06227552457092
fotos,17.909071565099033
maya,17.832582350240216
desayuno,17.55808432522297
tortugas,16.88676488726732
subir,16.56538054046094
cultura,16.187673993669886
agua,15.882838235296605
playas,15.789743903355882
visitar,15.693203459231935
información,14.965934592914614
personal,14.934351392251545
iglesia,14.846828348172137
guías,14.765228205844098
vale,14.708055032250712
sol,14.584527982379068
buceo,14.069134088149754
excelente,12.889121165344445
tour,12.559508412160369
artesanías,12.463233993753972
snorkel,12.303111611128323
amable,11.61818600379733
atención,11.60656785044576
puedes,11.591480599116412
sitio,11.568664414923132
gente,11.500531441805805
noche,11.373677709145024
mã,11.244023252049251
platillos,11.204117558740046
interesantes,11.129554371942255
menú,10.996285838116641
sabor,10.99284841486172
coba,10.966140324782087
pedimos,10.67392766653099
recorrer,10.185494264530965
calidad,10.174207470149128
subida,10.040835960870513
recepción,9.974529224429686
azul,9.945171007533787
cima,9.713265905371642
traje,9.61346655897967
cuevas,9.59963274199482
ambiente,9.585169668726701
solar,9.5851467290524
ubicación,9.49560317653936
guiada,9.466435084685248
alimentos,9.46212697428487
sombrero,9.414996254280002
cristalina,9.290808924047514
camino,9.064395750353603
peces,8.97911494160552
turistas,8.88567362902826
meseros,8.826378933139676
bucear,8.726839462635686
trayecto,8.711597216439849
guia,8.658032180295969
carmen,8.544134915078919
bloqueador,8.537784697859768
cena,8.536746406771538
mesa,8.534821203845834
escalones,8.5109910699481
tulum,8.504028308572513
aguas,8.495176971135113
itza,8.417105397083716
pesos,8.391749938124061
calor,8.349480123312023
animales,8.283798142583652
cascadas,8.101052128662133
mar,8.046653548107741
platos,7.987540884703209
chichen,7.885485339597944
alquilar,7.833632489735294
café,7.808204244621361
deliciosa,7.743709847070477
puestos,7.720299696579337
iguanas,7.614176070809885
algas,7.613632201617007
formaciones,7.5023908909128245
histórica,7.429479627492192
plato,7.3890554531531185
lento,7.352662004857612
duendes,7.254852204638459
comprar,7.207058280487823
alberca,7.20089306804452
zona,7.119829261735827
paisaje,7.1057585119740185
mala,7.089873602279269
tiendas,7.075225132218611
belleza,7.0691346616501445
coche,7.02809347050299
colección,7.017095506449129
cama,7.004457768307136
arena,6.994607410290775
ojos,6.992308762165589
lancha,6.9903801840677815
mesero,6.981786931152783
delicioso,6.951523708373457
lanchas,6.866374286796473
impresionantes,6.837414560629544
acantilados,6.814604049832077
pedí,6.77735956367847
delfines,6.735630954219162
tacos,6.717588605020039
acondicionado,6.71112119115468
surf,6.676159539302526
admirar,6.668470738523759
hermoso,6.66690753434758
arqueológica,6.646433388450459
salvavidas,6.630497540848493
apreciar,6.61488569349291
mirador,6.613073373137494
pizza,6.425966199223382
venden,6.423375437684477
hermosas,6.370336487966515
carne,6.346059883468188
clara,6.297686665368673
foto,6.290595149058343
cocina,6.263589767946769
cámara,6.248691989113694
porciones,6.224023365495234
malecón,6.205895482776382
tirolesa,6.200170599610679
atento,6.175158537428498
caballo,6.163774898743613
basura,6.1626169028622515
exposición,6.156491371886911
música,5.98466535733532
dã,5.973291658716002
recuerdos,5.969337003781229
sargazo,5.9413335726971495
protector,5.934188553474833
oleaje,5.91536299148019
carta,5.910424408481899
pirámides,5.868538105447371
regular,5.859514089275913
profunda,5.834864294901518
estancia,5.8121102127817075
imperdible,5.7832405272879015
atracción,5.780912928497748
sur,5.780549455454052
colores,5.7745477921213935
cuarto,5.703706719717614
color,5.698042513069788
ruido,5.686123465766963
gorra,5.674030910938467
camas,5.671853197653323
salsa,5.649599679812835
impresionante,5.633995475668749
buceadores,5.631758931587779
visitarlo,5.609869183543525
cueva,5.540475043765044
costa,5.527560474106382
terraza,5.523320154746042
natural,5.476636761595273
comer,5.463630584077128
cenar,5.443040154854924
punta,5.411567785393659
calles,5.410710308309341
grutas,5.38744209787942
desayunar,5.351769461557808
multitudes,5.349544387363709
señalización,5.334321059783759
sombra,5.3317619944624886
naturaleza,5.287554498363974
ensalada,5.28110443428202
fotografías,5.260187115159644
pan,5.2505069407438905
construcciones,5.246120564425267
prismas,5.221317089632159
turquesa,5.204749323291982
explica,5.202409981640607
wifi,5.187957434393216
entrar,5.185880456686451
pueblo,5.166733389974576
piramide,5.159222336866575
chaleco,5.047956794735592
estã,5.043630401863567
fascinante,5.040966118929759
montã³n,5.0399168436275765
sazón,5.029154094143317
tiburón,5.009567623212732
conservación,4.977906067260063
paraíso,4.972244446255711
templo,4.965896534633822
llena,4.96391099948422
visto,4.9547538638887385
caballos,4.90540433474621
estructuras,4.894305218630299
zapatos,4.872922366806656
janitzio,4.846412147638646
comercio,4.844800292942798
pasta,4.837580906307675
arqueológico,4.833039048376033
pollo,4.822385390731183
barroco,4.821720471093974
vistas,4.79126352824639
historias,4.744681705276051
caminata,4.718594960984864
acantilado,4.713225121555293
bar,4.694530425692225
precio,4.679846796747845
sopa,4.669390774398053
decoración,4.665354888766489
the,4.6171369603864925
xkeken,4.600142035048224
pedir,4.592196983418029
aire,4.591677177366617
cascada,4.589041194955348
mesas,4.571328557670279
taquilla,4.555180676673223
palmeras,4.533817583547219
piedras,4.533525823863266
corto,4.5298563959618
limpieza,4.528850983525249
edificios,4.522548485623101
rica,4.497142232057615
arte,4.494418585691219
buffet,4.476683804681397
explicaciones,4.4571678267293695
pizzas,4.397761552113668
ambulantes,4.374850291332497
estalactitas,4.363170133401406
muertos,4.335574478839381
pinturas,4.31714655419831
piezas,4.293621817257776
bicicleta,4.276356379217123
cultural,4.255461261552569
limpias,4.248207192536455
asã,4.247028297433855
arquitectura,4.242171642816543
autobús,4.236618288467868
piscina,4.220399412694797
medicina,4.220272209394747
