term,score
servicio,0.0812388426359465
comida,0.07628994049509907
hotel,0.0720357845350269
ruinas,0.051428192769948367
habitación,0.049782989598163296
habitaciones,0.043642894862505055
restaurante,0.04214489509645214
guía,0.041731729348942426
cenote,0.03728654497869743
desayuno,0.03157656426998512
historia,0.030609780926642238
personal,0.02888609221131444
entrada,0.02479944178050142
museo,0.021344620525516556
noche,0.020551516790941693
playa,0.01963237334283885
recepción,0.01956136170883349
recorrido,0.0182300497694885
pena,0.018227797326434425
agua,0.01792491764517956
nadar,0.01729249503289365
amable,0.017154319106695848
excelente,0.0170278184423448
visita,0.01692641910900583
vendedores,0.01677504033938737
paseo,0.016760384512255366
menú,0.0164287769978807
excursión,0.015851883727547533
cenotes,0.015763083414660706
pedimos,0.015195063287311461
interesante,0.014634773778423149
mayas,0.014534030039098034
fotos,0.014426106510586845
maya,0.014425950493256456
ubicación,0.013865494532997125
visitar,0.013539743936631154
caminar,0.013514527965275969
vale,0.013403843548574712
sabor,0.013142694827503298
calidad,0.013068181515921373
puedes,0.012989341478565897
atención,0.012808655204968655
parque,0.012733300973740147
platillos,0.012527324886389524
cena,0.012485717608532787
subir,0.011971602679302973
cultura,0.011912372350518563
gente,0.011877129010691045
plato,0.011644109437407235
pirámide,0.01157567406106208
guías,0.01132839202993563
cama,0.010939560411564186
platos,0.010929229836777798
sol,0.010892967188332103
meseros,0.010747477477999312
pedí,0.010332808276267036
acondicionado,0.010292587404958087
mesa,0.010272428786760046
tortugas,0.010178129610624809
sitio,0.009860166229156642
playas,0.009738668278682305
turistas,0.009653901573998702
cocina,0.00944132457706659
tour,0.00919708404124453
ambiente,0.009161791464442848
alimentos,0.009036292963488401
café,0.008948021025202535
información,0.008937149269437339
camino,0.00881062303593838
camas,0.008722643675914354
artesanías,0.008711045118611538
buceo,0.008548109326324105
alberca,0.00844527219425295
deliciosa,0.008353016062453866
tulum,0.008345973831800468
coba,0.008243432121362693
estancia,0.008148435032013901
pesos,0.008059162990668112
delicioso,0.00799662964906278
iglesia,0.007891793071837627
traje,0.007883449976769263
snorkel,0.007779794950948271
mesero,0.007768750129751423
carne,0.007689298079640694
ruido,0.007593932286318328
porciones,0.007390288215419205
mala,0.0073761168977583
peces,0.007279051342904186
cuarto,0.007254331754143917
atento,0.00720807241799537
ensalada,0.00718880961389079
wifi,0.007182397583567091
carta,0.007182397583567091
sombrero,0.00716391699634511
solar,0.0071018396789452876
noches,0.007017861964371264
interesantes,0.006874416991075605
azul,0.006873177131530905
pan,0.00683416870390563
salsa,0.00683416870390563
mã,0.006789601015385727
pizza,0.006786145810773081
zona,0.006780835748330882
escalones,0.006764330559258402
cenar,0.0067396143254465635
comprar,0.006706848253386188
carmen,0.006571446810553105
buffet,0.006501297207301748
subida,0.006447627388191046
cuevas,0.006444958232820208
limpias,0.006324240710535056
cima,0.006315292726774335
terraza,0.0063073329272207435
puestos,0.006170523974733055
iguanas,0.006092599921770359
tuve,0.00609198753032314
bloqueador,0.006085693860070407
huéspedes,0.006080560349938313
calor,0.006074727694878934
aire,0.006072801260813554
impresionantes,0.006060163105956584
lento,0.006029040428047749
sombra,0.0060045640886884355
coche,0.005925704610008409
sopa,0.005881579078418686
bucear,0.00586013240240546
bar,0.005856333167116312
cristalina,0.005853575437172354
recorrer,0.005850591907876956
limpieza,0.00581706974381857
guiada,0.0057585465864742336
alquilar,0.005740708514644033
desayunar,0.005727288265086505
mar,0.005695479703090034
itza,0.005611881259664275
tacos,0.0055938736851290916
precio,0.005580248670475574
chichen,0.00552949276896042
hermoso,0.005527022902480416
entrar,0.005512027025267097
pedir,0.005462187563206156
costa,0.0054537849356300905
spa,0.005438381033475714
dormir,0.005426930346167924
pollo,0.005426930346167924
guia,0.00542583293170773
salvavidas,0.005412519195252985
pasta,0.0053798931571195086
comer,0.005368505828866721
regular,0.005287824194728841
gerente,0.005246221339645696
ducha,0.005241284645970068
sazón,0.005179388575617394
cascadas,0.005053697753942266
acantilados,0.005008759235300975
paisaje,0.004999823432599637
aguas,0.004975024430837305
estã,0.004974587041127632
servicial,0.004918851783864087
música,0.004918462863472972
mesas,0.004888963323221085
surf,0.004887811000703235
decoración,0.004764844190523143
malo,0.00472991480638707
trayecto,0.004727270324192179
piscina,0.004719875071174995
ojos,0.004701106260324495
tenían,0.004686797407746801
suite,0.0046785507612024935
lanchas,0.0046500667641562465
cueva,0.004639337157472223
lancha,0.004569731807331223
cómodas,0.004524167278553315
camarones,0.0044815213352062955
foto,0.004456899893529043
cámara,0.004436993249527954
ruidoso,0.004386419547550813
relación,0.004354056458981015
tirolesa,0.0042915169483509485
caballos,0.0042915169483509485
formaciones,0.0042915169483509485
protector,0.0042915169483509485
gorra,0.0042915169483509485
taquilla,0.0042915169483509485
pueblo,0.004279713965177678
