term,score
lugar,0.19949998016746792
comida,0.1334477121644787
playa,0.09969555477483444
servicio,0.09944018013253546
agua,0.08700055116724466
hotel,0.08287403426736759
pena,0.06556942680319089
restaurante,0.060812667863370855
personal,0.058091531752497705
gente,0.05546974617358248
ruinas,0.0521075541086445
agradable,0.05162132672146187
vale,0.04902157681724824
entrada,0.048837919222106944
experiencia,0.04833910639269377
vista,0.04632692966537101
precio,0.04613737332849994
puedes,0.04605332100124669
visita,0.04483711238225871
tiempo,0.04466462055974993
excelente,0.04435313725033391
zona,0.04305677718508645
recomiendo,0.042102865202756266
habitación,0.04202542179411672
tulum,0.04098269045623025
visitar,0.039930200845900515
bonito,0.03783201087574299
pesos,0.036872176428489806
habitaciones,0.03672920909083174
llegar,0.03663291757394828
increíble,0.03659584504586545
personas,0.035710828894385045
realmente,0.035368129277301305
atención,0.034757477811984516
cenote,0.03461422173859084
guía,0.034494878599414
ciudad,0.03367858359304418
noche,0.033605543515224885
viaje,0.03287253373208322
cerca,0.03260754165485055
comer,0.03179283204173492
historia,0.031491833517990675
sitio,0.031459824827755584
tomar,0.031079112317256526
mar,0.03042550443292223
minutos,0.029301375919948833
precios,0.02907289888137051
hora,0.029057635959812048
pequeño,0.028807573520027736
lugares,0.028168985335097756
desayuno,0.0280461892205461
tuvimos,0.028034404707027668
fotos,0.0275786721297238
restaurantes,0.02742373414832331
llegamos,0.027228661359599296
pasar,0.02709375747765616
hermoso,0.02696718387521199
calidad,0.025932122424103112
baño,0.02579134768448307
amable,0.025747881476166128
isla,0.025698836450798478
disfrutar,0.025131713085723907
nadar,0.024679239219256847
ambiente,0.024576148952419014
cosas,0.024033150150210358
centro,0.02401157376005647
bebidas,0.023844439943136227
tienes,0.023492946856787905
persona,0.02343861885497567
méxico,0.023438162000344688
interesante,0.023345235484693347
duda,0.023317188884482313
montón,0.02320562075743197
pequeña,0.023167816206199014
caminar,0.022967532040743074
único,0.022713302283284928
vistas,0.022668848053658975
general,0.022613572527262062
ubicación,0.022380337264375307
camino,0.02236868931425353
horas,0.0219653628597382
maya,0.02180968755398132
pagar,0.021742326686260978
paseo,0.021669842310054456
caro,0.02149829237894814
mejores,0.021441138809149128
sol,0.02138741676088068
lleno,0.0213170985445685
recomendable,0.021061469554883444
10,0.02095632543701132
mala,0.02061018217757675
turistas,0.020440280692590063
museo,0.020117972869899678
tipo,0.019856579624698383
niños,0.019806164584614237
recorrido,0.0196168112012432
entrar,0.019286068306145602
30,0.01925686420303665
años,0.019087621829603323
familia,0.018952301701952397
pueblo,0.018866221775112376
justo,0.01867564863441617
dinero,0.018502751625044826
encontrar,0.018300081689937825
excursión,0.018158346074607066
hermosa,0.018101653817449905
principal,0.018043901048037318
casa,0.018031358972686908
quieres,0.01802817842864968
piscina,0.017845194351964785
semana,0.017799758023038466
volver,0.01736073890401388
gusto,0.017302818419930907
momento,0.017262543418597932
20,0.01721244065349381
impresionante,0.017158957627717
pedimos,0.016743159031501684
sabor,0.016575181923698952
caliente,0.016562639599257502
aire,0.016562498060910674
mundo,0.016488685632350328
limpio,0.01643767519126578
tour,0.016358086738229465
problema,0.016337959850471276
calor,0.016336948026322295
playas,0.01622487813260772
precioso,0.01603583696548605
recepción,0.01583727114606634
subir,0.01575915358197117
mañana,0.01573696690013148
vendedores,0.01566768050887848
parque,0.015626233615513362
falta,0.015616345225585443
bonita,0.015606935081303704
cuidado,0.015359047023215125
costo,0.014949656984759063
instalaciones,0.014932623462947145
cenotes,0.01490859000739532
información,0.014830966400666126
calle,0.01479591606460273
comprar,0.014795655276586436
seguro,0.014750859524602386
genial,0.014662474569152888
acceso,0.014481673146019973
mayas,0.014469506351398573
pasamos,0.014409257976690869
espectacular,0.014384603320296093
tranquilo,0.014366228860793041
grupo,0.014158530070251345
teníamos,0.014060859490259918
llena,0.014048692357435461
especial,0.014001324217352635
estábamos,0.013862972294952557
etc,0.013623010877467097
mesa,0.01361971433696152
menú,0.013604876482798248
estás,0.013410685733458412
coche,0.013405610976673796
pie,0.013231297725342936
estancia,0.013180373260722715
super,0.01282749092003186
vas,0.012731856386243526
vida,0.012711144549129985
tiendas,0.012671782540652737
simplemente,0.012580959831105389
lejos,0.012564807691928302
café,0.012554783332277625
iglesia,0.01255085573300032
cosa,0.012511542522010486
frente,0.012403523949346656
san,0.012368744980520128
arena,0.01235403888056796
100,0.012349349516729467
mayoría,0.012317627582398454
estuvimos,0.012287774807450537
baños,0.012144573825918624
laguna,0.012032982380649553
tuve,0.012010446272005813
alimentos,0.011958628884723068
vimos,0.011941134571390968
única,0.011921720388475786
tenían,0.01186413035741836
decidimos,0.011852029134069556
bar,0.011799249791056345
local,0.011756638224883032
parecía,0.01173408273373874
estacionamiento,0.011673909985685025
cena,0.011630918788838644
visitamos,0.011623730250362379
plaza,0.011557322862921401
15,0.011555235133507171
pequeños,0.011530764286442034
hicimos,0.011439764963146568
mujeres,0.011384175090887518
oportunidad,0.011350734468167593
malo,0.011339906760103395
visto,0.011171140110051062
opción,0.011130127555846967
ofrece,0.011068200160209098
guías,0.011060013793145442
salir,0.011043487722825845
cultura,0.010993058280757747
carretera,0.010968429525196763
opciones,0.010953163924163536
pedir,0.01085296838756784
maravilloso,0.010836637435415384
gracias,0.010820179741215305
sombra,0.010794646955146094
difícil,0.01079402202646718
lento,0.010750243749096338
pirámide,0.01074168640372971
barato,0.010725519091243814
