term,score
hotel,211.98452061853482
habitación,160.665707009153
habitaciones,122.27832387215678
recepción,54.393818905351175
cama,41.490743653974626
piscina,41.37105869036768
alberca,40.17814252033137
personal,36.410888077336494
camas,35.35215755439258
cuarto,33.81030295038262
noche,32.67044604400559
acondicionado,32.01985484737793
limpias,29.26915772662322
baño,28.787363723124095
estancia,27.221212312246614
ruido,26.66610818869395
dormir,25.02040604137311
noches,23.63567528817877
ubicación,23.488225151179634
ducha,22.147956415539692
toallas,21.91149298762578
limpieza,21.57219319665549
aire,21.364774381975536
desayuno,21.11014363503126
alojamos,20.886888239318818
spa,20.467416489539076
cuartos,20.39181692529909
cómodas,20.104735188496875
hoteles,19.85094531174484
complejo,19.57977018195433
instalaciones,18.951976230134676
incluido,18.162807355208372
wifi,17.81332216408174
internet,17.299108663835717
huéspedes,16.906816331248137
cabañas,16.146106149938685
suite,15.972642892083147
almohadas,15.770661687781473
jacuzzi,14.835668926087838
recepcionista,13.891771832998327
viejo,13.66552680430351
reserva,13.587607244272991
balcón,13.500315148004908
check,13.176487742282887
tv,12.831080697922628
habitacion,12.824824546562752
limpia,12.716881946418418
reservamos,12.542476112534583
limpio,12.520331985747468
dreams,11.670770722160825
cenote,11.602204315557636
ventana,11.475269255204777
regadera,11.109883524357736
colchones,10.425957933899966
ruinas,10.292961645656185
lugar,10.24349774819094
propiedad,10.232961391515605
viejas,10.2005867109625
servicial,10.189152784281992
masaje,10.039527499874382
servicios,9.782235891464982
escucha,9.674550711810458
funcionaba,9.650334885544389
mantenimiento,9.587783126850747
caliente,9.434136237388676
funciona,9.415483552593267
cerca,9.326220506450019
descansar,9.259601409743937
amable,9.259151273781008
sábanas,9.10493639505636
amplias,9.013213011005016
alojado,8.83279235110059
lobby,8.831839108538649
estrellas,8.58911674702819
ventilador,8.545023926441353
humedad,8.523099119283618
in,8.522898142236293
guía,8.40440290224709
puerta,8.240409561209479
problemas,8.233629651079664
calefacción,8.182005155917869
seguridad,8.177592106218178
ruidoso,8.146246734775648
moho,8.008153347808076
amenidades,7.801397398086559
tacos,7.759950277280192
centro,7.704746211175667
hospedamos,7.694604749887505
presión,7.67218006246627
toalla,7.630993040383302
comida,7.61799343895718
espaciosas,7.594171024504318
reservación,7.566602536071283
televisión,7.335068693868109
historia,7.307400645891962
platillos,7.234132258203303
king,7.226653288353292
llave,7.092006953147218
llegada,7.042742447494397
problema,6.967794585087516
piso,6.891636493686837
pasillo,6.849999924322817
bar,6.837415555194213
dobles,6.828924844549512
estadía,6.809564962927906
privacidad,6.795826338710041
colchón,6.569711261029166
conexión,6.55201003564328
museo,6.511072924632626
viejos,6.485937655276739
vestíbulo,6.468320231609262
cabaña,6.444956893667131
cortinas,6.41903790320819
boda,6.346597624343976
sabor,6.325818589120791
básico,6.292359618219746
cafetera,6.213317512525265
olor,6.14754868273558
pescado,6.133860557252303
puertas,6.133607742577274
recepcion,6.094107453749382
reserve,6.075359229018012
comodas,6.0516931716274325
reservar,6.049384111123507
carne,6.019120225081774
muebles,5.972373721558271
gerencia,5.936718692870851
llamar,5.925602306796871
staff,5.863844940530259
construcción,5.762786209787398
entrada,5.761645038898261
hospedado,5.740092945740692
tina,5.676754390311638
yoga,5.672164054609852
reef,5.648820068711974
villa,5.64755586067415
equipaje,5.6344237181044186
estuvimos,5.624104134727386
booking,5.588294814502014
sucias,5.585566060091393
confortables,5.56183411369493
reservado,5.530694078668519
turistas,5.516835753165382
comer,5.5163975671138905
ambiente,5.516342859448956
porciones,5.515353618650796
cuadras,5.484408642077876
interesante,5.453694518500807
nevera,5.439433482974967
comodidades,5.421837593808081
albercas,5.408446682818184
fi,5.400517309325371
wi,5.400517309325371
planta,5.343647024841529
cucarachas,5.287868194090874
junior,5.210225257661906
visita,5.203610287336033
limpios,5.1794197445435035
reservas,5.1743471359417645
buffet,5.170385634984556
pasillos,5.154662634889036
menú,5.132552681728473
refrigerador,5.128382702074483
lavabo,5.123281895778598
duchas,5.114544625504073
resort,5.1090708932557245
bañera,5.080147709582153
sencillas,5.067677720589259
platos,5.057595023735735
suites,5.052207926084103
respetaron,5.022401195020201
pizza,5.015490863744247
duras,4.973671404726578
ventanas,4.965351841360379
cadena,4.964221231621044
hostal,4.951121320553933
sucia,4.921047591883131
maletas,4.911454662482504
