term,score
hotel,0.21268799245982445
habitación,0.1358037854545967
habitaciones,0.11846178819239385
recepción,0.04849379029013165
personal,0.046839062152684616
noche,0.03201002395910579
cama,0.030961846708109364
piscina,0.030021523880794775
desayuno,0.02580005979290772
camas,0.025580454199984115
alberca,0.02496146999551621
acondicionado,0.024554602181253576
baño,0.023888083915870884
cuarto,0.022630614782595825
estancia,0.02180326580296091
ubicación,0.021707593268023215
limpias,0.02094042556021023
noches,0.020144187252555762
aire,0.017056315338169693
ruido,0.016567835548169707
dormir,0.016296538879298564
limpieza,0.015788402615224927
alojamos,0.015452533058995854
ducha,0.01498770946476521
spa,0.014140498245826964
toallas,0.013243376461964048
instalaciones,0.013170756690039698
hoteles,0.012942890083624144
amable,0.011911871092850525
incluido,0.011734974540419206
wifi,0.011631639095813336
cómodas,0.011532877313406058
limpio,0.01151252777408214
internet,0.011267883118804882
cuartos,0.010807961658523369
huéspedes,0.010783080643304238
complejo,0.010416290089118176
suite,0.010264586350251478
almohadas,0.010134457967966049
limpia,0.009750148656123933
servicial,0.009707509493539377
viejo,0.009578592656238168
balcón,0.0092746178898238
check,0.009153515090739953
cabañas,0.009131319767744879
jacuzzi,0.008919233275810097
reservamos,0.008229621771694937
reserva,0.007611531317043898
cenote,0.007607776713240951
guía,0.007532074435226566
servicio,0.007256023424378645
tv,0.007242404244061301
recepcionista,0.007142551224333161
caliente,0.007119951050805701
lugar,0.006990508725449046
habitacion,0.0069002137595877144
centro,0.006846303680973165
cerca,0.006628955439837734
precio,0.006512331780094738
dreams,0.006495927482007749
ruinas,0.006290458937892467
regadera,0.00625411831808627
descansar,0.006245214640871628
in,0.0062294552609479074
propiedad,0.006226859475820065
mantenimiento,0.006143288793763467
colchones,0.006012403625220507
bar,0.005900333496785088
turistas,0.0058899218942164745
ruidoso,0.005794775738331987
viejas,0.0057437879679293905
servicios,0.0056898639359606856
alojado,0.005638320108564635
funcionaba,0.005407131646881163
ventana,0.005332648782540326
tacos,0.005309411012089182
lobby,0.005287825548057024
historia,0.005213764612239307
llegada,0.005197167854945824
problemas,0.005160562822933411
problema,0.005153698281938521
restaurante,0.0051372772690424645
puerta,0.005133081009661146
buffet,0.005112677352337027
estrellas,0.005072892530715165
king,0.005046487915104547
televisión,0.005042071322690137
sábanas,0.005019107527448138
ventilador,0.004955011843298851
humedad,0.004879004949536475
resort,0.004770573666435876
hospedamos,0.004728480883880687
masaje,0.004714409577501093
amplias,0.004705126770634011
semana,0.004661531420095168
pescado,0.00463979773655096
piso,0.0046005658290087
escucha,0.004554851586697373
olor,0.004495029537179983
reservación,0.004457801835032991
mañana,0.00443009586224987
espaciosas,0.004323039045451241
calefacción,0.004323039045451238
estuvimos,0.004284700858085674
presión,0.004277529606279334
museo,0.0042563296117023326
seguridad,0.004244675740508272
agua,0.004244032270298005
funciona,0.004214851187058765
entrada,0.004196946374036118
reservado,0.004129617043472424
dobles,0.0040820771591658245
colchón,0.004082077159165824
cortinas,0.004082077159165819
lujo,0.004062520034236999
vendedores,0.004000715088509202
puertas,0.0039943927261687365
general,0.003939637719061735
carne,0.003862402698991449
estadía,0.0038483689687166932
yoga,0.003841209005234896
vestíbulo,0.003841209005234895
booking,0.003841209005234894
moho,0.003841209005234888
ensalada,0.0038067601979429955
teléfono,0.003741448491237699
toalla,0.0037392756782206335
llegamos,0.0037351877680648514
albercas,0.0037351171191930903
llave,0.0036689206902543597
conexión,0.0036267373236897917
privacidad,0.0036218779283883912
gerencia,0.0036218779283883912
jardines,0.003611027536137037
sucia,0.003607039725476918
cafetera,0.003600434502163811
cabaña,0.0035825191856744495
interesante,0.003549260859671653
platillos,0.0035392339489371104
tuvimos,0.0035107236656377657
pirámide,0.0034936445119462516
vacaciones,0.0034423817943516
sucias,0.0034360698311617904
villa,0.0034283315091437503
pasillo,0.0034185790648714478
muebles,0.0034095994380178756
recepcion,0.003405235837394686
nevera,0.003392727686631518
podía,0.0033899853583757864
amenidades,0.003380956186620294
reserve,0.003380956186620294
sabor,0.00336896307117457
queso,0.003361541720580066
planta,0.0033612622231471746
porciones,0.0033608802190751796
equipaje,0.003359753568585317
menú,0.00331279608354961
reservar,0.0033041030736764235
visita,0.003283997429910787
playa,0.003263594865516319
platos,0.003249368157604072
salsa,0.0032344173081015693
construcción,0.0032270242561056473
viejos,0.00319776981068361
posada,0.003186777995429827
maletas,0.003119166123231828
suites,0.0031191661232318254
mesa,0.003094543531997468
alojé,0.003055292820658774
comodidades,0.003055292820658774
web,0.002999687767992181
excelente,0.0029937878730787373
cliente,0.0029781456064361827
ventanas,0.0029688827812427267
llamar,0.0029646637294333082
bañera,0.002951314559608966
duchas,0.002945994447460282
sazón,0.0029419243105520392
privado,0.002932206223648166
sencillas,0.002923673445271027
excursión,0.002899125296618587
mala,0.0028952063885218345
reef,0.002878672084967793
respetaron,0.0028786720849677885
meses,0.0028760018530385183
cómodo,0.0028735819195065022
fi,0.0028474349138715898
wi,0.0028474349138715898
pasillos,0.002846009787931544
extra,0.002822670048340488
reservas,0.0028040112282730085
calle,0.0027983249142692766
estacionamiento,0.0027872301719828116
probar,0.0027854490631759317
cosas,0.002785298292136201
boda,0.0027682043139501955
comer,0.002766384264379117
básico,0.0027519867952265973
caja,0.00274531244145483
pared,0.0027305191227363274
daba,0.0027305191227363274
cadena,0.002728094908293049
lavabo,0.002696375859526394
camarero,0.002693733563365574
huésped,0.0026739843586930647
guías,0.002671218014175526
cómoda,0.002653800005268059
junior,0.0026382713727645226
cucarachas,0.0026382713727645226
tina,0.0026382713727645217
confortables,0.00263827137276452
botones,0.00263827137276452
pros,0.00263827137276452
refrigerador,0.00263827137276452
comodas,0.00263827137276452
boutique,0.0026051683593877953
cuadras,0.0026037081364710885
condiciones,0.002603094013749805
pollo,0.002600188346700053
