term,score
hotel,0.07983913263991219
comida,0.05724042740678003
habitación,0.057056110469412835
habitaciones,0.05071777559440885
agua,0.03431463235683003
playa,0.03191000558484991
ruinas,0.020403000522010366
servicio,0.02027308897331855
recepción,0.020053655007522122
piscina,0.019038547311581867
baño,0.01780800110118308
menú,0.017272737496116995
sabor,0.016172933877789827
platillos,0.01492899431652848
cama,0.01416328167474057
mesa,0.013426628248970823
platos,0.013330127373833888
guía,0.012586300835362893
tacos,0.012262926949106377
carne,0.01220182106774776
ambiente,0.012026610404283527
camas,0.011733802780655483
mar,0.011458382224302252
alberca,0.011453161715638744
ensalada,0.011173139958527162
plato,0.011138036107381179
pedimos,0.011106917255033268
cuarto,0.010864971810764736
porciones,0.010703000808812379
salsa,0.010609916845746071
limpias,0.01050706397228015
cenote,0.010501868275211408
personal,0.010356227553621433
comer,0.009835160960206708
acondicionado,0.009701783422404683
cerca,0.009480124304277426
fotos,0.00907684717766289
nadar,0.00885982461656913
pizza,0.008691526901835358
pescado,0.008565607220776077
historia,0.008557696328560339
noches,0.008457442587326858
pollo,0.008452957952939873
estancia,0.00837467513833945
sazón,0.008350055863143493
complejo,0.008145046809305658
queso,0.008134173255164459
dormir,0.008033697964204459
caminar,0.008013900780433875
instalaciones,0.008007191432230611
hoteles,0.007900847390551071
delicioso,0.007806146690547985
zona,0.007752750165752161
toallas,0.007713484872866311
tulum,0.0076655887397510045
limpia,0.007656870110444702
parque,0.0076068044197104695
entrada,0.007595250052964041
alojamos,0.007415153354655106
pasta,0.0074125950945888724
pedí,0.007257435628017939
maya,0.007132155439774773
camarero,0.007083993703272253
mesero,0.006914710299992464
lugar,0.006879908026040554
recorrido,0.006866768919833229
información,0.006866358872623787
ducha,0.00685072559917837
limpieza,0.006737666262744394
noche,0.006704207329949538
paseo,0.006700828348933329
camarones,0.006620007130912174
puedes,0.006588252687778423
aire,0.006505624938200731
caliente,0.006495529603511423
meseros,0.006494526769733188
restaurante,0.0064911889265754485
gente,0.006491176081941141
deliciosa,0.00646033589940073
sopa,0.006404158297510447
playas,0.006274310789202398
incluido,0.006230778036818625
spa,0.00612709196251424
mantenimiento,0.006123758474842787
internet,0.0059888387813713225
patatas,0.0059703880871700265
ruido,0.005967061284597098
cenotes,0.005861511620482257
llegar,0.005838798567659271
museo,0.005833133102305887
cenar,0.0057040238940124464
acceso,0.0054545827608071815
mesas,0.0053620283777662415
sol,0.0053479690992940905
seguridad,0.005267041521600235
pan,0.005178281171679216
vale,0.005169706943423851
pena,0.005080047901020212
cuartos,0.005011469314603792
cabañas,0.004909786451605187
postre,0.004879402111546303
persona,0.00485221610398839
check,0.0048431041081196165
limpio,0.004735083728041272
probar,0.004729343777018009
pizzas,0.004722209610073698
deliciosos,0.004709903660934843
viaje,0.004699743831274259
ubicación,0.004692396509518621
fritas,0.004682012481190275
precios,0.004631827483784106
comimos,0.004629478216516842
mayas,0.004566728735020193
cómodas,0.004540046273191638
calor,0.00449862973785492
reservamos,0.004468343089156853
rica,0.00446826502541302
excursión,0.004454021076608434
margaritas,0.00442062891891269
almohadas,0.004419617769723233
buceo,0.004419617769723229
horas,0.004413312849743714
mañana,0.004360280686556348
enchiladas,0.004327057034214269
mã,0.0043138165505605015
salsas,0.004307345679246365
subir,0.00424054565791027
servicios,0.004204503982687052
alimentos,0.004203158565640048
arena,0.004189460318905453
sucia,0.004177921088976021
estacionamiento,0.004161650752000131
sitio,0.004149258726856481
vistas,0.004108379207857263
suite,0.004106976533198854
estã,0.004102298443623861
carretera,0.004052029104727643
lento,0.004035022049745074
centro,0.004009493977751277
carta,0.003963649800536999
vendedores,0.003951530169584243
ingredientes,0.00389524339528713
jacuzzi,0.003890892676705616
ropa,0.0038403648004296485
mexicana,0.0038241007084011255
chile,0.0037843229490682542
costillas,0.003784322949068252
viejo,0.0037774123239978277
alquilar,0.0037650841764707366
visita,0.003727690169062615
dinero,0.003716006478910572
vino,0.0036969331817373833
arroz,0.003683710406182036
sabores,0.003678053811547075
visitar,0.0036756133385959693
cena,0.0036685911708188496
balcón,0.003667425532166016
costo,0.0036581582450305717
cerdo,0.003651625479279148
reserva,0.0036386530406302183
tiendas,0.0036111035736728883
pie,0.003592758383214956
platillo,0.003591034768478103
golf,0.00358360581470177
recepcionista,0.003573994396981284
almuerzo,0.00353400345487988
selva,0.0034960687947356225
cosas,0.003494823805391952
habitacion,0.003468417675011722
pequeña,0.0034543293403778747
descansar,0.003424545618932986
desayunar,0.0034090785110551516
jardines,0.0034024631828160345
naturaleza,0.0033569133653310957
porción,0.0033056996760687228
