term,score
vale pena,128.7224766635941
ruinas tulum,78.19283746556474
ruinas mayas,66.1101143057687
playa carmen,57.197935267450056
pesos persona,56.497023216457066
chichen itza,50.409061404244355
aire acondicionado,49.754834279961536
tomar fotos,42.17399473882
personal amable,34.44887609446051
agua cristalina,32.73265148298458
zona arqueológica,32.65743155834734
25 pesos,32.5126645671639
traje baño,31.765840220385677
agua clara,30.089358274763626
servicio lento,29.87485907553551
150 pesos,29.322314049586776
comida servicio,29.16480802060386
cultura maya,28.907668647601973
vendedores ambulantes,27.668940536420294
punta sur,26.878787878787882
protector solar,26.878787878787882
precio entrada,24.435261707988982
zona arqueologica,24.435261707988982
guía turístico,24.435261707988982
riviera maya,24.424795251893748
excelente servicio,24.265184102242806
agua azul,24.172860096299683
lleno gente,24.172860096299683
servicio comida,23.85707063938077
merece pena,23.50984723307034
comida rica,23.4489925259565
costo entrada,22.83965927596142
ruinas playa,21.991735537190085
chaleco salvavidas,21.991735537190085
playa paraíso,21.991735537190085
llena gente,21.991735537190085
excursión guiada,21.991735537190085
cruz roja,21.991735537190085
visita guiada,21.821767655323054
chalecos salvavidas,20.432896520432745
visita obligada,20.380543715790207
agua caliente,19.773567463038056
cenote bonito,19.548209366391184
entrada ruinas,19.548209366391184
playa llena,19.548209366391184
playa paraiso,19.548209366391184
cenote hermoso,19.548209366391184
50 pesos,19.48489578816524
hotel bonito,19.234498308906428
pirámide sol,18.90339802659163
personal recepción,18.416009019165724
habitaciones limpias,18.00676437429538
maã ana,17.104683195592287
tarifa entrada,17.104683195592287
color agua,17.104683195592287
playa estã,17.104683195592287
solar agua,17.104683195592287
playa ruinas,17.104683195592287
pesos entrada,17.104683195592287
gafas sol,17.104683195592287
estã bamos,17.104683195592287
puedes subir,17.104683195592287
servicio excelente,16.779030439684327
agua fría,16.66645690751461
100 pesos,16.400980182060433
pena visitar,16.288168832598473
montón gente,16.288168832598473
comida deliciosa,15.637703859282965
carrito golf,15.077908438811722
entrar agua,14.661157024793388
350 pesos,14.661157024793388
condición física,14.661157024793388
mar turquesa,14.661157024793388
tulum ruinas,14.661157024793388
pesos entrar,14.661157024793388
equipo buceo,14.661157024793388
peces tortugas,14.661157024793388
camino vuelta,14.661157024793388
pequeño museo,14.661157024793388
escalones llegar,14.661157024793388
paraã so,14.661157024793388
cenote increíble,14.661157024793388
65 pesos,14.661157024793388
pagar entrada,14.661157024793388
ruinas impresionantes,14.661157024793388
tienes oportunidad,14.661157024793388
sitio arqueológico,14.464293760286381
playa hermosa,14.464293760286381
comida restaurante,14.323562570462233
pena viaje,14.29940684633402
pueblo mágico,14.241110865694122
calidad comida,13.914317925591883
excelente comida,13.914317925591883
lugar comida,13.914317925591883
ambiente agradable,13.672615775465012
check in,13.50507328072153
ciudad méxico,13.325660161982803
minutos coche,13.267753376752044
calidad precio,13.030248901110845
vistas increíbles,12.602265351061089
visitar ruinas,12.602265351061089
patatas fritas,12.454718538453292
pasar tiempo,12.366698656131884
hermosa playa,12.366698656131884
lugar agradable,12.314639683708046
ida vuelta,12.300735136545324
lugar puedes,12.300735136545324
puedes dejar,12.300735136545324
habitación limpia,12.277339346110484
comida excelente,12.277339346110484
20 pesos,12.243611424276589
quieres nadar,12.217630853994491
tomar baño,12.217630853994491
ruinas lugar,12.217630853994491
corto trayecto,12.217630853994491
ropa cómoda,12.217630853994491
cobran entrada,12.217630853994491
evitar multitudes,12.217630853994491
pirámide luna,12.217630853994491
carmen tulum,12.217630853994491
llegar cima,12.217630853994491
tour guiado,12.217630853994491
historia cultura,12.217630853994491
pirámides sol,12.217630853994491
interesante historia,12.217630853994491
bloqueador solar,12.217630853994491
paseo caballo,12.217630853994491
protección solar,12.217630853994491
paseo ruinas,12.217630853994491
caminar ruinas,12.217630853994491
playa agua,12.217630853994491
