term,score
aire acondicionado,273.2797929669225
agua caliente,150.82629009601
personal recepción,103.90800794176042
hotel bonito,102.00890458480114
habitaciones limpias,101.59894109861017
check in,76.19920582395764
habitación limpia,69.27200529450693
cuarto baño,67.42019723897305
personal amable,65.76062794222132
desayuno incluido,64.65387160820649
personal hotel,63.53774356928584
hotel personal,53.10853739245531
dreams tulum,48.490403706154865
comida restaurante,45.9861693931681
hotel situado,43.87227001985439
hotel ubicación,43.87227001985439
hotel habitaciones,43.87227001985439
hotel limpio,42.0980863161837
habitaciones amplias,41.563203176704164
cerca centro,41.129402818236144
pasar noche,39.579441220103874
camas dobles,39.254136333553944
ubicación hotel,39.254136333553944
hotel viejo,39.254136333553944
hotel estrellas,39.254136333553944
wi fi,38.68242837417451
personal servicial,37.34150651029737
hotel habitación,36.945069490403704
servicio habitación,36.945069490403704
noche hotel,34.63600264725346
ropa cama,34.63600264725346
general hotel,34.63600264725346
camas cómodas,33.89349793498674
amable servicial,33.82197651241346
llegamos hotel,32.9149521897779
habitaciones hotel,32.32693580410324
servicio hotel,32.32693580410324
habitaciones pequeñas,32.32693580410324
hotel agradable,32.32693580410324
hotel excelente,32.32693580410324
luna miel,31.634348378393508
caja fuerte,30.01786896095301
servicio personal,29.934884193629266
llegar hotel,29.380745186973286
alojamos noches,28.334011775814016
hotel ubicado,27.708802117802776
hotel noche,27.708802117802776
habitación habitación,27.708802117802776
habitación camas,27.708802117802776
noches hotel,27.708802117802776
sitio web,27.13366713105071
planta baja,27.13366713105071
presión agua,26.04752656229672
hotel boutique,26.04752656229672
habíamos reservado,25.399735274652542
habitaciones sencillas,25.399735274652542
hotel instalaciones,25.399735274652542
habitación baño,25.399735274652542
estancia hotel,25.399735274652542
noche habitación,25.399735274652542
baño habitación,25.399735274652542
habitación hotel,24.894337673531577
centro ciudad,24.567151926918903
isla mujeres,23.992217720077555
habitaciones cómodas,23.764515445646026
cama doble,23.090668431502312
cama king,23.090668431502312
reservado habitación,23.090668431502312
cama cómoda,23.090668431502312
habitación pequeña,23.090668431502312
alojamos noche,23.090668431502312
hotel pequeño,23.090668431502312
tuvimos problemas,22.664306534096596
hotel caro,21.48584695007858
pasar semana,21.48584695007858
vale pena,20.84837270380813
conexión wi,20.781601588352082
posada mar,20.781601588352082
desayuno buffet,20.781601588352082
habitación cama,20.781601588352082
disfrutamos estancia,20.781601588352082
teníamos habitación,20.781601588352082
camas duras,20.781601588352082
llegamos habitación,20.781601588352082
habitaciones básicas,20.781601588352082
lugar agradable,19.934591767809117
hotel servicio,19.21270542679892
playa hotel,19.21270542679892
servicial amable,19.21270542679892
24 horas,19.21270542679892
habitaciones bonitas,19.21270542679892
estuvimos noche,18.472534745201852
incluye desayuno,18.472534745201852
booking com,18.472534745201852
personal restaurante,18.472534745201852
zona piscina,18.472534745201852
acondicionado habitación,18.472534745201852
habitación daba,18.472534745201852
habitación servicio,18.472534745201852
hotel tranquilo,18.472534745201852
encantó hotel,18.472534745201852
suite junior,18.472534745201852
recomiendo hotel,18.472534745201852
olor humedad,18.472534745201852
ruinas palenque,18.472534745201852
habitación estándar,18.472534745201852
instalaciones limpias,18.472534745201852
distancia pie,18.240722272325993
ubicación playa,18.240722272325993
playa norte,18.14011441286289
tacos pescado,17.32301519059903
hotel playa,17.021262407977353
servicio restaurante,17.0080282570977
vistas mar,16.94674896749337
pasamos noches,16.94674896749337
na balam,16.94674896749337
cambiaron habitación,16.94674896749337
ubicación perfecta,16.94674896749337
sentir casa,16.94674896749337
dólares noche,16.94674896749337
buffet desayuno,16.94674896749337
cerca piscina,16.16346790205162
hotel malo,16.16346790205162
caja seguridad,16.16346790205162
cama dura,16.16346790205162
camas almohadas,16.16346790205162
hotel lindo,16.16346790205162
hotel cerca,16.16346790205162
habitaciones vista,16.16346790205162
room service,16.16346790205162
toallas viejas,16.16346790205162
ubicación inmejorable,16.16346790205162
habitación amplia,16.16346790205162
junior suite,16.16346790205162
habitación vistas,16.16346790205162
amable habitaciones,16.16346790205162
limpias cómodas,16.16346790205162
semana hotel,16.16346790205162
recepción amable,16.16346790205162
minutos centro,16.16346790205162
pequeño hotel,16.16346790205162
chica recepción,16.16346790205162
estuvimos noches,16.16346790205162
playa habitaciones,16.16346790205162
habitaciones piscina,16.16346790205162
duda hotel,16.16346790205162
muebles viejos,16.16346790205162
hotel precio,16.16346790205162
desayuno continental,16.16346790205162
bonita piscina,16.16346790205162
check out,16.05324881950692
estancia agradable,16.05324881950692
hotel lugar,16.05324881950692
patatas fritas,16.0237890513041
personal agradable,15.812174748320285
atención personal,15.812174748320285
atención cliente,15.118247339642402
gente amable,15.008390746449223
excelente ubicación,15.008390746449223
servicio lento,14.734529172199936
hotel lleno,14.690372593486643
atención servicio,14.690372593486643
agradable hotel,14.690372593486643
excelente hotel,14.690372593486643
lejos centro,13.887883255838968
correo electrónico,13.887883255838968
playa piscina,13.887883255838968
ruinas tulum,13.858412152479222
king size,13.854401058901388
hotel precioso,13.854401058901388
reservé hotel,13.854401058901388
toallas baño,13.854401058901388
alojamos semana,13.854401058901388
encontrar hotel,13.854401058901388
reservamos hotel,13.854401058901388
hotel duda,13.854401058901388
habitaciones espaciosas,13.854401058901388
wifi habitación,13.854401058901388
hotel cómodo,13.854401058901388
hotel parecía,13.854401058901388
acondicionado funcionaba,13.854401058901388
habitación limpio,13.854401058901388
servicio recepción,13.854401058901388
atención recepción,13.854401058901388
viejo descuidado,13.854401058901388
cambio habitación,13.854401058901388
hotel general,13.854401058901388
fi habitaciones,13.854401058901388
habitación cerca,13.854401058901388
cantidad dinero,13.854401058901388
ubicado cerca,13.854401058901388
hotel familiar,13.854401058901388
tamaño king,13.854401058901388
cómodas limpias,13.854401058901388
precio habitación,13.854401058901388
hotel isla,13.854401058901388
habitación superior,13.854401058901388
caliente ducha,13.854401058901388
estancia noches,13.854401058901388
hoteles cadena,13.854401058901388
servicio limpieza,13.854401058901388
ubicación estupenda,13.854401058901388
habitación cómoda,13.854401058901388
abrir puerta,13.854401058901388
privilege aluxes,13.854401058901388
habitaciones excelente,13.854401058901388
alojamos habitación,13.854401058901388
hotel vista,13.854401058901388
recepción restaurante,13.854401058901388
recepción pedir,13.854401058901388
agua habitación,13.854401058901388
habitaciones camas,13.854401058901388
alojado hotel,13.854401058901388
hotel lujo,13.854401058901388
camas matrimoniales,13.854401058901388
asignaron habitación,13.854401058901388
llegar habitación,13.854401058901388
habitación jacuzzi,13.854401058901388
señal wifi,13.854401058901388
momento check,13.854401058901388
ruido habitaciones,13.854401058901388
ducha agua,13.854401058901388
pusieron habitación,13.854401058901388
hotel barato,13.854401058901388
20 años,13.446489440992917
mala experiencia,13.357272412783475
justo playa,13.137206465162219
ubicación cerca,12.447168836765789
comida hotel,12.447168836765789
bar piscina,12.447168836765789
lugar alojarse,12.447168836765789
ventilador techo,12.447168836765789
taza café,12.447168836765789
limpio personal,12.447168836765789
áreas comunes,12.447168836765789
botellas agua,12.447168836765789
ambiente agradable,12.064927893830646
relación calidad,11.76117576117325
falta mantenimiento,11.75125794806747
recomendaría hotel,11.545334215751156
experiencia hotel,11.545334215751156
bufete desayuno,11.545334215751156
conexión wifi,11.545334215751156
habitación doble,11.545334215751156
alberca pequeña,11.545334215751156
pedimos cambio,11.545334215751156
volvería hospedar,11.545334215751156
habitaciones confortables,11.545334215751156
aspectos positivos,11.545334215751156
ubicación conveniente,11.545334215751156
habitación frente,11.545334215751156
recepción personal,11.545334215751156
marido alojamos,11.545334215751156
recepción servicial,11.545334215751156
mayoría habitaciones,11.545334215751156
cama baño,11.545334215751156
habitación familiar,11.545334215751156
atencion personal,11.545334215751156
habitación comida,11.545334215751156
comparado hoteles,11.545334215751156
cambiar habitación,11.545334215751156
hice reserva,11.545334215751156
limpias comida,11.545334215751156
reservamos habitación,11.545334215751156
alberca agua,11.545334215751156
alberca climatizada,11.545334215751156
salir buscar,11.545334215751156
reservamos suite,11.545334215751156
precio hotel,11.545334215751156
chico recepción,11.545334215751156
piscina agradable,11.545334215751156
reserva hotel,11.545334215751156
amable ubicación,11.545334215751156
unidad aire,11.545334215751156
bonito hotel,11.545334215751156
hotel comida,11.545334215751156
tenían habitaciones,11.545334215751156
persona atendió,11.545334215751156
puedes oír,11.545334215751156
mostrador recepción,11.545334215751156
piscina bonita,11.545334215751156
necesita mantenimiento,11.545334215751156
limpio cómodo,11.545334215751156
amplias limpias,11.545334215751156
pudimos dormir,11.545334215751156
habitaciones servicio,11.545334215751156
alojamos villa,11.545334215751156
hotel relación,11.545334215751156
hotel recomiendo,11.545334215751156
hotel camas,11.545334215751156
piscina hotel,11.545334215751156
habitaciones oscuras,11.545334215751156
llevaron habitación,11.545334215751156
personal acogedor,11.545334215751156
dispuesto ayudar,11.545334215751156
estacionamiento hotel,11.545334215751156
hotel ofrece,11.545334215751156
habitación olía,11.545334215751156
acabamos volver,11.545334215751156
pagamos habitación,11.545334215751156
palenque hotel,11.545334215751156
limpieza habitaciones,11.545334215751156
cuartos limpios,11.545334215751156
costo habitación,11.545334215751156
precio ubicación,11.545334215751156
horas noche,11.545334215751156
agua cortesía,11.545334215751156
habitación planta,11.545334215751156
estuvimos hotel,11.545334215751156
habitación bonita,11.545334215751156
habitación balcón,11.545334215751156
habitación agradable,11.545334215751156
mobiliario viejo,11.545334215751156
limpieza habitación,11.545334215751156
habitaciones frente,11.545334215751156
hotel cumple,11.545334215751156
limpias piscina,11.545334215751156
única queja,11.411007726087792
playa privada,11.273992170804481
servicio cliente,11.2639982822064
visita obligada,11.259959873889366
tomar fotos,10.826884494124391
pesos persona,10.712158342955755
calidad precio,10.389991120812898
tapones oídos,10.222783104739044
vista jardín,10.222783104739044
pet friendly,10.222783104739044
villa rolandi,10.222783104739044
instalaciones viejas,10.222783104739044
actitud servicio,10.222783104739044
costo beneficio,10.222783104739044
momento llegamos,10.222783104739044
desayuno rico,10.222783104739044
ruido calle,10.222783104739044
hotel hotel,10.222783104739044
restaurante desayuno,9.652952981491248
hospedamos hotel,9.652952981491248
restaurante bar,9.652952981491248
ubicación excelente,9.652952981491248
personal atento,9.61258364563049
lugar comida,9.550160477998118
restaurante playa,9.42526876177269
quedamos decepcionados,9.42526876177269
playa genial,9.236267372600926
servicial restaurante,9.236267372600926
habitación piscina,9.236267372600926
servicio habitaciones,9.236267372600926
agradable piscina,9.236267372600926
servicio cuarto,9.236267372600926
servicial habitaciones,9.236267372600926
agradable habitación,9.236267372600926
habitación personal,9.236267372600926
ubicación centro,9.236267372600926
habitación excelente,9.236267372600926
habitación simple,9.236267372600926
habitación reservamos,9.236267372600926
autobuses ado,9.236267372600926
habitación incluye,9.236267372600926
encantador hotel,9.236267372600926
comer hotel,9.236267372600926
ubicación personal,9.236267372600926
habitación lista,9.236267372600926
ubicación pareció,9.236267372600926
wifi funciona,9.236267372600926
excelente ubicacion,9.236267372600926
agua alberca,9.236267372600926
acondicionado habitaciones,9.236267372600926
habitación zona,9.236267372600926
reef club,9.236267372600926
habitación ventana,9.236267372600926
ubicación increíble,9.236267372600926
reserva habitación,9.236267372600926
reservamos habitaciones,9.236267372600926
mantenimiento hotel,9.236267372600926
playa centro,9.236267372600926
habitación sucia,9.236267372600926
habitación funcionaba,9.236267372600926
wifi disponible,9.236267372600926
jardines hermosos,9.236267372600926
jardines piscina,9.236267372600926
avalon reef,9.236267372600926
café té,9.236267372600926
habitación sencilla,9.236267372600926
desayuno básico,9.236267372600926
world café,9.236267372600926
habitación noche,9.236267372600926
desayuno gratis,9.236267372600926
habitación toallas,9.236267372600926
cosas hotel,9.236267372600926
reservar habitación,9.236267372600926
limpio baño,9.236267372600926
terraza habitación,9.236267372600926
baños compartidos,9.236267372600926
bonitas limpias,9.236267372600926
vista habitación,9.236267372600926
alojamos suite,9.236267372600926
hotel super,9.236267372600926
tercer piso,9.236267372600926
habitaciones tamaño,9.236267372600926
hotel vale,9.236267372600926
baño privado,9.236267372600926
amplias cómodas,9.236267372600926
baño pequeña,9.236267372600926
hotel único,9.236267372600926
hoteles precio,9.236267372600926
alojé noches,9.236267372600926
hoteles zona,9.236267372600926
caro ofrece,9.236267372600926
bonito habitaciones,9.236267372600926
página web,9.236267372600926
escucha ruido,9.236267372600926
escucha pasa,9.236267372600926
pésimo hotel,9.236267372600926
transporte aeropuerto,9.236267372600926
cómodas baño,9.236267372600926
familia habitaciones,9.236267372600926
centro cerca,9.236267372600926
reservar hotel,9.236267372600926
front desk,9.236267372600926
resto hotel,9.236267372600926
persona recepción,9.236267372600926
trato amable,9.236267372600926
ruido noche,9.236267372600926
cuartos amplios,9.236267372600926
hotel descansar,9.236267372600926
hotel deja,9.236267372600926
best western,9.236267372600926
problemas habitación,9.236267372600926
amable habitación,9.236267372600926
categoría hotel,9.236267372600926
habitaciones habíamos,9.236267372600926
hotel falta,9.236267372600926
fantástico gustó,9.236267372600926
hotel horrible,9.236267372600926
personal limpieza,9.236267372600926
llegue hotel,9.236267372600926
tipo hotel,9.236267372600926
hotel puedes,9.236267372600926
hotel llegar,9.236267372600926
altas horas,9.236267372600926
clases yoga,9.236267372600926
directamente hotel,9.236267372600926
tina baño,9.236267372600926
hotel necesita,9.236267372600926
espera hotel,9.236267372600926
hotel pasar,9.236267372600926
llamar hotel,9.236267372600926
habitaciones preciosas,9.236267372600926
hotel perfecto,9.236267372600926
críticas anteriores,9.236267372600926
hotel problema,9.236267372600926
complejo turístico,9.236267372600926
paredes finas,9.236267372600926
agua regadera,9.236267372600926
decidimos quedarnos,9.236267372600926
decoración habitaciones,9.236267372600926
restaurante buffet,9.236267372600926
restaurante alberca,9.236267372600926
acceso directo,9.236267372600926
cambiaran habitación,9.236267372600926
recepción frente,9.236267372600926
recepción habitación,9.236267372600926
cambiamos habitación,9.236267372600926
falta limpieza,9.236267372600926
cerrar puerta,9.236267372600926
habitaciones comodas,9.236267372600926
habitación cuarto,9.236267372600926
comida cena,9.236267372600926
pedimos habitación,9.236267372600926
acondicionado ruidoso,9.236267372600926
ducha presión,9.236267372600926
secador pelo,9.236267372600926
etc restaurante,9.236267372600926
resort spa,9.236267372600926
noches habitación,9.236267372600926
respetaron reservación,9.236267372600926
aeropuerto cancún,9.236267372600926
limpia aire,9.236267372600926
noches principios,9.236267372600926
mañana personal,9.236267372600926
instalaciones hotel,9.236267372600926
resorts incluido,9.236267372600926
guardia seguridad,9.236267372600926
limpias espaciosas,9.236267372600926
habitaciones decoradas,9.236267372600926
habitación alojamos,9.236267372600926
comida restaurantes,9.236267372600926
minutos caminando,9.236267372600926
entregaron habitación,9.236267372600926
quinta don,9.236267372600926
master suite,9.236267372600926
piso elevador,9.236267372600926
alberca sucia,9.236267372600926
imposible dormir,9.236267372600926
pesos noche,9.236267372600926
área piscina,9.236267372600926
reservé habitación,9.236267372600926
gusto hotel,9.236267372600926
habitación agua,9.236267372600926
noche desayuno,9.236267372600926
precio paga,9.236267372600926
área alberca,9.236267372600926
suite vista,9.236267372600926
volveré hotel,9.236267372600926
lugar estacionamiento,9.236267372600926
personas habitación,9.236267372600926
acceso internet,9.236267372600926
precio calidad,8.995193301414288
playa carmen,8.922156328207716
lugar lleno,8.576199199856154
relación precio,8.145432312758988
merece pena,8.142079619235496
hora salida,8.02662440975346
relación costo,8.02662440975346
instalaciones atención,8.02662440975346
hotel justo,8.02662440975346
