term,score
servicio lento,13.532401537244205
lugar agradable,10.501826242274152
comida servicio,9.472237842717902
comida rica,9.241136460318952
lugar comida,8.490792070059436
ambiente agradable,7.378196007598394
aire acondicionado,6.480306075653896
tacos pescado,5.993026646148302
comida deliciosa,5.804761499883114
servicio comida,5.614945096919421
lugar comer,5.592497168639234
agua caliente,5.504724746090634
patatas fritas,5.357976576503365
servicio rápido,4.634043109113224
excelente comida,4.622229629673516
comida mexicana,4.545825430804694
música vivo,4.408905060908929
precios accesibles,4.192210781003464
excelente servicio,4.168165091439651
calidad alimentos,4.021229907484084
servicio lugar,3.919118780205029
comida regular,3.822603725675423
hotel bonito,3.507255152971238
agradable servicio,3.4952906148845795
habitaciones limpias,3.4783304205004026
comida sabor,3.4481857821430593
servicio ambiente,3.419117045199304
comida excelente,3.397216743413459
comida ambiente,3.305699984210572
agradable comida,3.2813252091311442
personal recepción,3.179155826213594
excelente ambiente,3.1173159796959746
vista comida,3.0733051761251904
comida atención,3.0100231600078975
meseros atentos,2.9509094961921156
vale pena,2.9129793891468445
calidad comida,2.825975225267433
comer lugar,2.7765029308324483
lugar acogedor,2.773998690953266
ingredientes frescos,2.768982673010183
comida mala,2.7615648554535577
ruinas mayas,2.7528150837901744
precios altos,2.748604052097969
ambiente comida,2.740942563417401
menú variado,2.618100002947178
personal hotel,2.571940503282155
ruinas tulum,2.5712575680284906
habitación limpia,2.5686507592390972
servicio precios,2.5377669027731167
ambiente servicio,2.533599776920511
lento comida,2.531570612702355
precios justos,2.500318278457702
precios razonables,2.493907130355776
servicio amable,2.438824908468379
comida pareció,2.403895583249401
vista lugar,2.3984508998397294
check in,2.374425014337612
comida regional,2.3744029913779596
bonito comida,2.367678602038993
mejores opciones,2.3405162960647488
rica servicio,2.3279266584470877
platillos ricos,2.313042775762738
desayuno incluido,2.259978403169415
comida personal,2.251160360925247
ambiente familiar,2.2379121695990314
meseros amables,2.2260703727101623
cuarto baño,2.2258078557894696
camarones coco,2.2240918457285326
carrito golf,2.1943920331206086
comida sazón,2.1845323891122645
restaurante ubicado,2.1726323869935458
hotel california,2.169616421375163
agua cristalina,2.1665766645544804
servicio mesero,2.1537083768378302
servicio malo,2.1477997347941438
sabor servicio,2.1425636373060652
agua fría,2.13121937292537
ambiente relajado,2.0788059522458004
comida general,2.0774260824925403
chile relleno,2.0570329473731808
chichen itza,2.0568689306127306
porciones pequeñas,2.0242845809273398
pan dulce,2.013711788542247
lleno servicio,1.9781892935772705
lugar bonito,1.9742466432554155
comida lugar,1.9722925368963429
huevos benedict,1.9674929982779128
playa carmen,1.9406863254184623
tardan atender,1.9380380737196847
comida precio,1.9311987153095027
calidad sabor,1.9293493288793493
hotel limpio,1.9286890649340145
montón opciones,1.927420104287703
riviera maya,1.9255460878218598
hotel personal,1.9192217559603737
lugar lindo,1.9154740553509733
restaurante ambiente,1.9065621056119102
mejores restaurantes,1.906287910937818
comida especial,1.8925171017472016
comida normal,1.8845379405841656
arena blanca,1.8738186376924522
deliciosa servicio,1.8615637511544798
caro calidad,1.8467793798984684
comida típica,1.840131073420249
decidimos comer,1.8293386306103074
lento servicio,1.8210822001060623
comida thai,1.8070623078431025
menú desayuno,1.7925145820793276
atención mesero,1.7856420942847864
lugar super,1.7812285503584344
tostada francesa,1.7779256700001163
ambiente genial,1.7662818530101956
agradable vista,1.7645035228025658
tacos camarón,1.7562742736879262
cochinita pibil,1.7549410330130144
habitaciones amplias,1.7512539528762083
hotel situado,1.7457260732172153
playa bonita,1.7446022314453264
hotel habitaciones,1.7355119334915363
valladolid comida,1.7302027313314623
dreams tulum,1.730022252731561
comida fría,1.7117642414766427
lugar decoración,1.7086994561658
hotel excelente,1.6885539477347304
servicio excepcional,1.6810766848989949
comida espectacular,1.6760526931860034
terraza vista,1.6753827266729973
hotel ubicación,1.6693521224559813
